V3_Ventilation Duration (min),M1_is Enclosed,Period (d),Additive_2,Material_2,Material_Main,V2_Ventilation Interval (min),Initial Moisture Content (%),V4_Ventilation Day,Additive_4,V5_Ventilation rate (L/min/kg iniDW),Additive_1,V1_Ventilation Type,Application Rate (%DW),Material_3,Initial C/N (%), Composting Method,Turning times,Compost volume (m3),Additive_3,Initial GI (%),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,1.0,29.0,Inorganic acid,Sawdust,Swine manure,0.0,52.35884607265356,0.0,None,0.0,Ca-superphosphate,None,7.822805904254081,Mature compost,19.0,Windrow,2.0,0.6277154746460176,None,27.32884658064516,5.0,2.0952942734506244,39.81059119556186,102.33687700000002,7.673874055837292,0.1931854486465454,0.1648713105525494,1000000.0
0.0,1.0,30.0,Ca-superphosphate,Sawdust,Swine manure,0.0,56.209848520445696,0.0,None,0.0,K₂SO₄,None,7.315080444572937,Byproduct,17.0,Reactor,8.0,0.6277154746460176,None,27.32884658064516,6.0,2.0952942734506244,35.620002648660616,99.02421499999998,6.088430350413265,0.1287628412246704,0.1969881728644138,1000000.0
0.0,1.0,27.0,DCD,Soil,Swine manure,0.0,58.71767505984485,0.0,None,0.0,Sodium phosphates,None,9.36748571198646,None,24.19215062394577,Reactor,3.0,0.6277154746460176,None,27.32884658064516,6.0,2.0952942734506244,50.68967466480853,100.93380600000002,7.491254063615607,0.2363149225711822,0.1863717945361063,21.51247344528868
0.0,1.0,20.0,Potassium phosphate,Plastic tube pieces,Swine manure,0.0,61.0,10.0,None,0.595417029166474,LB Culture,Continuous,9.904715964467812,Poultry manure,27.29919852898153,Reactor,3.0,0.6277154746460176,None,27.32884658064516,6.175883442591369,2.0952942734506244,57.19985434756671,100.82151600000002,6.035262309020228,0.2485471814870834,0.2268001348268214,23.094914096640675
0.0,1.0,31.0,DCD,Green Waste,Swine manure,0.0,52.89918383579565,0.0,None,0.0,Phosphogypsum,None,8.729624504997894,Byproduct,32.0,Windrow,5.0,0.6277154746460176,None,27.32884658064516,8.0,2.0952942734506244,67.04941675041998,100.50243500000003,9.076697769039637,0.1570772230625152,0.1905168574675516,1000000.0
0.0,1.0,24.0,Organic acid,None,Swine manure,0.0,56.7569734792533,0.0,None,0.0,K₂SO₄,None,6.38001656337209,Straw,15.435753166691605,Windrow,26.0,0.6277154746460176,None,27.32884658064516,6.88828546635199,2.0952942734506244,32.34244521656626,99.77205,7.975427466090523,0.1068992763757705,0.2039099691067332,26.286672622496592
0.0,1.0,45.0,Calcium magnesium phosphate fertilizer,Green Waste,Swine manure,0.0,54.0,0.0,None,0.0,MgHPO₄,None,4.876694968588369,Mature compost,17.77016900281018,Trough,28.0,0.6277154746460176,None,27.32884658064516,6.233958003660409,2.0952942734506244,37.23373334983796,99.376274,9.612387363912998,0.1114561110734939,0.246241652822852,25.15546352694116
0.0,1.0,31.0,DCD,Straw,Swine manure,0.0,58.0,0.0,None,0.0,MgCl₂,None,2.5999102876134845,Poultry manure,26.0,Windrow,3.0,0.6277154746460176,None,27.32884658064516,7.0,2.0952942734506244,54.47765110971624,102.80864200000002,8.50134608559632,0.2239510416984558,0.2341138297464369,1000000.0
0.0,0.0,14.0,Gypsum,Plastic tube pieces,Swine manure,0.0,58.0,0.0,None,0.0,MgSO₄,None,6.187509087016289,None,28.273766616361925,Windrow,2.0,0.6277154746460176,None,27.32884658064516,8.0,2.0952942734506244,59.24186128014258,101.065176,6.919121343094124,0.1931854486465454,0.1712710483048422,23.98668687344366
0.0,0.0,44.0,Ca-superphosphate,Sawdust,Swine manure,0.0,52.84699552950302,33.0,None,1.744980726369055,K₂SO₄,Continuous,5.918337353726165,Poultry manure,18.94851713289953,Windrow,4.0,0.6277154746460176,None,27.32884658064516,8.0,2.0952942734506244,39.70271943894543,100.500436,7.088893169658047,0.0953287333250045,0.2008058829167624,23.86295264791702
