Material_Main,Turning times,Application Rate (%DW),V3_Ventilation Duration (min), Composting Method,Initial pH,V1_Ventilation Type,Compost volume (m3),Additive_4,Initial Moisture Content (%),V2_Ventilation Interval (min),Additive_3,Initial GI (%),Material_2,Material_3,Period (d),V4_Ventilation Day,Additive_1,Initial C/N (%),M1_is Enclosed,Additive_2,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8,4.0,7.1335824158487835,0.0,0.0,11.429843179348836,0.0,4.210797122302158,1.0,52.00000000000001,0.0,4.0,27.328846580645163,0.0,4.0,112.0,61.0,15.0,33.0,1.0,9.0,0.927414342129026,2.1457865217391303,70.73029572790813,100.89521500000002,7.774691965087991,0.4384390413761139,0.20645482310941998,1000000.0
8,3.0,8.514198186386132,10.566829557936332,0.0,11.23092019115672,1.0,4.210797122302158,1.0,66.0,992.0,4.0,27.32884658064516,0.0,4.0,90.0,69.0,19.0,20.0,1.0,0.0,0.045770889762694944,2.1457865217391303,70.24941237619767,100.70990400000002,9.145859449193782,0.49289193749427795,0.12787539789464036,1000000.0
8,0.0,9.011618288725368,35.76317950320112,1.0,5.879694191989656,1.0,4.210797122302158,1.0,82.1845512915999,1279.0,4.0,27.32884658064516,3.0,5.0,53.0,24.0,2.0,26.0,0.0,12.0,0.48266285894745153,2.1457865217391303,54.1778627886702,101.13368400000003,5.8545592580978685,0.3065197169780731,0.16610824843697555,1000000.0
8,1.0,5.055876474587236,10.4789704348031,1.0,11.425796634991116,1.0,4.210797122302158,1.0,58.0,483.0,4.0,27.328846580645163,0.0,2.0,110.0,31.0,16.0,28.0,1.0,9.0,0.9055973416696625,2.1457865217391303,17.769789922051597,102.55225100000006,8.266631055629626,0.4620491564273834,0.1366077047436154,1000000.0
8,1.0,9.848159120266612,0.0,1.0,7.0,0.0,4.210797122302158,1.0,74.96903555078293,0.0,4.0,27.32884658064516,0.0,2.0,88.0,41.0,27.0,29.0,0.0,11.0,0.6050162669176831,2.1457865217391303,75.05297385595323,102.64574100000003,7.872871530469243,0.44955989718437195,0.17229863158350228,1000000.0
8,7.0,5.511812559737466,2.6182126036895514,1.0,7.0,1.0,4.210797122302158,1.0,67.0,410.0,4.0,27.32884658064516,4.0,2.0,39.0,10.0,2.0,21.0,0.0,5.0,0.2989553237068594,2.1457865217391303,48.97896255513504,98.55537800000003,7.629770863187768,0.49566540122032166,0.1983086751752119,1000000.0
8,1.0,7.7632103921261315,4.543842749167963,0.0,5.0,1.0,4.210797122302158,1.0,72.57534953055645,1074.0,4.0,27.32884658064516,4.0,4.0,91.0,10.0,4.0,35.0,1.0,3.0,0.42741968315681755,2.1457865217391303,71.46048736797145,99.59231800000005,7.2008201626116435,0.47719141840934753,0.14249414328487506,1000000.0
8,0.0,6.748034465746967,28.640092844085697,2.0,6.0,1.0,4.210797122302158,1.0,76.84086836057291,893.0,4.0,27.32884658064516,6.0,2.0,118.0,10.0,25.0,24.0,0.0,13.0,0.5207873816336499,2.1457865217391303,28.95973944909826,98.69720500000003,5.203798071060319,0.4327404201030731,0.10701830420411254,1000000.0
8,3.0,8.407459873150495,0.0,2.0,6.0,0.0,4.210797122302158,1.0,53.0,0.0,4.0,27.32884658064516,0.0,9.0,97.0,15.0,23.0,24.0,1.0,9.0,0.6883936278870872,2.1457865217391303,34.43832482156201,101.98206500000002,7.9938806330070955,0.41004136204719543,0.19928570605016244,1000000.0
8,2.0,4.5645091316489435,10.332447866154578,2.0,12.021298195558256,1.0,4.210797122302158,1.0,51.67346546630467,787.0,4.0,27.32884658064516,0.0,0.0,83.0,60.0,7.0,39.0,1.0,15.0,0.25719905463207837,2.1457865217391303,63.40928376554229,104.06010100000005,8.105636016682263,0.5604747533798218,0.12129149980003828,1000000.0
8,0.0,8.104626120081706,0.0,1.0,8.663398558989316,0.0,4.210797122302158,1.0,54.0,0.0,4.0,27.32884658064516,14.0,3.0,79.0,59.0,2.0,26.0,0.0,5.0,1.1533982832740741,2.1457865217391303,50.52902777090313,101.56099900000005,5.423514858528436,0.4610227048397064,0.13652940729379728,1000000.0
8,2.0,4.6512926019021315,36.32506385400907,1.0,11.99403355490384,1.0,4.210797122302158,1.0,51.12841418543259,955.0,4.0,27.32884658064516,5.0,4.0,79.0,31.0,34.0,16.52756103075031,0.0,5.0,1.0452806411801274,2.1457865217391303,76.52138826104527,98.91628000000004,8.067662544450206,0.4950019419193268,0.1323656023662459,1000000.0
8,4.0,5.4439462206397025,0.0,1.0,6.0,0.0,4.210797122302158,1.0,67.0,0.0,4.0,27.32884658064516,12.0,4.0,33.0,14.0,7.0,40.0,1.0,0.0,1.3434009255405976,2.1457865217391303,15.267073877633548,99.19319300000002,7.747300282169083,0.4553520977497101,0.16865972510925709,1000000.0
8,2.0,4.171253954933099,30.438282711225416,2.0,6.0,1.0,4.210797122302158,1.0,52.0,772.0,4.0,27.32884658064516,3.0,5.0,77.0,24.0,11.0,13.576588295606602,0.0,1.0,0.728573992779481,2.1457865217391303,40.875643247450654,99.11435000000003,7.6946440530744615,0.4564087688922882,0.13852302279236103,1000000.0
