M1_is Enclosed,Initial Moisture Content (%),Material_2,V4_Ventilation Day,V2_Ventilation Interval (min),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Compost volume (m3),Additive_4,Additive_2,Period (d),Initial pH,Material_Main,Additive_3,Additive_1,Turning times,Material_3,V3_Ventilation Duration (min),Application Rate (%DW),Initial GI (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,57.0,5.0,37.0,0.0,0.0,2.0,1.3974692522376386,40.0,0.15181,1.0,8.0,128.0,11.270129900143186,6,4.0,35.0,2.0,9.0,0.0,3.1455346545693414,27.32884658064516,1.411,17.780661917449436,94.20135400000002,6.856559550517936,0.3322059214115143,0.15491425691711636,1000000.0
1.0,67.0,4.0,0.0,0.0,2.0,2.0,0.1135106441969686,30.0,0.15181,1.0,12.0,35.0,9.744766099283702,6,4.0,31.0,2.0,4.0,0.0,9.330587176253259,27.32884658064516,1.411,7.3765215598654335,93.75297200000003,6.412717690442143,0.38482093811035156,0.17320181005188448,1000000.0
1.0,71.86692888956634,0.0,30.0,1398.0,1.0,0.0,1.3790760219715494,24.0,0.15181,1.0,8.0,92.0,8.761199435173282,6,4.0,38.0,2.0,0.0,1.0846061344610303,5.324132841966898,27.32884658064516,1.411,34.83150175655586,94.38078300000002,6.328234619616526,0.20573493838310242,0.1513590448650453,1000000.0
1.0,51.0,12.0,38.0,0.0,0.0,1.0,1.191095863474988,29.0,0.15181,1.0,0.0,41.0,10.508289770871745,6,4.0,37.0,3.0,2.0,0.0,7.5418009338708565,27.32884658064516,1.411,36.07941434607512,95.19363100000004,6.856559550517936,0.45010656118392944,0.1947088361191808,1000000.0
0.0,57.1270142677855,13.0,3.0,0.0,0.0,2.0,1.34565260954153,16.0,0.15181,1.0,11.0,18.0,10.611158699819653,6,4.0,23.0,4.0,4.0,0.0,8.961419921428682,27.32884658064516,1.411,18.725664562205058,95.10151200000001,6.856559550517936,0.2950660288333893,0.12599461223737748,1000000.0
1.0,70.92238309150595,12.0,0.0,0.0,2.0,0.0,0.0,42.79801841714609,0.15181,1.0,5.0,106.0,8.57737088056002,6,4.0,33.0,4.0,2.0,0.6693389339414013,4.257292193266843,27.32884658064516,1.411,60.388003986593134,93.59868500000005,6.412717690442143,0.42782947421073914,0.19715472808783263,17.7360273901004
0.0,58.73732954693254,2.0,0.0,0.0,2.0,1.0,0.0,33.0,0.15181,1.0,0.0,19.0,8.501111332792231,6,4.0,34.0,4.0,0.0,0.0,6.0664923166733375,27.328846580645163,1.411,29.119678089042942,94.57720100000004,6.412717690442143,0.27452588081359863,0.16430810345077712,1000000.0
1.0,55.00000000000001,5.0,28.0,0.0,0.0,0.0,1.9750255513332933,26.324026213453912,0.15181,1.0,0.0,34.0,5.0,6,4.0,17.0,4.0,3.0,0.0,5.26022199401568,27.328846580645163,1.411,43.78246786113896,94.51961600000004,6.856559550517936,0.27188819646835327,0.25418429005007787,1000000.0
1.0,60.0,2.0,30.0,1243.0,1.0,0.0,0.8063476547399021,12.0,0.15181,1.0,11.0,90.0,7.3440364982080215,6,4.0,36.0,4.0,0.0,12.516545342715304,5.311229630272756,27.328846580645163,1.411,16.30540559352195,94.824874,5.936805542232583,0.15795618295669556,0.1283272326602449,1000000.0
1.0,83.22822630888876,0.0,33.0,1253.0,1.0,2.0,1.2760729407595104,12.0,0.15181,1.0,8.0,87.0,9.751901047507772,6,4.0,31.0,3.0,2.0,29.896680479900944,9.912259841721047,27.32884658064516,1.411,54.633438770432285,95.066678,6.042328481449796,0.22943438589572906,0.1434971222730715,1000000.0
1.0,79.29992802088671,4.0,45.0,615.0,1.0,0.0,0.40338321264865473,24.0,0.15181,1.0,3.0,100.0,8.0,6,4.0,36.0,3.0,2.0,3.4667523826806725,4.232511905152095,27.32884658064516,1.411,18.486689035115578,94.88917500000004,5.936805542232583,0.37977126240730286,0.14045379803321312,1000000.0
0.0,62.0,0.0,27.0,4.0,1.0,2.0,1.7814847152845292,30.0,0.15181,1.0,2.0,75.0,10.493373277767745,6,4.0,34.0,3.0,9.0,27.01606188235243,3.2083976508076595,27.328846580645163,1.411,12.446147827698892,95.07550799999999,6.042328481449796,0.3680247664451599,0.16831219816943316,1000000.0
1.0,50.0,3.0,0.0,0.0,0.0,2.0,0.04819277983683512,33.0,0.15181,1.0,8.0,133.0,8.245828027878332,6,4.0,33.0,4.0,0.0,0.0,5.04149048419486,27.32884658064516,1.411,30.09758268404082,94.06049400000003,6.412717690442143,0.2766692340373993,0.19609023955503516,1000000.0
1.0,50.0,12.0,16.0,0.0,0.0,0.0,0.924081930444273,37.0,0.15181,1.0,8.0,64.0,11.319214371504643,6,4.0,25.0,4.0,9.0,0.0,4.757162590401947,27.32884658064516,1.411,28.648879628333155,94.39621100000002,6.856559550517936,0.27202486991882324,0.2496676689483544,1000000.0
1.0,80.50193850187514,14.0,29.0,0.0,0.0,0.0,0.5548567135330273,15.0,0.15181,1.0,1.0,74.0,10.467507766612147,6,4.0,28.0,0.0,9.0,0.0,9.834777941780304,27.32884658064516,1.411,40.33352049596712,95.76358100000002,2.9016010248056756,0.41801634430885315,0.1516068827337362,1000000.0
