 Composting Method,Initial pH,Period (d),Additive_1,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial GI (%),Additive_4,M1_is Enclosed,Initial C/N (%),Additive_3,Material_2,Material_3,Initial Moisture Content (%),Material_Main,V1_Ventilation Type,V4_Ventilation Day,Additive_2,Turning times,Application Rate (%DW),V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2.0,7.0,108.0,4.0,0.06,0.0,0.0,27.32884658064516,1.0,0.0,27.0,4.0,14.0,4.0,73.47594889175701,2,2.0,0.0,0.0,21.0,6.1333745192974645,0.0,1.775,12.073452101597711,88.30202099999998,4.772940789095989,0.5056776404380798,0.16604843867260827,1000000.0
0.0,6.0,71.0,14.0,0.06,0.21512198475483202,389.0,27.32884658064516,1.0,1.0,19.0,4.0,2.0,9.0,70.44763996294202,2,1.0,3.0,1.0,18.0,4.574824626281599,24.741334550129046,1.775,35.70583281360943,89.74720399999998,7.927032305653017,0.5203720927238464,0.1817280786788186,1000000.0
2.0,5.0,110.0,23.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,23.0,4.0,14.0,5.0,69.0,2,2.0,0.0,6.0,18.0,4.796429440051047,0.0,1.775,30.925980738080185,88.228612,6.210382725518763,0.7812018394470215,0.20841846191018865,1000000.0
1.0,6.0,118.0,28.0,0.06,0.07195420379604456,0.0,27.32884658064516,1.0,0.0,34.0,4.0,8.0,3.0,81.40533239562237,2,0.0,2.0,1.0,16.0,8.91283518881431,0.0,1.775,41.79677660000612,90.40631099999999,7.43117764099599,0.6083855032920837,0.16462258126377893,1000000.0
0.0,7.0,127.0,10.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,30.0,4.0,12.0,5.0,55.0,2,2.0,0.0,2.0,17.0,5.717916474290541,0.0,1.775,43.295581138016516,89.10358499999998,6.091020771332633,0.32895806431770325,0.20383322575955398,1000000.0
2.0,8.0,32.0,18.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,21.0,4.0,13.0,3.0,56.0,2,2.0,0.0,3.0,6.0,9.562100403875066,0.0,1.775,38.79057369518554,88.52379300000003,6.615576074317807,0.6266380548477173,0.19171113323777894,1000000.0
1.0,5.0,67.0,31.0,0.06,0.16425639063502784,873.0,27.32884658064516,1.0,0.0,18.0,4.0,8.0,9.0,51.0,2,1.0,0.0,2.0,18.0,9.583838713205953,17.828235864694044,1.775,14.262658425621897,89.27405599999999,2.1899013183105724,0.48733022809028625,0.12040907791438513,1000000.0
2.0,7.0,111.0,19.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,40.8510761346739,4.0,2.0,9.0,65.0,2,2.0,0.0,2.0,18.0,2.7275883903682185,0.0,1.775,63.66867812770927,88.41338,7.337558229767298,0.8895530700683594,0.18521642300149774,1000000.0
0.0,5.692747992722301,129.0,22.0,0.06,0.0,0.0,29.013903512330238,1.0,1.0,12.0,4.0,4.0,0.0,53.0,2,2.0,0.0,2.0,17.0,4.909281061649541,0.0,1.775,56.71193282213895,89.133555,3.644639067463058,0.645720899105072,0.13876140108026105,1000000.0
2.0,5.0,56.0,22.0,0.06,0.0,0.0,27.32884658064516,1.0,1.0,12.0,4.0,12.0,5.0,73.52886714986823,2,2.0,0.0,3.0,28.0,6.38152545407163,0.0,1.775,50.223935416945935,88.71336599999997,6.210382725518763,0.5627059936523438,0.1802030400525522,1000000.0
