V4_Ventilation Day,Material_3,V3_Ventilation Duration (min),Additive_4,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial GI (%),Additive_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Additive_1,Initial Moisture Content (%),Material_Main,Material_2,M1_is Enclosed,Period (d), Composting Method,Turning times,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
63.0,5.0,31.114078583318364,1.0,783.0,10.171604076475173,11.01403874209826,27.32884658064516,12.0,0.05971950244450408,2.080853812794945,1.0,26.123007416941288,14.0,60.373178407643096,0,0.0,1.0,87.0,0.0,31.0,5.0,8.216958105208771,37.218325397826774,107.42459400000006,9.715912570989977,1.1316165924072266,0.13413422484632712,25.462248032321515
0.0,4.0,0.0,1.0,0.0,8.406095101124157,20.872219247811195,27.32884658064516,0.0,12.225209959364163,0.0,2.0,23.728373076442658,22.0,72.85407296721255,0,8.0,0.0,86.0,2.0,31.0,5.0,3.240009081311925,52.29424954975334,105.92096600000002,6.9184033901752295,0.24936291575431824,0.1539823608554407,22.266015051329514
23.0,5.0,8.590232170943896,1.0,1318.0,11.113260823015501,19.16976704183636,27.32884658064516,2.0,4.203426844236857,5.548219397917766,1.0,35.400219798037654,37.0,60.85498053619654,0,8.0,1.0,70.0,0.0,31.0,6.0,7.955570666095301,51.117332163128516,106.281762,8.757811153875949,0.8649765253067017,0.16438420803439174,23.555818866575198
60.0,0.0,35.819099450191715,1.0,1327.0,9.817069302564352,15.615665220926036,27.32884658064516,10.0,24.217042821103753,9.988380998380698,1.0,8.507661145071513,17.0,46.4146074462695,0,2.0,1.0,115.0,2.0,31.0,1.0,7.068780222459104,47.87997533864856,106.83511700000001,7.138253666718259,0.9563561081886292,0.1460093360646725,24.449911018102473
35.0,5.0,26.306683585887328,1.0,972.0,6.231321202807984,31.624216531235934,27.32884658064516,15.0,10.78152696798547,9.970128721266365,1.0,29.076715552905366,22.0,72.28474933523084,0,12.0,1.0,75.0,0.0,14.0,3.0,6.831484389865468,51.90744755456463,101.71569400000004,10.165496827641384,0.9009596705436707,0.18951677756727092,23.749032877145712
0.0,5.0,0.0,1.0,0.0,11.117385966847863,45.08915346848039,27.32884658064516,0.0,1.5267786436722774,0.0,2.0,12.252283708681857,33.0,80.89546617940039,0,14.0,0.0,128.0,2.0,31.0,6.0,7.485372770638266,55.54755910173119,106.81016400000004,7.495261075729404,0.38688889145851135,0.1821688093080929,22.813785766085175
75.0,5.0,33.32837335268243,1.0,862.0,5.561710592015216,39.72008581262877,27.32884658064516,3.0,16.742609976908177,0.22701826051044152,1.0,11.310997013539886,8.0,73.10986982954904,0,3.0,0.0,89.0,2.0,30.0,4.0,1.6465993313104508,31.27417551666297,108.46227700000003,5.043949898170385,0.2349441796541214,0.1456841271247264,22.959490881023022
6.0,3.0,44.150695860317555,1.0,329.0,5.306800784949475,43.66114691610598,27.32884658064516,7.0,6.4464741698753985,9.14713837891267,1.0,13.735907100967868,8.0,48.06288096875987,0,14.0,1.0,105.0,0.0,29.0,3.0,8.096706502464391,41.86570860414618,107.72107999999999,8.555513431330173,0.8633734583854675,0.16867880065812124,22.012751224676958
16.0,0.0,44.51041050010612,1.0,785.0,4.439212616454909,38.62302698719559,27.32884658064516,0.0,10.81812399962084,5.846579575778112,1.0,10.036667486447783,24.0,44.61478556421894,0,5.0,0.0,100.0,2.0,31.0,4.0,3.3506528902595276,58.19853782250359,108.61177399999997,2.252573115775151,0.3748892545700073,0.15725801935796566,20.80562970615356
4.0,2.0,0.6653598501232061,1.0,1279.0,4.421411012265656,38.523631910550336,27.32884658064516,6.0,13.061920615925434,6.857499896982166,1.0,5.678706136766985,6.0,64.62496385985538,0,13.0,0.0,99.0,2.0,29.0,5.0,7.447292908500637,40.02116593405256,105.88369,9.888500251742284,0.5875493288040161,0.15389257567400608,21.9309717349121
