Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
5,7.5,0.01389,0,1,30.0,30.0,0.0,8,0.1,0.00833,60.0,28.4
5,7.5,0.01389,0,1,30.0,30.0,10.0,8,0.1,0.00833,60.0,29.3
5,7.5,0.01389,0,1,30.0,30.0,10.0,8,0.1,0.00833,60.0,37.1
0,0.0,0.0,0,1,20.0,20.0,0.0,8,0.06,0.21,60.22,51.26
0,0.0,1.0,0,1,20.0,20.0,0.0,8,0.06,0.42,60.22,47.55
0,0.0,0.33333,0,1,20.0,20.0,0.0,8,0.06,0.84,60.22,49.66
8,0.0,0.0,0,1,42.0,42.0,0.0,5,0.06,0.35,60.0,15.15
8,0.0,0.0,0,1,42.0,42.0,2.5,5,0.06,0.35,60.0,16.12
8,0.0,0.0,0,1,42.0,42.0,5.0,5,0.068,0.35,60.0,16.94
8,0.0,0.0,0,1,42.0,42.0,10.0,5,0.084,0.35,60.0,20.46
8,0.0,0.0,0,1,42.0,42.0,15.0,5,0.08,0.35,60.0,19.19
8,0.0,0.0,0,1,42.0,42.0,20.0,5,0.096,0.35,60.0,19.79
5,3.0,0.0,1,0,30.0,0.0,0.0,8,0.1458,0.0,65.1368,22.39
5,3.0,0.0,1,0,30.0,0.0,0.0,8,0.1458,0.0,65.1368,21.38
5,3.0,0.0,1,0,30.0,0.0,0.0,8,0.1458,0.0,65.1368,21.49
8,6.22222,0.0,0,1,56.0,0.0,0.0,8,0.1,0.0,68.20741,51.47
8,6.22222,0.0,0,1,56.0,0.0,15.0,8,0.1,0.0,63.32171,64.64
8,6.22222,0.0,0,1,56.0,0.0,10.0,8,0.1,0.0,64.08171,63.1
8,6.22222,0.0,0,1,56.0,0.0,25.0,8,0.1,0.0,61.88594,68.47
0,0.0,0.0,0,1,21.0,21.0,0.0,8,0.06,0.21,55.0,32.42
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,23.55
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,8,0.98322,0.76086,64.42877,19.67
0,15.5,0.0,0,1,31.0,31.0,0.0,8,0.06,0.09384,65.4,48.8
0,15.5,0.0,0,1,31.0,31.0,0.0,8,0.06,0.15639,65.4,50.7
0,15.5,0.5,0,1,31.0,31.0,0.0,8,0.06,0.28151,65.4,53.1
8,0.0,0.0,0,1,48.0,48.0,0.0,3,0.045,0.3279,50.0,67.56
5,0.0,0.0,0,1,48.0,48.0,0.0,3,0.045,0.34666,50.0,60.2
7,0.0,0.0,0,1,48.0,48.0,0.0,3,0.045,0.38698,50.0,60.06
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.2,72.1,52.59
6,7.0,0.0,0,1,35.0,35.0,10.0,8,0.06,0.2,72.1,50.31
6,7.0,0.0,0,1,35.0,35.0,10.0,8,0.06,0.2,72.1,48.7
6,7.0,0.0,0,1,35.0,35.0,12.5,8,0.06,0.2,72.1,49.24
6,7.0,0.0,0,1,35.0,35.0,12.5,8,0.06,0.2,72.1,47.73
8,21.0,0.0,0,1,21.0,21.0,0.0,8,1.2096,0.24,59.81,49.2
8,21.0,0.0,0,1,21.0,21.0,0.0,0,1.2096,0.24,60.21,44.46
4,1.0,0.0,1,1,105.0,0.0,0.0,8,0.055,0.0,72.754,49.18
