Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),NH3-N loss (%)
9,3.71429,0.0,2,0,26.0,0.0,0.0,5,1.2,0.0,65.0,26.82
9,3.71429,0.0,2,0,26.0,0.0,15.67944,5,1.2,0.0,65.0,21.65
9,3.71429,0.0,2,0,26.0,0.0,31.35889,5,1.2,0.0,65.0,7.31
9,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,5.47
9,17.5,1.0,0,1,35.0,35.0,0.0,5,0.06,0.38,67.6,29.26
9,17.5,1.0,0,1,35.0,35.0,0.408,5,0.06,0.38,63.96,16.11
9,17.5,1.0,0,1,35.0,35.0,0.408,5,0.06,0.38,63.96,30.93
9,17.5,1.0,0,1,35.0,35.0,0.408,5,0.06,0.38,63.96,16.12
9,5.6,0.0,0,1,28.0,28.0,0.0,5,0.06,0.48,57.54093,24.95
9,5.6,0.0,0,1,28.0,28.0,2.44988,5,0.06,0.48,57.62952,11.23
9,5.6,0.0,0,1,28.0,28.0,2.45195,5,0.06,0.48,57.62952,22.85
9,5.6,0.0,0,1,28.0,28.0,4.35435,5,0.06,0.48,58.27852,26.71
8,5.66667,0.0,0,1,34.0,34.0,0.0,5,0.06,0.27211,65.0,31.52
8,5.66667,0.0,0,1,34.0,34.0,10.0,5,0.06,0.26291,65.0,21.26
8,5.66667,0.0,0,1,34.0,34.0,10.28571,5,0.06,0.26265,65.0,16.22
8,5.66667,0.0,0,1,34.0,34.0,14.57143,5,0.06,0.2589,65.0,14.88
9,5.83333,0.0,0,1,35.0,35.0,0.0,5,0.06,0.25,69.2,32.5
9,5.83333,0.0,0,1,35.0,35.0,7.38571,5,0.06,0.25,68.97,14.5
9,5.83333,0.0,0,1,35.0,35.0,4.0,5,0.06,0.25,68.8,20.3
9,5.83333,0.0,0,1,35.0,35.0,7.38571,5,0.06,0.25,68.97,12.4
7,5.55556,0.0,0,1,50.0,50.0,0.0,5,0.1,4.50866,60.0,36.3
7,5.55556,0.0,0,1,50.0,50.0,2.0,5,0.1,4.50866,60.0,33.2
7,5.55556,0.0,0,1,50.0,50.0,4.0,5,0.1,4.537,60.0,26.6
7,5.55556,0.0,0,1,50.0,50.0,6.0,5,0.1,5.06,60.0,20.4
7,5.55556,0.0,0,1,50.0,50.0,8.0,5,0.1,5.06,60.0,14.9
7,5.55556,0.0,0,1,50.0,50.0,10.0,5,0.1,3.87,60.0,10.7
9,5.55556,0.0,0,1,50.0,50.0,0.0,5,0.1,0.3,55.0,2.49315
9,5.55556,0.0,0,1,50.0,50.0,10.0,5,0.1,0.3,59.0,1.56621
9,5.55556,0.0,0,1,50.0,50.0,20.0,5,0.1,0.3,59.608,0.86301
9,5.55556,0.0,0,1,50.0,50.0,20.5,5,0.1,0.3,59.608,0.83105
9,5.55556,0.0,0,1,50.0,50.0,21.0,5,0.1,0.3,59.608,0.67656
9,5.55556,0.0,0,1,50.0,50.0,22.0,5,0.1,0.3,59.608,0.58067
8,4.85714,0.0,0,1,34.0,34.0,0.0,4,0.005,0.03367,67.6,8.7
8,4.85714,0.0,0,1,34.0,34.0,7.73359,4,0.005,0.03367,67.3,7.87
8,4.85714,0.0,0,1,34.0,34.0,7.12828,4,0.005,0.03367,66.8,6.6
8,4.85714,0.0,0,1,34.0,34.0,6.05043,4,0.005,0.03367,66.0,3.5
7,7.0,0.0,0,1,91.0,7.6,0.0,5,0.25,0.01275,60.0,12.9281
7,7.0,0.0,0,1,91.0,7.6,12.5,5,0.25,0.01275,60.0,9.06668
7,7.0,0.0,0,1,91.0,7.6,12.5,5,0.25,0.01275,60.0,4.30644
7,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,2.61249
7,7.0,0.0,0,1,91.0,7.6,0.0,5,0.25,0.01275,60.0,10.7421
7,7.0,0.0,0,1,91.0,7.6,12.5,5,0.25,0.01275,60.0,7.72635
7,7.0,0.0,0,1,91.0,7.6,12.5,5,0.25,0.01275,60.0,3.65344
7,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,2.32943
7,7.0,0.0,0,1,91.0,7.6,0.0,5,0.25,0.01275,60.0,7.81575
7,7.0,0.0,0,1,91.0,7.6,12.5,5,0.25,0.01275,60.0,4.11289
7,7.0,0.0,0,1,91.0,7.6,12.5,5,0.25,0.01275,60.0,3.05309
7,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,2.04637
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,23.37209
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,14.48837
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,16.25581
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,19.37209
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,9.98214
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,13.01724
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,11.78571
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,10.94737
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,6.04167
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,14.4898
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,10.1875
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,4,0.98322,0.76086,64.42877,16.33333
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,69.0,12.68381
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,63.0,12.08819
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,66.0,12.98188
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,65.0,10.27237
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,67.0,10.55777
1,0.0,0.0,0,1,28.0,28.0,25.0,5,0.01,0.28,65.0,9.08721
1,0.0,0.0,0,1,28.0,28.0,14.28571,5,0.01,0.28,67.0,9.48959
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,65.0,9.09293
1,0.0,0.0,0,1,28.0,28.0,0.0,1,0.01,0.28,65.0,11.69221
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.24,64.1,13.9
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.48,65.2,18.7
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.72,63.7,20.6
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.24,71.3,12.7
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.48,70.6,16.9
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.72,70.8,32.4
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.24,75.7,9.6
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.48,76.8,27.7
9,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.72,74.0,24.9
0,0.0,0.0,1,1,21.0,21.0,0.0,5,0.0442,0.0,71.66,5.37
0,0.0,0.0,1,1,21.0,21.0,0.0,5,0.0442,0.0,69.89,2.589
9,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,23.81
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.1559,0.35558,66.03,12.59
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.2984,0.35558,65.69,16.16
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.5697,0.35558,66.14,17.44
9,7.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,29.5
9,7.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,26.6
9,14.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,27.9
9,14.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,23.7
9,0.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,12.8
9,0.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,10.3
9,7.85714,0.0,2,0,55.0,0.0,0.0,0,11.25,0.0,60.04,4.51
9,3.66667,0.0,2,0,55.0,0.0,0.0,0,11.25,0.0,60.04,2.502
8,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,0,0.98322,0.76086,64.42877,4.44
8,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,0,0.98322,0.76086,64.42877,2.18
8,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.2,72.1,21.16
9,8.0,0.0,0,1,56.0,0.0,0.0,5,1.2,0.0,67.6,35.7
9,8.0,0.0,0,1,56.0,0.0,3.3,5,1.2,0.0,67.6,27.4
9,8.0,0.0,0,1,56.0,0.0,6.6,5,1.2,0.0,67.6,20.7
9,8.0,0.0,0,1,56.0,0.0,9.9,5,1.2,0.0,67.6,15.7
9,8.0,0.0,0,1,56.0,0.0,13.2,5,1.2,0.0,67.6,12.9
7,3.11111,0.0,0,1,28.0,0.0,0.0,5,0.13,0.0,61.4561,36.3
7,3.11111,0.0,0,1,28.0,0.0,2.0,5,0.13,0.0,60.661,33.2
7,3.11111,0.0,0,1,28.0,0.0,4.0,5,0.13,0.0,59.7109,26.6
7,3.11111,0.0,0,1,28.0,0.0,6.0,5,0.13,0.0,60.4548,20.4
7,3.11111,0.0,0,1,28.0,0.0,8.0,5,0.13,0.0,60.0684,14.9
7,3.11111,0.0,0,1,28.0,0.0,10.0,5,0.13,0.0,59.4546,10.7
0,5.33333,0.0,1,0,64.0,0.0,0.0,5,1.0,0.0,74.0,8.12
