Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
8,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.24,64.1,1.6
8,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.24,71.3,1.5
8,9.25,0.0,0,1,37.0,37.0,0.0,5,0.06,0.24,75.7,2.1
8,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.54
8,7.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,0.81
8,7.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,0.96
8,14.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,1.05
8,14.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,1.07
7,5.57143,1.0,0,1,39.0,39.0,0.0,5,0.288,0.455,68.07,1.11
7,5.57143,1.0,0,1,39.0,39.0,0.0,4,0.288,0.455,68.53,1.37
8,7.85714,0.0,2,0,55.0,0.0,0.0,0,11.25,0.0,60.04,0.0397
8,3.66667,0.0,2,0,55.0,0.0,0.0,0,11.25,0.0,60.04,0.0169
7,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,0,0.98322,0.76086,64.42877,0.018
7,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,0,0.98322,0.76086,64.42877,0.0066
7,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.2,72.1,0.5
8,8.0,0.0,0,1,56.0,0.0,0.0,5,1.2,0.0,67.6,1.0
8,8.0,0.0,0,1,56.0,0.0,3.3,5,1.2,0.0,67.6,0.79
8,8.0,0.0,0,1,56.0,0.0,6.6,5,1.2,0.0,67.6,0.74
8,8.0,0.0,0,1,56.0,0.0,9.9,5,1.2,0.0,67.6,0.68
8,8.0,0.0,0,1,56.0,0.0,13.2,5,1.2,0.0,67.6,0.86
6,3.11111,0.0,0,1,28.0,0.0,0.0,5,0.13,0.0,61.4561,2.05
6,3.11111,0.0,0,1,28.0,0.0,2.0,5,0.13,0.0,60.661,2.01
6,3.11111,0.0,0,1,28.0,0.0,4.0,5,0.13,0.0,59.7109,1.53
6,3.11111,0.0,0,1,28.0,0.0,6.0,5,0.13,0.0,60.4548,1.42
6,3.11111,0.0,0,1,28.0,0.0,8.0,5,0.13,0.0,60.0684,1.24
6,3.11111,0.0,0,1,28.0,0.0,10.0,5,0.13,0.0,59.4546,0.75
0,5.33333,0.0,1,0,64.0,0.0,0.0,5,1.0,0.0,74.0,0.1
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.0,0.0,74.0,0.11
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.0,0.0,74.0,0.06
0,5.33333,0.0,1,1,64.0,64.0,0.0,5,1.0,1.157,74.0,0.06
6,0.0,1.0,0,1,25.0,25.0,0.0,5,0.06,0.08242,60.0,0.69491
6,0.0,1.0,0,1,25.0,25.0,0.0,5,0.06,0.82645,60.0,0.26553
6,0.0,1.0,0,1,25.0,25.0,0.0,5,0.06,1.64384,60.0,0.16811
8,0.0,0.0,1,0,110.6,0.0,0.0,5,0.4,0.0,77.53,0.02
8,0.0,0.0,1,0,110.6,0.0,0.0,0,0.4,0.0,66.71,1.1
8,0.0,0.0,1,0,110.6,0.0,0.0,0,0.4,0.0,66.36,1.2
8,0.0,0.0,1,0,73.7,0.0,0.0,0,0.15121,0.0,67.68,0.004
8,0.0,0.0,1,0,65.1,0.0,0.0,0,0.15121,0.0,66.26,0.033
7,0.0,0.0,0,1,50.0,50.0,0.0,4,0.03,0.22286,72.13,0.05951
7,0.0,0.0,0,1,50.0,50.0,0.0,5,0.03,0.20526,69.74,0.04235
7,0.0,0.0,0,1,50.0,50.0,0.0,2,0.03,0.21455,71.05,0.0336
8,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.8589,60.0,0.136
8,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.92562,60.0,0.214
8,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.90323,60.0,0.279
8,14.0,1.0,0,1,28.0,28.0,0.0,5,0.07122,0.90909,60.0,0.315
2,7.0,0.5,0,1,28.0,28.0,0.0,5,0.06,1.20727,66.9,1.68
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.96434,58.6,0.69
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.85547,53.1,1.34
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.76023,47.5,2.36
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.9
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,1.1
8,0.0,0.0,2,1,56.0,56.0,0.0,5,1.37,0.108,69.4,1.13
8,0.0,0.0,2,1,56.0,56.0,1.7301,5,1.37,0.108,71.1,1.06
8,0.0,0.0,2,1,56.0,56.0,1.38889,5,1.37,0.108,71.2,1.02
8,0.0,0.0,2,1,56.0,56.0,3.7037,5,1.37,0.108,67.6,0.71
8,0.0,0.0,2,1,56.0,56.0,0.32468,5,1.37,0.108,69.2,0.81
8,0.0,0.0,2,1,56.0,56.0,2.06897,4,1.37,0.108,71.0,0.77
8,0.0,0.0,2,1,56.0,56.0,0.0,5,1.37,0.108,70.3,1.2
8,0.0,0.0,2,1,56.0,56.0,2.83688,4,1.18,0.108,71.8,1.03
0,0.0,0.0,1,0,64.0,0.0,0.0,5,1.1,0.0,74.27405,0.11274
0,0.0,0.0,1,1,64.0,0.0,0.0,5,1.1,0.0,74.27405,0.11492
0,5.33333,0.0,1,1,64.0,0.0,0.0,5,1.1,0.0,74.27405,0.06709
0,5.33333,0.02128,1,1,64.0,64.0,0.0,5,1.1,2.5,74.27405,0.06553
6,7.5,0.01389,0,1,30.0,30.0,0.0,5,0.1,0.00833,60.0,0.024
6,7.5,0.01389,0,1,30.0,30.0,10.0,5,0.1,0.00833,60.0,0.016
6,7.5,0.01389,0,1,30.0,30.0,10.0,5,0.1,0.00833,60.0,0.006
0,0.0,0.0,0,1,20.0,20.0,0.0,5,0.06,0.21,60.22,0.4004
0,0.0,1.0,0,1,20.0,20.0,0.0,5,0.06,0.42,60.22,0.534
0,0.0,0.33333,0,1,20.0,20.0,0.0,5,0.06,0.84,60.22,0.6341
8,6.22222,0.0,0,1,56.0,0.0,0.0,5,0.1,0.0,68.20741,0.72
8,6.22222,0.0,0,1,56.0,0.0,15.0,5,0.1,0.0,63.32171,0.73
8,6.22222,0.0,0,1,56.0,0.0,10.0,5,0.1,0.0,64.08171,0.45
8,6.22222,0.0,0,1,56.0,0.0,25.0,5,0.1,0.0,61.88594,0.55
0,0.0,0.0,0,1,21.0,21.0,0.0,5,0.06,0.21,55.0,0.00623
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.00162
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.00224
0,15.5,0.0,0,1,31.0,31.0,0.0,5,0.06,0.09384,65.4,0.74
0,15.5,0.0,0,1,31.0,31.0,0.0,5,0.06,0.15639,65.4,0.83
0,15.5,0.5,0,1,31.0,31.0,0.0,5,0.06,0.28151,65.4,0.93
7,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.2,72.1,0.88
7,7.0,0.0,0,1,35.0,35.0,10.0,5,0.06,0.2,72.1,1.11
7,7.0,0.0,0,1,35.0,35.0,10.0,5,0.06,0.2,72.1,0.6
7,7.0,0.0,0,1,35.0,35.0,12.5,5,0.06,0.2,72.1,0.24
7,7.0,0.0,0,1,35.0,35.0,12.5,5,0.06,0.2,72.1,0.23
8,21.0,0.0,0,1,21.0,21.0,0.0,5,1.2096,0.24,59.81,2.3
8,21.0,0.0,0,1,21.0,21.0,0.0,0,1.2096,0.24,60.21,1.24
5,6.42857,0.0,0,0,45.0,0.0,0.0,5,0.06,0.0,64.06,0.41
5,6.42857,0.0,0,0,45.0,0.0,0.0,5,0.06,0.0,64.06,0.09
8,17.5,0.0,0,1,70.0,0.0,0.0,5,1.2096,0.0,63.6,1.4
8,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.18,63.6,1.2
8,17.5,0.0,0,1,70.0,70.0,0.0,5,1.2096,0.36,63.6,1.7
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.10748
0,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.11495
6,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.48,71.0,0.0821
6,0.0,0.0,0,1,31.0,31.0,0.0,5,0.01,0.23,71.0,0.1254
6,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.0394
6,4.89904,0.30129,0,1,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.1567
8,7.5,5.0,0,1,30.0,30.0,10.2,5,0.06,0.48,69.63,2.0
8,7.5,5.0,0,1,30.0,30.0,5.2,5,0.06,0.48,69.13,2.0
7,5.0,0.02778,0,1,45.0,45.0,0.0,5,0.12,1.97084,65.0,1.92
7,5.0,0.02778,0,1,45.0,45.0,5.0,5,0.12,2.55513,65.0,1.1
7,5.0,0.02778,0,1,45.0,45.0,1.0,5,0.12,1.71142,65.0,0.79
7,5.0,0.02778,0,1,45.0,45.0,1.0,5,0.12,1.71142,65.0,2.48
7,5.0,0.02778,0,1,45.0,45.0,3.0,5,0.12,1.43942,65.0,2.29
7,5.0,0.02778,0,1,45.0,45.0,3.0,5,0.12,1.43942,65.0,0.5
7,5.0,0.02778,0,1,45.0,45.0,5.0,5,0.12,2.55513,65.0,1.64
8,0.0,0.0,0,1,50.0,50.0,0.0,5,0.1,0.3,60.0,0.79
8,0.0,0.0,0,1,50.0,50.0,10.0,5,0.1,0.3,60.0,0.3
8,0.0,0.0,0,1,50.0,50.0,10.0,5,0.1,0.3,60.0,0.39
8,0.0,0.0,0,1,50.0,50.0,20.0,5,0.1,0.3,60.0,0.19
7,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.1,72.86,0.8
7,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.2,72.86,0.6
7,7.0,0.0,0,1,35.0,35.0,0.0,5,0.06,0.3,72.86,0.6
8,9.33333,0.0,0,1,28.0,28.0,0.0,5,0.06,0.25,52.2,1.5
8,9.33333,0.0,0,1,28.0,28.0,2.03425,5,0.06,0.25,57.74443,1.4
8,9.33333,0.0,0,1,28.0,28.0,2.03425,5,0.06,0.25,57.74443,1.0
8,9.33333,0.0,0,1,28.0,28.0,2.03425,5,0.06,0.25,57.74443,0.3
8,9.33333,0.0,0,1,28.0,28.0,2.03425,5,0.06,0.25,57.74443,0.3
8,9.33333,0.0,0,1,28.0,28.0,2.03425,5,0.06,0.25,57.74443,0.3
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.003
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.016
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.017
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.053
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.001
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.003
0,4.89904,0.30129,2,0,42.95345,24.0761,4.34225,5,0.98322,0.76086,64.42877,0.001
0,0.0,0.0,1,0,90.0,0.0,0.0,5,0.02069,0.0,73.564,0.22
0,0.0,0.0,1,0,90.0,0.0,0.0,4,0.02069,0.0,73.564,0.43
0,0.0,0.0,1,0,90.0,0.0,0.0,4,0.02069,0.0,73.564,0.17
