Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final C_N (%)
0,8,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,14.29,0.01,67.0,4,0.28,11,14.0,14.1
0,0,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,24,0.28,11,14.0,11.4
0,6,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,24,0.28,11,12.1,10.8
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,10.79
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,12.27
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,14.63
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,13.72
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,13.18
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,13.52
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,14.27
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,16.2
1,1,0.75,0,10,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,11,20.54,14.08
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,24,0.24,11,14.7,10.75
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,65.2,24,0.48,11,18.3,12.51
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,63.7,24,0.72,11,20.7,14.69
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,24,0.24,11,18.4,13.89
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.6,24,0.48,11,21.1,13.23
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.8,24,0.72,11,15.0,13.79
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,24,0.24,11,21.2,14.16
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,76.8,24,0.48,11,14.9,16.53
1,2,1.0,0,10,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,24,0.72,11,18.0,14.2
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,0.0,2.0,60.0,24,0.0,11,26.03,16.07
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,17.35
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,15.62
3,4,0.0,2,7,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,22,0.0,11,26.03,15.46
