Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
1,1,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,66.15
1,1,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,73.74
1,1,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,53.31
1,1,0.75,0,6,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,22,0.44,11,20.54,85.99
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,22,0.24,11,14.7,62.0
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,65.2,22,0.48,11,18.3,90.9
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,63.7,22,0.72,11,20.7,83.5
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,22,0.24,11,18.4,81.4
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.6,22,0.48,11,21.1,85.7
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.8,22,0.72,11,15.0,66.2
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,22,0.24,11,21.2,73.5
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,76.8,22,0.48,11,14.9,53.2
1,2,1.0,0,6,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,22,0.72,11,18.0,86.1
3,3,0.0,2,4,21.0,0.0,2,0.0,0.0,14.0,0.0,2.0,60.0,22,0.0,11,26.03,83.23
3,3,0.0,2,4,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,20,0.0,11,26.03,90.7
3,3,0.0,2,4,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,20,0.0,11,26.03,89.1
3,3,0.0,2,4,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,20,0.0,11,26.03,94.58
3,3,0.0,2,4,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,20,0.0,11,26.03,89.15
3,3,0.0,2,4,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,20,0.0,11,26.03,85.94
3,3,0.0,2,4,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,20,0.0,11,26.03,86.27
3,3,0.0,2,4,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,20,0.0,11,26.03,84.06
3,1,0.0,1,6,70.0,0.0,2,0.0,0.0,20.0,0.0,1.04,65.7,22,0.0,11,15.73,116.48
3,1,1.0,1,6,70.0,0.0,2,0.0,0.0,20.0,0.0,0.67,65.7,22,0.0,11,22.31,94.55
3,1,0.0,1,6,70.0,0.0,2,0.0,0.0,10.0,0.0,9.56,65.7,22,0.0,11,13.36,118.59
3,1,1.0,1,6,70.0,0.0,2,0.0,0.0,10.0,0.0,0.77,65.7,22,0.0,11,22.31,97.01
2,1,0.0,1,6,70.0,0.0,2,0.0,0.0,0.0,0.0,9.46,65.7,22,0.0,11,13.22,54.03
2,1,1.0,1,6,70.0,0.0,2,0.0,0.0,0.0,0.0,0.77,65.7,22,0.0,11,22.31,60.16
3,1,0.0,1,6,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,22,0.0,11,17.4,85.2
3,1,1.0,1,6,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,22,0.0,11,17.4,80.6
3,1,0.0,1,6,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,22,0.0,11,17.4,73.5
3,1,1.0,1,6,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,22,0.0,11,17.4,70.5
2,1,0.0,1,6,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,22,0.0,11,17.4,67.4
2,1,1.0,1,6,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,22,0.0,11,17.4,65.6
1,1,1.0,0,5,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,22,0.2,11,11.37,97.4
3,1,1.0,0,6,56.0,0.0,2,0.0,0.0,7.0,0.0,1.2,67.6,22,0.0,11,18.98,121.3
3,1,1.0,0,6,56.0,0.0,2,0.0,0.0,7.0,3.3,1.2,67.6,27,0.0,11,18.98,102.0
3,1,1.0,0,6,56.0,0.0,2,0.0,0.0,7.0,6.6,1.2,67.6,27,0.0,11,18.98,112.2
3,1,1.0,0,6,56.0,0.0,2,0.0,0.0,7.0,9.9,1.2,67.6,27,0.0,11,18.98,121.4
3,1,1.0,0,6,56.0,0.0,2,0.0,0.0,7.0,13.2,1.2,67.6,27,0.0,11,18.98,82.5
3,11,1.0,0,4,28.0,0.0,2,0.0,0.0,9.0,0.0,0.13,61.46,22,0.0,11,30.88,121.0
3,11,1.0,0,4,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,8,0.0,11,30.04,127.0
3,11,1.0,0,4,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,8,0.0,11,30.35,138.0
2,6,0.0,1,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,22,0.0,11,21.56,65.9
2,6,1.0,1,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,22,0.0,11,18.21,84.8
3,6,1.0,1,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,22,0.0,11,18.21,110.4
1,6,1.0,1,0,64.0,64.0,0,0.0,0.0,12.0,0.0,1.0,74.0,22,1.16,11,19.65,117.9
0,9,1.0,0,4,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,22,0.83,11,20.12,97.0
0,9,1.0,0,4,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,22,1.64,11,20.02,106.28
1,1,1.0,0,6,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,22,0.86,11,15.04,75.0
1,1,1.0,0,6,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,22,0.93,11,19.96,88.5
1,1,1.0,0,6,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,22,0.9,11,24.99,116.05
1,4,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,66.9,22,1.21,11,25.0,70.8
1,8,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,22,0.96,11,20.9,121.4
0,7,1.0,2,4,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,22,0.16,11,30.3,107.58
0,7,1.0,2,4,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,22,0.31,11,30.3,117.68
0,7,1.0,2,4,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,22,0.16,11,30.3,88.38
