Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final EC (ms_cm)
0,5,1.0,0,6,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,64.5,24,0.35,12,15.0,6.0
2,4,0.0,0,8,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,81.0,24,0.0,12,12.2,2.99
2,8,0.0,0,8,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,75.8,24,0.0,12,15.3,2.76
2,8,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.3,24,0.0,12,22.3,1.7
2,8,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.0,24,0.0,12,20.1,1.82
2,15,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,80.0,24,0.0,12,29.9,0.96
2,4,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,22.28,0.12,84.1,5,0.0,12,16.9,3.58
2,8,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,9.53,0.12,80.7,5,0.0,12,20.5,2.02
2,8,0.0,0,1,84.0,0.0,2,0.0,0.0,0.0,15.84,0.12,81.5,5,0.0,12,21.3,2.53
3,3,0.0,2,8,55.0,0.0,2,0.0,0.0,7.0,0.0,11.25,60.04,24,0.0,12,15.39,1.89
3,3,0.0,2,8,55.0,0.0,2,0.0,0.0,15.0,0.0,11.25,60.04,24,0.0,12,15.39,1.67
1,1,1.0,0,7,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,24,0.2,12,11.37,1.91
0,14,1.0,0,5,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,24,0.08,12,19.77,2.67
0,14,1.0,0,5,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,24,0.83,12,20.12,2.11
0,14,1.0,0,5,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,24,1.64,12,20.02,2.18
1,1,1.0,0,8,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,24,0.86,12,15.04,2.23
1,1,1.0,0,8,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,24,0.93,12,19.96,1.8
1,1,1.0,0,8,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,24,0.9,12,24.99,1.13
1,1,1.0,0,8,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,24,0.91,12,30.23,0.98
1,4,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,66.9,24,1.21,12,25.0,2.25
1,13,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,24,0.96,12,20.9,2.53
1,13,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,53.1,24,0.86,12,18.7,2.42
1,13,1.0,0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,47.5,24,0.76,12,16.8,2.12
3,4,0.0,1,8,65.0,0.0,2,0.0,0.0,18.0,0.0,16.11,80.3,24,0.0,12,15.4,1.75
3,10,0.0,1,8,65.0,0.0,2,0.0,0.0,18.0,0.0,15.88,70.4,24,0.0,12,28.3,1.4
3,7,0.0,1,8,65.0,0.0,2,0.0,0.0,18.0,0.0,15.88,71.6,24,0.0,12,30.2,1.81
3,3,0.0,1,8,65.0,0.0,2,0.0,0.0,18.0,0.0,15.88,70.1,24,0.0,12,24.7,0.98
0,11,1.0,2,5,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,24,0.16,12,30.3,2.02
0,11,1.0,2,5,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,24,0.31,12,30.3,2.09
0,11,1.0,2,5,21.0,21.0,1,30.0,30.0,0.0,0.0,0.02,59.79,24,0.16,12,30.3,3.0
1,3,0.0,1,7,37.0,37.0,1,20.0,40.0,5.0,0.0,1.0,65.0,24,0.19,12,25.0,1.15
1,3,0.0,1,7,37.0,37.0,1,20.0,40.0,5.0,5.0,1.0,65.0,5,0.19,12,25.0,1.21
1,3,0.0,1,7,37.0,37.0,1,20.0,40.0,5.0,10.0,1.0,65.0,5,0.19,12,25.0,1.25
0,11,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,12,20.54,1.17
0,11,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,21,0.44,12,20.54,3.18
0,11,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,21,0.44,6,20.54,2.5
0,11,0.75,0,7,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,14,0.44,12,20.54,1.72
1,4,1.0,0,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.8,24,0.2,12,18.0,4.0
2,10,0.0,1,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,24,0.0,12,18.78,5.5
2,10,1.0,1,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,24,0.0,12,18.21,4.84
3,10,1.0,1,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.1,74.27,24,0.0,12,18.21,5.6
1,10,0.75,1,0,42.77,22.5,1,2.17,8.47,5.45,5.25,1.46,64.48,24,0.44,12,20.54,4.78
3,1,1.0,1,1,40.0,0.0,2,0.0,0.0,9.0,0.0,0.2,65.0,24,0.0,12,29.71,2.23
3,1,1.0,1,1,40.0,0.0,2,0.0,0.0,9.0,1.0,0.2,65.0,22,0.0,12,29.85,2.31
3,1,1.0,1,1,40.0,0.0,2,0.0,0.0,9.0,5.0,0.2,65.0,5,0.0,12,33.08,2.47
3,1,1.0,1,1,40.0,0.0,2,0.0,0.0,9.0,6.0,0.2,65.0,5,0.0,11,33.44,2.59
