Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final Moisture Content (%)
0,0,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,14,0.28,3,14.0,67.0
0,6,1.0,0,1,28.0,28.0,0,0.0,0.0,0.0,0.0,0.01,65.0,14,0.28,3,12.1,64.0
1,2,1.0,0,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,64.1,14,0.24,3,14.7,71.6
1,2,1.0,0,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,65.2,14,0.48,3,18.3,66.0
1,2,1.0,0,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,63.7,14,0.72,3,20.7,65.0
1,2,1.0,0,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,71.3,14,0.24,3,18.4,75.9
1,2,1.0,0,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.6,14,0.48,3,21.1,73.5
1,2,1.0,0,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,70.8,14,0.72,3,15.0,63.5
1,2,1.0,0,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,75.7,14,0.24,3,21.2,79.6
1,2,1.0,0,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,76.8,14,0.48,3,14.9,76.6
1,2,1.0,0,8,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,14,0.72,3,18.0,61.9
3,4,0.0,2,5,21.0,0.0,2,0.0,0.0,14.0,0.0,2.0,60.0,14,0.0,3,26.03,21.16
3,4,0.0,2,5,21.0,0.0,2,0.0,0.0,14.0,18.62,2.0,60.0,7,0.0,3,26.03,21.37
1,1,1.0,0,8,31.0,30.0,0,0.0,0.0,1.0,2.83,0.95,69.47,14,0.31,3,13.16,52.33
1,14,1.0,0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.16,66.03,14,0.81,3,21.96,49.37
1,14,1.0,0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.3,65.69,14,0.81,3,21.51,50.48
1,14,1.0,0,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.57,66.14,14,0.81,3,21.64,52.49
3,1,0.0,1,8,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,14,0.0,3,17.4,41.7
3,1,1.0,1,8,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,14,0.0,3,17.4,43.1
3,1,0.0,1,8,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,14,0.0,3,17.4,43.9
3,1,1.0,1,8,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,14,0.0,3,17.4,42.6
2,1,0.0,1,8,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,14,0.0,3,17.4,40.5
2,1,1.0,1,8,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,14,0.0,3,17.4,39.7
3,7,0.0,2,8,55.0,0.0,2,0.0,0.0,7.0,0.0,11.25,60.04,14,0.0,3,15.39,59.36
3,7,0.0,2,8,55.0,0.0,2,0.0,0.0,15.0,0.0,11.25,60.04,14,0.0,3,15.39,60.68
1,1,1.0,0,7,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,14,0.2,3,11.37,72.0
3,23,1.0,0,5,28.0,0.0,2,0.0,0.0,9.0,0.0,0.13,61.46,14,0.0,3,30.88,40.61
3,23,1.0,0,5,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,2,0.0,3,30.04,40.1
3,23,1.0,0,5,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,2,0.0,3,30.35,39.09
3,23,1.0,0,5,28.0,0.0,2,0.0,0.0,9.0,6.0,0.13,60.45,2,0.0,3,30.57,38.48
3,23,1.0,0,5,28.0,0.0,2,0.0,0.0,9.0,8.0,0.13,60.07,2,0.0,3,30.88,37.51
3,23,1.0,0,5,28.0,0.0,2,0.0,0.0,9.0,10.0,0.13,59.45,2,0.0,3,31.04,36.46
0,14,1.0,0,7,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,72.13,14,0.22,3,19.11,30.35
0,23,1.0,0,7,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,69.74,14,0.21,3,13.27,34.53
0,13,1.0,0,7,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,71.05,14,0.21,3,13.56,25.68
0,13,1.0,0,7,30.0,30.0,0,0.0,0.0,0.0,8.97,0.03,71.65,13,0.15,3,18.53,27.93
0,13,1.0,0,7,30.0,30.0,0,0.0,0.0,0.0,6.71,0.03,72.65,13,0.16,3,19.49,34.39
0,13,1.0,0,7,60.0,60.0,0,0.0,0.0,0.0,1.89,0.03,71.6,0,0.22,3,20.81,55.48
0,13,1.0,0,7,60.0,60.0,0,0.0,0.0,0.0,2.47,0.03,71.09,12,0.21,3,20.81,44.2
0,13,1.0,0,7,60.0,60.0,0,0.0,0.0,0.0,2.0,0.03,70.84,11,0.21,3,20.81,35.04
