Material_Main,Period (d),Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_3,Additive_4,Material_2,Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,Application Rate (%DW),V3_Ventilation Duration (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
10,70.0,7.0,0.0,0.0,1,4,11,27,4,1,13,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,63.64
10,70.0,7.0,0.0,1.0,1,4,11,27,4,1,13,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,63.16
10,70.0,14.0,0.0,0.0,1,4,11,27,4,1,13,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,63.33
10,70.0,14.0,0.0,1.0,1,4,11,27,4,1,13,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,62.73
10,70.0,0.0,0.0,0.0,1,4,11,27,4,1,13,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,52.88
10,70.0,0.0,0.0,1.0,1,4,11,27,4,1,13,1.2,2.0,0.0,0.0,0.0,17.4,0.0,64.0,51.81
8,35.0,7.0,0.0,1.0,0,4,11,27,4,1,13,0.06,0.0,35.0,0.0,0.0,11.37,0.2,72.1,50.26
10,56.0,8.0,0.0,1.0,0,4,11,27,4,1,13,1.2,2.0,0.0,0.0,0.0,18.98238,0.0,67.6,66.0
10,56.0,8.0,0.0,1.0,0,4,11,4,4,1,13,1.2,2.0,0.0,3.3,0.0,18.98238,0.0,67.6,59.5
10,56.0,8.0,0.0,1.0,0,4,11,4,4,1,13,1.2,2.0,0.0,6.6,0.0,18.98238,0.0,67.6,60.5
10,56.0,8.0,0.0,1.0,0,4,11,4,4,1,13,1.2,2.0,0.0,9.9,0.0,18.98238,0.0,67.6,55.3
10,56.0,8.0,0.0,1.0,0,4,11,4,4,1,13,1.2,2.0,0.0,13.2,0.0,18.98238,0.0,67.6,44.3
