Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,18.91355
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,7.0952
8,5.0,0,1,11,45.0,45.0,20.0,0.0,5,0.12,0.94745,65.0,20.62762,2.14963,1,38.92499,0,0.4168,7.3
8,5.0,0,1,11,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,21.9187,2.37593,1,37.1463,21,0.3489,4.09
8,5.0,0,1,11,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,20.62762,2.05396,1,38.65892,21,0.4418,3.58
8,5.0,0,1,11,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,20.62762,2.05396,1,38.65892,26,0.4418,0.8
8,5.0,0,1,11,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,21.10208,2.04396,1,38.4367,8,0.49078,0.98
8,5.0,0,1,11,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,21.10208,2.04396,1,38.4367,17,0.49078,1.57
8,5.0,0,1,11,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,21.9187,2.37593,1,37.1463,1,0.3489,2.89
9,0.0,0,1,0,50.0,50.0,0.0,0.0,5,0.1,0.3,60.0,25.0,1.79369,0,45.68891,0,0.59489,2.48
9,0.0,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,60.0,25.0,1.68726,0,43.74646,0,0.59489,1.57
9,0.0,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,60.0,25.0,1.68726,0,43.74646,28,0.59489,1.74
9,0.0,0,1,0,50.0,50.0,0.0,20.0,5,0.1,0.3,60.0,25.0,1.84627,0,43.27641,0,0.54132,0.86
8,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.1,72.86,11.37,2.68,0,30.45,0,0.667,18.4
8,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.2,72.86,11.37,2.68,0,30.45,0,0.667,21.2
8,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.3,72.86,11.37,2.68,0,30.45,0,0.667,19.1
9,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.02882,20.79943,2.22788,0,42.90273,8,0.58992,17.9
9,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.02882,20.79943,2.25502,0,42.90273,8,0.58992,16.1
9,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.02882,20.79943,2.2751,0,42.90273,8,0.58992,18.4
9,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.02882,20.79943,2.31124,0,42.90273,8,0.58992,15.8
9,9.33333,0,1,0,28.0,28.0,0.0,1.82956,5,0.06,0.25,58.32282,21.00843,2.35657,0,42.90273,8,0.58895,17.2
0,0.0,1,0,0,90.0,0.0,0.0,0.0,5,0.02069,0.0,66.971,18.867,1.204,0,45.46,0,0.87008,0.41
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,68.6,22.8,1.272,0,45.836,0,0.69316,0.13
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,68.65,23.71,1.142,0,45.42,0,0.58005,0.23
