Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
8,5.09091,0,1,0,56.0,56.0,0.0,2.0,11,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,0,0.5,4.15
8,5.09091,0,1,0,56.0,56.0,0.0,4.0,11,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,0,0.5,2.7
8,5.09091,0,1,0,56.0,56.0,0.0,6.0,11,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,0,0.5,3.16
8,5.09091,0,1,0,56.0,56.0,0.0,8.0,11,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,0,0.5,2.44
8,5.09091,0,1,0,56.0,56.0,0.0,12.0,11,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,0,0.5,2.21
8,5.09091,0,1,0,56.0,56.0,0.0,18.0,11,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,0,0.5,2.08
4,1.86486,1,0,0,69.0,0.0,0.0,0.0,2,0.08,0.0,80.7,20.37805,0.82,0,16.71,0,0.47273,24.05063
4,1.86486,1,0,0,69.0,0.0,0.0,3.0,2,0.08,0.0,80.7,22.76667,0.9,0,20.49,0,0.47273,17.24138
4,1.86486,1,0,0,69.0,0.0,0.0,4.0,2,0.08,0.0,80.7,19.47368,0.95,0,18.5,21,0.47273,11.63934
4,1.86486,1,0,0,69.0,0.0,0.0,3.0,2,0.08,0.0,80.7,22.13253,0.83,0,18.37,21,0.47273,18.1
10,8.75,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.3,69.2,18.4,2.04,0,37.48,0,0.60796,37.5
10,8.75,0,1,0,35.0,35.0,0.0,1.504,11,0.06,0.3,69.2,18.4,2.04,0,37.48,9,0.58703,18.8
10,8.75,0,1,0,35.0,35.0,0.0,1.504,11,0.06,0.3,69.2,18.4,2.04,0,37.48,24,0.58703,20.8
