Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,0,0.47904,61.6828
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,13,0.47904,43.9172
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,16,0.47904,53.0759
0,5.24451,0,1,0,45.00543,23.95271,3.71964,4.61917,5,1.07218,0.65641,64.22697,21.36486,2.05673,0,39.17911,13,0.47904,51.6414
8,0.0,0,0,0,84.0,0.0,0.0,0.0,8,0.12,0.0,81.0,12.2,3.86,0,46.9,0,0.35789,24.9
8,0.0,0,0,0,84.0,0.0,0.0,0.0,8,0.12,0.0,75.8,15.3,3.18,0,48.8,0,0.37259,31.4
1,0.0,0,0,0,84.0,0.0,0.0,0.0,8,0.12,0.0,77.3,22.3,2.16,0,48.2,0,0.34361,31.6
1,0.0,0,0,0,84.0,0.0,0.0,0.0,8,0.12,0.0,77.0,20.1,2.25,0,45.3,0,0.35833,40.8
1,0.0,0,0,0,84.0,0.0,0.0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,0,0.35875,35.0
1,0.0,0,0,0,84.0,0.0,0.0,22.28321,8,0.12,0.0,84.1,16.9,2.26,0,38.3,0,0.35901,14.9
1,0.0,0,0,0,84.0,0.0,0.0,9.53373,8,0.12,0.0,80.7,20.5,2.21,0,45.3,0,0.35838,32.3
1,0.0,0,0,0,84.0,0.0,0.0,15.84383,8,0.12,0.0,81.5,21.3,2.03,0,42.5,0,0.35766,25.3
0,12.0,0,1,0,60.0,60.0,0.0,4.39709,8,0.045,0.22,60.0,16.0,2.3,0,36.9,2,0.5,44.0
0,12.0,0,1,0,60.0,60.0,0.0,3.29709,8,0.045,0.44,60.0,19.0,2.0,0,38.2,2,0.5,51.0
0,12.0,0,1,0,60.0,60.0,0.0,6.29709,8,0.045,0.66,60.0,22.0,1.8,0,39.8,2,0.5,54.0
0,12.0,0,1,0,60.0,60.0,0.0,1.79709,8,0.045,0.22,65.0,19.0,2.0,0,38.4,2,0.4055,42.0
0,12.0,0,1,0,60.0,60.0,0.0,1.79709,8,0.045,0.44,65.0,22.0,1.8,0,40.4,2,0.4055,56.0
0,12.0,0,1,0,60.0,60.0,0.0,1.16746,8,0.045,0.66,65.0,16.0,2.3,0,37.2,2,0.38494,51.0
0,12.0,0,1,0,60.0,60.0,0.0,1.29709,8,0.045,0.22,70.0,22.0,1.8,0,40.6,2,0.32607,47.0
0,12.0,0,1,0,60.0,60.0,0.0,0.43598,8,0.045,0.44,70.0,16.0,2.3,0,37.5,2,0.30422,36.0
0,12.0,0,1,0,60.0,60.0,0.0,0.29709,8,0.045,0.66,70.0,19.0,2.0,0,38.5,2,0.29872,50.0
1,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.01,0.28,69.0,11.0,3.7,0,40.7,0,0.24194,23.5
1,0.0,0,1,0,28.0,28.0,0.0,0.0,4,0.01,0.28,63.0,11.0,3.7,0,40.7,0,0.27027,20.6
1,0.0,0,1,0,28.0,28.0,0.0,0.0,4,0.01,0.28,66.0,11.0,3.7,0,40.7,0,0.25735,21.8
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,65.0,14.7,2.85034,0,41.9,0,0.28571,16.8
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,67.0,12.9,3.2093,0,41.4,0,0.26515,19.2
1,0.0,0,1,0,28.0,28.0,0.0,25.0,8,0.01,0.28,65.0,16.7,2.93413,0,49.0,0,0.28571,8.9
1,0.0,0,1,0,28.0,28.0,0.0,14.28571,8,0.01,0.28,67.0,14.0,3.24286,0,45.4,0,0.26515,13.4
1,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.01,0.28,65.0,14.0,2.95714,0,41.4,0,0.28571,29.5
1,0.0,0,1,0,28.0,28.0,0.0,0.0,2,0.01,0.28,65.0,12.1,3.34711,0,40.5,0,0.28571,18.6
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.24,65.0,14.5,2.4,1,34.8,0,0.51305,43.0
