material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TN loss  (%)
5,2.206210669515432,49.0661252900232,76.28,22.24,8.73,11,7,4,26.68
3,1.91,38.1,59.81,19.9,7.3,9,4,4,32.32
3,1.79,35.6,60.21,19.9,7.89,9,30,4,29.84
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,24,4,14.75
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,24,0,18.6
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,24,0,14.45
5,-1.0,-1.0,-1.0,-1.0,-1.0,11,24,0,14.85
5,1.78,44.89,56.23,25.21,8.12,11,34,4,23.5
5,1.78,44.89,56.23,25.21,8.12,11,34,3,0.5
5,1.78,44.89,56.23,25.21,8.12,11,34,2,0.5
5,1.78,44.89,56.23,25.21,8.12,11,34,2,0.5
5,1.78,44.89,56.23,25.21,8.12,11,34,2,0.5
2,3.5149820532651166,41.12529002320186,65.3,11.7,6.92,11,20,4,55.92
2,1.9823665893271463,49.559164733178655,61.9,25.0,6.0,11,20,4,32.02
2,1.1831657643722608,53.24245939675174,58.4,45.0,5.6,11,20,4,23.29
2,1.3120649651972158,52.48259860788863,56.2,40.0,5.8,11,20,4,28.36
2,1.4844216108717267,51.95475638051044,58.8,35.0,5.7,11,20,4,25.55
2,1.6927687548337198,50.7830626450116,60.9,30.0,5.7,11,20,4,27.35
2,2.3895011600928076,47.79002320185615,61.9,20.0,6.7,11,20,4,42.17
2,2.9972931167826764,44.959396751740144,64.5,15.0,6.82,11,20,4,44.85
3,1.52,35.65,66.56369999999994,23.5,8.3,0,42,4,63.0
3,1.04,23.81,65.05469999999998,22.9,7.2,0,42,1,47.11
3,1.02,23.61,65.68179999999995,22.3,8.3,0,42,3,49.81
3,1.03,23.81,67.50139999999998,23.1,7.5,0,42,2,46.85
3,1.0,37.16,62.35080000000001,37.2,8.2,0,22,4,58.15
3,0.82,29.73,71.84760000000004,36.1,7.0,0,22,1,49.0
3,0.8,29.73,55.0916,37.1,8.0,0,22,3,46.31
3,0.81,29.73,70.15879691100002,36.6,7.3,0,22,2,48.46
3,0.85,40.41,75.57460000000005,47.5,7.7,0,16,4,44.15
3,0.7,32.33,64.245593822,45.9,6.7,0,16,1,26.65
3,0.68,32.33,73.95100000000004,47.5,7.6,0,16,3,28.27
3,0.69,32.33,73.87280000000001,46.7,6.9,0,16,2,31.19
3,1.52,35.65,68.08669999999992,23.5,8.3,0,42,4,63.0
3,1.0,37.16,62.35080000000001,37.2,8.2,0,22,4,58.15
3,0.85,40.41,75.57460000000005,47.5,7.7,0,16,4,44.15
3,1.04,23.81,67.32379999999998,22.9,7.2,0,42,3,47.11
3,0.82,29.73,71.84760000000004,36.1,7.0,0,22,3,49.0
3,0.7,32.33,64.245593822,45.9,6.7,0,16,3,26.65
3,1.02,23.61,66.84099999999994,22.3,8.3,0,42,3,49.81
3,0.8,29.73,55.0916,37.1,8.0,0,22,3,46.31
3,0.68,32.33,73.95100000000004,47.5,7.6,0,16,3,28.27
3,1.03,23.81,67.50139999999998,23.1,7.5,0,42,3,46.85
3,0.81,29.73,70.15879691100002,36.6,7.3,0,22,3,48.46
3,0.69,32.33,73.87280000000001,46.7,6.9,0,16,3,31.19
