material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CH4-C loss (%)
3,1.961381895,41.93885999999998,69.47,13.16,7.13,8,3,4,0.16999999999999998
3,1.872139878103448,40.49142547563805,66.0,21.9,-1.0,0,14,4,0.31
3,1.870833758103448,40.38722547563805,66.0,21.9,-1.0,0,14,4,0.33999999999999997
3,2.193934385080452,37.51888000000002,66.0,21.9,-1.0,0,14,4,0.41000000000000003
3,2.207793288922557,37.8937454060325,64.0,17.4,7.4,8,3,4,0.13999999999999999
3,2.18327471846546,37.40829000000002,64.0,17.4,7.4,8,3,4,0.25
3,1.911524156551724,42.58870555029236,64.0,17.4,7.4,8,3,4,0.5
4,2.083591210000001,40.90028004640371,68.07,25.38,7.57,10,3,4,0.147
4,2.604162500000001,105.5850172,68.53,24.32,6.95,10,14,4,0.135
3,2.525962500000001,104.1240172,60.0,15.39,6.54,8,7,4,2.1350000000000002
3,3.300718153477851,105.9205693076923,60.0,15.39,6.54,8,7,4,0.849
4,3.292418595005085,104.4046382000001,64.83,7.73,8.25,10,7,4,0.32
4,2.445529166666669,30.90866671,57.48,8.54,8.22,10,7,4,0.064
4,2.026948818733965,38.93168490719259,72.1,11.37,7.78,10,3,4,0.64
3,2.226265840778045,44.60722505800465,67.7,18.99,-1.0,8,3,4,0.27
3,0.9968841935483864,45.29815150812065,60.0,25.0,6.5,6,21,4,0.33999999999999997
4,2.142323150057043,47.35519466357311,65.0,47.48,7.2,10,21,4,0.13999999999999999
3,2.117300889565703,37.18338200000002,60.0,25.0,7.7,8,21,4,4.73
3,4.361819485074892,54.05477671315713,77.53,6.53,6.2,8,27,4,0.13
3,3.175467652320319,38.616286459486,66.71000000000001,6.81,7.01,8,7,4,0.8999999999999999
3,4.126415514398965,50.71793434410016,66.36,9.22,7.41,8,7,4,0.4
3,3.974248847732298,50.14637846153725,67.67999999999999,7.35,7.59,8,8,4,0.8999999999999999
3,2.043140309275499,41.84695255220419,66.25999999999999,7.24,8.04,8,9,4,1.2
4,2.233711866666666,28.46501826666665,72.13000000000001,19.11,5.67,10,14,4,0.018799999999999997
4,2.375968732831738,32.49411828666666,69.74000000000001,13.27,7.56,10,21,4,0.20470000000000002
4,2.444810466666667,39.01730444,71.05,13.56,8.08,10,12,4,0.1477
4,2.353467600000001,31.54446386666665,72.0,13.9,7.4,10,12,4,1.058
4,6.045013729436318,71.90582510521976,71.05,13.56,8.08,10,12,4,0.158
4,6.037513729436317,72.95900782656841,50.0,4.43,7.6,10,27,4,0.082
4,6.261126219790239,66.16843148192574,60.0,4.43,7.9,10,27,4,0.0435
4,2.090401444745661,36.58605958236664,70.0,4.43,5.1,10,27,4,0.052
3,2.589267900000001,36.58572513201857,61.42999999999999,14.0,6.62,8,13,4,0.09
3,2.5400561,37.62363871930393,65.75,14.0,7.06,8,13,4,3.49
3,2.300834533333334,46.11927424547564,65.59,14.93,8.48,0,13,4,0.08
3,2.573126400000001,40.52929370904874,76.09,14.43,7.74,0,13,4,0.04
3,2.575616200000001,39.41481476751742,40.0,15.0,6.72,8,3,4,0.05
3,2.797464615746701,57.17435090116007,60.0,15.0,6.76,8,3,4,0.04
3,2.621616200000001,40.09538573503483,80.0,15.0,6.63,8,3,4,0.08
3,2.697619933333332,40.38357253503482,60.0,15.0,6.82,8,3,4,0.03
3,1.72111797185929,28.10388607888628,65.0,30.0,7.31,8,19,4,0.194
3,2.0726683892755,38.68226950580049,65.0,24.0,7.07,8,19,4,0.377
3,1.73531797185929,28.27688607888628,65.0,30.0,7.41,8,10,4,0.166
3,2.0726683892755,38.86839973781905,65.0,24.0,7.05,8,10,4,0.561
3,1.977371916571379,33.3543704176334,65.0,30.0,7.23,8,6,4,0.11299999999999999
3,2.0726683892755,38.75876950580049,65.0,24.0,6.94,8,6,4,0.396
1,2.074209909484245,43.28969311925756,66.9,25.0,5.75,10,27,4,0.33999999999999997
1,2.223000581669822,42.71665491322508,58.599999999999994,20.9,5.36,10,0,4,0.27
1,2.13145271346793,39.61294208399073,53.1,18.7,5.13,10,0,4,0.2
1,1.879975696257651,51.37511282407425,47.5,16.8,5.04,10,0,4,0.12
3,2.845139718825504,56.407650761498424,60.0,30.0,7.2,8,14,4,0.016
3,2.845139718825504,56.407650761498424,81.0,18.15182829888712,7.47,0,27,4,24.04
3,2.030158912576152,40.07720159350349,81.0,16.161837455830387,7.42,0,27,4,35.87
4,1.748145674184919,41.48466171693732,50.0,19.0,-1.0,10,7,4,0.0123
3,2.455729166666668,30.91305711,47.8,14.86,7.27,8,7,4,1.51
4,2.445529166666669,30.90866671,72.1,11.37,7.78,10,3,4,0.8
4,2.446229166666669,30.95712671,72.1,11.37,7.78,10,3,4,0.6
4,2.079781363505318,46.991471549884,72.1,11.37,7.78,10,3,4,0.4
4,2.001289095480891,43.45463821877497,55.00000000000001,25.0,7.3,10,21,4,0.041
3,4.539022258760394,84.6690855534136,62.0,13.0,8.4,8,13,4,0.8
3,1.723644470000001,105.1669,62.0,7.0,8.4,8,13,4,25.2
3,2.2960425,33.81100755999998,68.0,-1.0,8.1,8,14,4,0.1734
3,1.863664520791133,43.41995530301623,68.0,-1.0,8.1,8,14,4,0.32946
