material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,NH3-N loss  (%)
3,0.85,40.41,75.57460000000005,47.5,7.7,0,17,4,21.76474079069769
3,1.04,23.81,67.32379999999998,22.9,7.2,0,53,3,18.80992832558142
3,0.82,29.73,71.84760000000004,36.1,7.0,0,24,3,20.43658432558141
3,0.7,32.33,64.245593822,45.9,6.7,0,17,3,19.8594578139535
3,1.02,23.61,66.84099999999994,22.3,8.3,0,53,3,18.8699794883721
3,0.8,29.73,55.0916,37.1,8.0,0,24,3,26.72223674418606
3,0.68,32.33,73.95100000000004,47.5,7.6,0,17,3,18.66850760465118
3,1.03,23.81,67.50139999999998,23.1,7.5,0,53,3,19.46753404651166
3,0.81,29.73,70.15879691100002,36.6,7.3,0,24,3,19.70521341860468
3,0.69,32.33,73.87280000000001,46.7,6.9,0,17,3,20.28326862790699
2,0.97,51.3,76.36259999999997,52.88659793814433,6.7,11,53,4,20.64768253488374
2,0.92,50.6,75.0436,55.0,8.76,11,53,1,22.58059025488372
2,0.92,49.4,76.06080000000001,53.69565217391304,9.33,11,53,1,22.53566846418605
2,0.94,48.9,76.22680000000001,52.02127659574468,9.35,11,53,1,22.58059025488372
2,0.91,46.6,75.72990000000001,51.20879120879121,8.13,11,53,1,22.27994097674419
2,0.83,44.6,75.69040000000001,53.73493975903615,8.86,11,53,1,21.90818090604652
2,0.77,41.1,75.83610000000002,53.37662337662338,8.77,11,53,1,22.63592239441861
3,2.18,28.0,65.03,12.88,7.88,3,25,4,23.3759
3,1.9,43.37434388303481,63.17,24.41,7.88,3,25,3,17.5215
3,1.8,43.16737540603248,62.39,27.43,7.7,3,25,3,21.2503
3,1.8,43.65782853828306,62.6,28.06,7.88,3,25,3,18.7578
3,2.05,38.03156300000003,61.97,16.31,7.88,3,25,3,19.4581
3,1.8,45.88559215777261,63.43,39.93,7.88,3,25,3,20.6637
2,2.473897911832947,49.47795823665894,61.1,20.0,6.0,11,35,4,17.65489936516306
2,1.722737819025522,51.68213457076566,53.5,30.0,6.1,11,35,4,19.6221424713511
2,1.363109048723898,54.52436194895591,48.5,40.0,6.5,11,35,4,17.68503247387359
2,2.105820639564209,48.4338747099768,74.7,23.0,8.9,11,6,4,9.517667999151026
2,1.662799690641918,49.88399071925754,65.6,30.0,8.9,11,6,4,18.45233188785017
2,1.357308584686775,54.29234338747099,53.0,40.0,8.2,11,6,4,15.57924926773749
2,1.283007402496962,53.8863109048724,47.5,42.0,6.9,11,42,4,15.98826509115754
2,1.79,42.59,72.00489691100002,23.8,8.2,11,39,4,29.8
2,4.45,44.38,70.46750000000002,30.6,8.4,11,39,4,22.8
3,3.86,46.9,81.0,12.2,7.0,3,53,4,18.6199912
3,3.18,48.8,75.8,15.3,7.1,4,20,4,20.75543129999999
0,2.16,48.2,77.3,22.3,8.7,11,20,4,20.32435385576744
0,2.25,45.3,77.0,20.1,8.8,11,20,4,20.47716322786047
0,1.82,54.5,80.0,29.9,6.7,11,41,4,21.33827316279071
0,2.26,38.3,84.1,16.9,10.7,11,53,3,25.9219308854946
0,2.21,45.3,80.7,20.5,9.8,11,20,3,22.08041657669768
0,2.03,42.5,81.5,21.3,10.0,11,20,3,20.92492709404996
3,2.295194145561243,38.68289928120651,60.0,16.0,6.954763033333339,0,12,4,10.43193172080196
3,2.031960637073607,33.98118955445477,65.0,19.0,6.944186742857148,0,12,4,17.68192030968051
3,1.277269940201892,25.29425999999998,70.0,22.0,7.199152800000002,0,12,4,9.206282871286511
3,2.386932878405209,40.08146983990719,70.0,16.0,7.127311766666668,0,12,4,17.28161902325582
3,2.04231034389359,40.6889710185615,60.0,19.0,6.649135033333336,0,12,4,19.8906775348837
3,1.527390292201894,34.14800336426914,65.0,22.0,7.167312500000006,0,12,4,18.11722718604653
3,2.387783241153718,36.78098493199538,65.0,16.0,6.972203066666672,0,12,4,16.46840585813955
3,1.495309491935857,26.19814039675175,70.0,19.0,7.092696109523814,0,12,4,18.40963567441862
3,1.598367165021877,37.43413740139212,60.0,22.0,7.258119300000004,0,12,4,20.89209030232558
3,2.12,36.7,67.35141999999993,17.3,7.9823613,9,4,4,18.5
3,2.12,36.7,67.33011999999994,17.3,8.0193613,9,4,4,20.0
3,2.12,36.7,67.52870999999998,17.3,8.108158700000002,9,4,4,31.5
3,2.12,36.7,67.15951,17.3,7.917320900000004,9,4,4,40.1
3,2.12,36.7,67.15951,17.3,7.917320900000004,9,4,4,40.1
3,2.12,36.7,67.55981999999997,17.3,8.0069369,9,4,4,25.3
5,1.715,43.97,58.83044999999998,25.63848396501458,7.743668899999998,11,26,4,15.30898242349861
5,1.925,44.47,67.24429999999997,23.1012987012987,7.682135100000002,11,4,4,10.28026519307741
5,1.985,42.27,68.47079999999998,21.29471032745592,7.805135100000002,11,11,4,12.31763101017214
5,1.96,43.165,67.76759999999997,22.02295918367347,7.763535100000001,11,18,4,11.12606204315448
3,1.9,40.0,61.0,21.05263157894737,7.913376900000002,0,26,4,8.194396720999995
3,1.9,40.0,61.0,21.05263157894737,7.9521769,0,26,4,11.71745862234426
3,1.9,40.0,61.0,21.05263157894737,7.9341769,0,26,4,11.74577345468909
3,1.9,40.0,61.0,21.05263157894737,7.937176900000001,0,26,4,10.70427692767213
3,1.9,40.0,61.0,21.05263157894737,7.941676900000001,0,26,4,10.57685931934426
3,1.22,30.2,63.0,24.75409836065574,7.729217299999992,0,9,4,8.82366919280991
3,1.24,31.1,63.0,25.08064516129032,7.731051299999993,0,9,4,8.851688365753077
3,1.5,30.2,64.0,20.13333333333333,7.922627499999994,0,9,4,16.37321940009422
3,1.5,30.6,65.0,20.4,7.862807899999996,0,9,4,14.87139621310602
3,1.19,43.90951276102088,55.72479382199998,36.89875021934528,7.415600000000003,0,10,4,14.30026919499766
3,1.22,44.32714617169373,66.2854,36.33372637024077,7.177707900000001,0,10,4,7.649918038687003
3,1.25,46.79814385150812,62.80799691099999,37.4385150812065,7.21466666666667,0,10,4,8.22534999426982
3,1.29,41.84454756380511,71.77489999999995,32.43763377039156,7.161700000000004,0,10,4,16.58266483734572
3,1.32,43.49187935034803,62.30699999999998,32.94839344723335,7.487099999999999,0,10,4,7.844033619301668
0,2.4,40.7,69.0,16.95833333333334,7.580647899999998,11,7,4,12.49665466166642
0,2.4,40.7,63.0,16.95833333333334,7.382253399999999,11,7,3,9.210104082365367
0,1.87,41.9,63.0,22.40641711229946,7.652439699999998,11,7,3,10.86846328263898
0,1.97,49.0,58.0,24.87309644670051,7.218014300000004,11,7,3,13.51570716885165
0,1.99,41.4,70.0,20.80402010050251,7.691427199999997,11,7,3,11.07369842225447
0,2.4,40.7,62.0,16.95833333333334,7.308101899999998,11,7,3,9.65534445187856
0,2.09,41.4,61.0,19.80861244019139,7.6014139,11,7,3,13.465444857
0,2.15,45.4,57.0,21.11627906976744,7.609300499999997,11,7,3,12.98967170097145
0,2.37,40.5,64.0,17.08860759493671,7.4330296,11,7,3,9.884924387425388
3,1.65,43.0,83.0,16.5,8.45,0,2,4,0.35093
3,1.65,43.0,83.0,16.5,8.45,0,2,4,0.0413
3,4.6,35.2,71.0,6.1,6.8,7,2,4,5.31736
3,4.61,35.2,71.0,6.1,6.8,7,2,4,3.52143
3,3.42,48.7,65.0,12.2,6.95,7,2,3,12.155
3,3.42,48.7,65.0,12.2,6.95,7,2,3,2.805
1,-1.0,-1.0,66.9,31.8,5.6,11,53,4,22.0
1,-1.0,-1.0,57.58,31.5,6.6,11,4,4,20.0
1,-1.0,-1.0,57.78,32.5,6.5,11,26,4,21.0
1,-1.0,-1.0,58.599999999999994,22.5,6.2,11,37,4,22.0
3,2.17,38.76,65.9,17.86,7.8,9,4,4,29.1
3,1.96,36.72,-1.0,-1.0,-1.0,9,4,1,22.8
3,2.06,36.53,-1.0,-1.0,-1.0,9,4,2,21.6
