material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CO2-C loss  (%)
3,2.845139718825504,56.407650761498424,70.5,19.300225733634313,7.6,0,12,4,26.542
3,2.845139718825504,56.407650761498424,70.5,19.300225733634313,7.6,0,12,4,56.949
5,4.03,48.99,88.5,12.156327543424316,6.8,10,16,4,1.738
5,4.03,48.99,88.5,12.156327543424316,6.8,10,16,4,1.6320000000000001
5,4.0,48.99,88.5,12.247499999999999,6.9,10,16,4,1.6789999999999998
5,4.0,48.99,88.5,12.247499999999999,6.9,10,16,4,1.8210000000000002
5,4.0,48.99,88.5,12.247499999999999,6.9,10,16,4,1.1789999999999998
5,4.0,48.99,88.5,12.247499999999999,6.9,10,16,4,3.3299999999999996
5,4.0,48.99,88.5,12.247499999999999,6.9,10,16,4,2.981
5,-1.0,-1.0,59.0,-1.0,-1.0,10,16,4,2.8129999999999997
5,9.72,126.6,40.0,13.024691358024688,7.9,10,16,4,2.67
5,5.7,87.64,80.02,15.375438596491227,-1.0,10,16,4,3.678
5,5.45,84.52,80.77,15.508256880733944,-1.0,10,16,4,2.7600000000000002
5,0.69,68.38,85.33,22.351348664737735,7.8456135058307,10,16,4,2.5
5,-1.0,68.38,85.33,-1.0,7.8456135058307,10,16,4,1.791
5,2.22,68.96,84.66,31.06306306306306,7.8456135058307,10,16,4,-0.8
5,-1.0,68.96,84.66,-1.0,7.8456135058307,10,16,4,-0.16
5,1.21,67.74,84.3,55.98347107438016,7.8456135058307,10,16,4,4.43
5,-1.0,67.74,84.3,-1.0,7.8456135058307,10,16,4,-0.16
5,0.37,72.33,83.91,22.351348664737735,7.8456135058307,10,16,4,3.941
5,-1.0,72.33,83.91,-1.0,7.8456135058307,10,16,4,3.665
5,1.58,67.74,84.3,42.87341772151898,7.8456135058307,10,16,4,1.83
5,1.31,67.74,84.3,51.70992366412214,7.8456135058307,10,16,4,2.994
5,1.07,72.33,83.91,22.351348664737735,7.8456135058307,10,16,4,0.963
5,1.44,72.33,83.91,50.229166666666664,7.8456135058307,10,16,4,1.7420000000000002
5,-1.0,72.33,81.08,-1.0,-1.0,10,16,4,1.9449999999999998
5,-1.0,72.33,81.08,-1.0,-1.0,10,16,4,3.3270000000000004
5,-1.0,72.33,81.08,-1.0,-1.0,10,16,4,1.4
5,-1.0,72.33,81.08,-1.0,-1.0,10,16,4,18.22
5,-1.0,-1.0,77.67,-1.0,8.74,10,16,4,1.5939999999999999
5,-1.0,-1.0,77.67,-1.0,8.74,10,16,4,2.164
5,2.845139718825504,56.407650761498424,82.67,15.232926829268292,-1.0,10,16,4,6.6129999999999995
5,2.845139718825504,56.407650761498424,83.59,17.103896103896105,-1.0,10,16,4,7.179
5,2.845139718825504,56.407650761498424,78.36,19.69584008643976,-1.0,10,16,4,4.445
5,-1.0,-1.0,77.2,-1.0,7.8,10,16,4,5.167
5,-1.0,-1.0,-1.0,-1.0,-1.0,10,16,4,9.629000000000001
5,-1.0,-1.0,-1.0,-1.0,-1.0,10,16,4,12.943000000000001
5,-1.0,-1.0,-1.0,-1.0,-1.0,10,16,4,13.648
5,-1.0,78.27,76.28,-1.0,-1.0,10,16,4,8.187999999999999
5,-1.0,78.27,76.28,-1.0,-1.0,10,16,4,7.81
5,-1.0,78.27,76.28,-1.0,-1.0,10,16,4,7.359999999999999
5,-1.0,78.27,76.28,-1.0,-1.0,10,16,4,7.1129999999999995
5,-1.0,78.27,76.28,-1.0,-1.0,10,16,4,4.236
5,-1.0,78.27,76.28,-1.0,-1.0,10,16,4,3.9840000000000004
5,-1.0,78.27,76.28,-1.0,-1.0,10,16,4,3.754
5,3.2,86.88,82.52,27.15,-1.0,10,16,4,1.3119999999999998
5,2.92,123.79,77.67,42.39383561643836,-1.0,10,16,4,7.2989999999999995
5,2.6,178.23,72.04,22.351348664737735,-1.0,10,16,4,8.177
5,2.845139718825504,174.91,45.32,12.01304945054945,7.35,10,16,4,2.818
5,10.27,56.407650761498424,57.9,31.372930866601752,8.14,10,16,4,11.934999999999999
5,2.845139718825504,56.407650761498424,62.9,25.006729475100943,8.2,10,16,4,0.1
5,2.845139718825504,56.407650761498424,62.9,25.006729475100943,8.2,10,16,4,0.1
5,-1.0,-1.0,59.66,-1.0,9.0,10,16,4,0.235
5,3.89,69.21,76.0,17.791773778920305,8.2,10,16,4,5.635
