material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,N2O-N loss  (%)
3,3.18,48.8,75.8,15.3,7.1,4,17,4,0.57
0,2.16,48.2,77.3,22.3,8.7,10,17,4,0.06
0,2.25,45.3,77.0,20.1,8.8,10,17,4,0.03
0,1.82,54.5,80.0,29.9,6.7,10,27,4,0.01
0,2.26,38.3,84.1,16.9,10.7,10,35,3,0.12
0,2.21,45.3,80.7,20.5,9.8,10,17,3,0.02
0,2.03,42.5,81.5,21.3,10.0,10,17,3,0.07
3,2.295194145561243,38.68289928120651,60.0,16.0,6.954763033333339,0,11,4,1.524239899999998
3,2.031960637073607,33.98118955445477,65.0,19.0,6.944186742857148,0,11,4,1.803192678571428
3,1.277269940201892,25.29425999999998,70.0,22.0,7.199152800000002,0,11,4,4.217809896045202
3,2.386932878405209,40.08146983990719,70.0,16.0,7.127311766666668,0,11,4,2.779591949999997
3,2.04231034389359,40.6889710185615,60.0,19.0,6.649135033333336,0,11,4,2.456799999999999
3,1.527390292201894,34.14800336426914,65.0,22.0,7.167312500000006,0,11,4,3.231792
3,2.387783241153718,36.78098493199538,65.0,16.0,6.972203066666672,0,11,4,3.192999999999997
3,1.495309491935857,26.19814039675175,70.0,19.0,7.092696109523814,0,11,4,2.298924302753775
3,1.598367165021877,37.43413740139212,60.0,22.0,7.258119300000004,0,11,4,2.002511919999999
3,2.12,36.7,67.35141999999993,17.3,7.9823613,8,3,4,1.4
3,2.12,36.7,67.33011999999994,17.3,8.0193613,8,3,4,1.2
3,2.12,36.7,67.52870999999998,17.3,8.108158700000002,8,3,4,1.7
3,2.12,36.7,67.15951,17.3,7.917320900000004,8,3,4,2.7
3,2.12,36.7,67.15951,17.3,7.917320900000004,8,3,4,2.7
3,2.12,36.7,67.55981999999997,17.3,8.0069369,8,3,4,2.5
4,1.715,43.97,58.83044999999998,25.63848396501458,7.743668899999998,10,21,4,0.5982928490000001
4,1.925,44.47,67.24429999999997,23.1012987012987,7.682135100000002,10,3,4,1.140225778227849
4,1.985,42.27,68.47079999999998,21.29471032745592,7.805135100000002,10,10,4,1.153610900205871
4,1.96,43.165,67.76759999999997,22.02295918367347,7.763535100000001,10,16,4,3.136088088227847
3,1.9,40.0,61.0,21.05263157894737,7.913376900000002,0,21,4,0.1692307692307692
3,1.9,40.0,61.0,21.05263157894737,7.9521769,0,21,4,0.4153846153846154
3,1.9,40.0,61.0,21.05263157894737,7.9341769,0,21,4,0.4769230769230769
3,1.9,40.0,61.0,21.05263157894737,7.937176900000001,0,21,4,0.2615384615384616
3,1.9,40.0,61.0,21.05263157894737,7.941676900000001,0,21,4,0.3846153846153846
3,1.22,30.2,63.0,24.75409836065574,7.729217299999992,0,8,4,2.571125514557055
3,1.24,31.1,63.0,25.08064516129032,7.731051299999993,0,8,4,2.285902345896794
3,1.5,30.2,64.0,20.13333333333333,7.922627499999994,0,8,4,2.182916117231689
3,1.5,30.6,65.0,20.4,7.862807899999996,0,8,4,2.291487011522249
3,1.19,43.90951276102088,55.72479382199998,36.89875021934528,7.415600000000003,0,9,4,1.014333611000001
3,1.22,44.32714617169373,66.2854,36.33372637024077,7.177707900000001,0,9,4,3.583005908113924
3,1.25,46.79814385150812,62.80799691099999,37.4385150812065,7.21466666666667,0,9,4,3.787725778113925
3,1.29,41.84454756380511,71.77489999999995,32.43763377039156,7.161700000000004,0,9,4,3.583619569000001
