Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,65.0,14.7,2.85034,0,41.9,3,0.28571,16.8
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,67.0,12.9,3.2093,0,41.4,3,0.26515,19.2
1,0,1,28.0,0,28.0,0.0,0,25.0,8,0.01,0.28,65.0,16.7,2.93413,0,49.0,3,0.28571,8.9
1,0,1,28.0,0,28.0,0.0,0,14.28571,8,0.01,0.28,67.0,14.0,3.24286,0,45.4,3,0.26515,13.4
1,0,1,28.0,0,28.0,0.0,0,0.0,8,0.01,0.28,65.0,14.0,2.95714,0,41.4,3,0.28571,29.5
1,0,1,28.0,0,28.0,0.0,0,0.0,2,0.01,0.28,65.0,12.1,3.34711,0,40.5,3,0.28571,18.6
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.24,65.0,14.5,2.4,1,34.8,3,0.35841,43.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.48,65.0,18.09524,2.1,1,38.0,3,0.5307,50.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.72,65.0,20.73684,1.9,1,39.4,3,0.5882,53.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.24,70.0,18.09524,2.1,1,38.0,3,0.56693,41.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.48,70.0,21.10526,1.9,1,40.1,3,0.57203,55.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.72,70.0,14.66667,2.4,1,35.2,3,0.56968,50.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.24,75.0,21.52632,1.9,1,40.9,3,0.4633,46.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.48,75.0,14.70833,2.4,1,35.3,3,0.59623,34.0
8,0,1,37.0,1,37.0,25.0,3,0.0,8,0.06,0.72,75.0,17.90476,2.1,1,37.6,3,0.52435,49.0
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.24,64.1,14.7,2.36,0,34.8,3,0.48579,42.7
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.48,65.2,18.3,2.08,0,38.0,3,0.5632,51.0
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.72,63.7,20.7,1.9,0,39.4,3,0.60445,50.7
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.24,71.3,18.4,2.06,0,38.0,3,0.55183,41.6
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.48,70.6,21.1,1.9,0,40.1,3,0.55339,54.0
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.72,70.8,15.0,2.35,0,35.2,3,0.58483,50.3
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.24,75.7,21.2,1.93,0,40.9,3,0.4633,45.6
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.48,76.8,14.9,2.37,0,35.3,3,0.58163,33.8
8,0,1,37.0,0,37.0,0.0,3,0.0,8,0.06,0.72,74.0,18.0,2.09,0,37.6,3,0.51816,48.9
5,2,0,87.0,0,0.0,0.0,11,0.0,5,0.144,0.0,69.51,20.0,2.26057,0,43.31883,3,0.48122,63.12
5,2,0,87.0,0,0.0,0.0,11,0.0,5,0.144,0.0,71.52,25.0,2.498,0,60.929,3,0.42868,69.28
0,0,1,35.0,0,35.0,0.0,8,0.0,5,0.1559,0.408,66.03,21.96203,1.817,0,39.905,3,0.70071,52.90177
0,0,1,35.0,0,35.0,0.0,8,0.0,5,0.2984,0.408,65.69,21.51131,1.813,0,39.0,3,0.72895,55.63031
0,0,1,35.0,0,35.0,0.0,8,0.0,5,0.5697,0.408,66.14,21.64477,1.796,0,38.874,3,0.75396,55.11272
8,1,0,70.0,0,0.0,0.0,9,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,63.64
8,1,1,70.0,0,0.0,0.0,9,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,63.16
8,1,0,70.0,0,0.0,0.0,4,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,63.33
8,1,1,70.0,0,0.0,0.0,4,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,62.73
8,1,0,70.0,0,0.0,0.0,0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,52.88
8,1,1,70.0,0,0.0,0.0,0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.44854,51.81
6,0,1,35.0,0,35.0,0.0,4,0.0,8,0.06,0.2,72.1,11.37,2.68,0,30.45,3,0.667,50.26
8,0,1,56.0,0,0.0,0.0,6,0.0,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,3,0.475,66.0
8,0,1,56.0,0,0.0,0.0,6,3.3,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,22,0.475,59.5
8,0,1,56.0,0,0.0,0.0,6,6.6,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,22,0.475,60.5
