Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CH4-C loss (%)
5,0,1,15.0,0,15.0,0.0,11,0.0,4,0.018,0.9532,65.03,12.88,2.16588,0,27.89653,3,0.44444,0.38776
5,0,1,15.0,0,15.0,0.0,11,29.0,4,0.018,0.90506,63.17,24.41,1.92582,0,47.00927,3,0.49167,0.2855
5,0,1,15.0,0,15.0,0.0,11,29.0,4,0.018,0.88629,62.39,27.43,1.84851,0,50.70463,3,0.49167,0.32892
5,0,1,15.0,0,15.0,0.0,11,29.0,4,0.018,0.89127,62.6,28.06,1.81596,0,50.95584,3,0.49167,0.30074
5,0,1,15.0,0,15.0,0.0,11,29.0,4,0.018,0.8765,61.97,16.31,2.06009,0,33.60007,3,0.49167,0.34662
5,0,1,44.44706,0,22.85922,3.69595,11,4.90157,4,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,0.30362
4,0,0,45.0,0,0.0,0.0,7,0.0,5,0.06,0.0,64.33,23.8,1.79,0,42.59,3,0.08333,0.22
4,0,0,45.0,0,0.0,0.0,7,0.0,5,0.06,0.0,62.94,30.6,1.45,0,44.38,3,0.08333,0.19
7,0,1,70.0,0,0.0,0.0,4,0.0,5,1.2096,0.0,63.6,17.26269,2.12625,0,36.7048,3,0.45957,0.24
7,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.18,63.6,17.26269,2.12625,0,36.7048,3,0.33627,0.32
7,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.36,63.6,17.26269,2.12625,0,36.7048,3,0.33627,0.09
7,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.54,63.6,17.26269,2.12625,0,36.7048,3,0.33627,0.01
7,0,1,44.44706,4,22.85922,3.69595,4,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,1,39.62259,3,0.47538,0.03
0,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.43,83.0,16.5,2.60606,0,43.0,3,0.492,0.08564
0,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.21,83.0,16.5,2.60606,0,43.0,3,0.492,0.17394
5,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.48,71.0,6.1,5.77049,0,35.2,3,0.492,0.03724
5,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.23,71.0,6.1,5.77049,0,35.2,3,0.492,0.03629
5,0,1,44.44706,0,22.85922,3.69595,0,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,0.00574
5,0,1,44.44706,0,22.85922,3.69595,0,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,3,0.47538,0.00447
6,0,1,45.0,7,45.0,20.0,8,0.0,5,0.12,0.95053,65.0,21.50362,2.16594,1,39.95022,3,0.46063,0.14
6,0,1,45.0,7,45.0,20.0,8,5.0,5,0.12,0.93677,65.0,21.9187,2.04815,1,40.52813,0,0.44257,0.06
6,0,1,45.0,7,45.0,20.0,8,1.0,5,0.12,0.95053,65.0,21.50362,2.16594,1,39.95022,6,0.46063,0.05
6,0,1,45.0,7,45.0,20.0,8,1.0,5,0.12,0.95053,65.0,21.50362,2.16594,1,39.95022,16,0.46063,0.02
6,0,1,45.0,7,45.0,20.0,8,3.0,5,0.12,0.90312,65.0,22.84346,2.06537,1,39.5438,9,0.4384,0.04
6,0,1,45.0,7,45.0,20.0,8,3.0,5,0.12,0.90312,65.0,22.84346,2.06537,1,39.5438,12,0.4384,0.08
6,0,1,45.0,7,45.0,20.0,8,5.0,5,0.12,0.93677,65.0,21.9187,2.04815,1,40.52813,17,0.44257,0.04
6,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.3,72.86,11.37,2.68,0,30.45,3,0.667,0.4
0,2,0,133.0,0,0.0,0.0,0,0.0,5,0.7668,0.0,66.675,15.62261,1.37,0,40.7163,3,0.697,0.002
0,2,0,133.0,0,0.0,0.0,0,6.46,5,1.67247,0.0,66.682,13.035,1.33,0,31.6675,13,0.70446,0.0007
0,2,0,133.0,0,0.0,0.0,0,5.47,5,1.67247,0.0,66.682,13.035,1.38,0,31.5475,13,0.70446,0.0007
0,2,0,133.0,0,0.0,0.0,0,9.52,5,1.67247,0.0,66.792,13.135,1.23,0,31.5475,13,0.69231,0.0003
0,2,0,133.0,0,0.0,0.0,0,5.47,5,1.67247,0.0,66.682,13.035,1.42,0,31.5475,14,0.70446,0.0017
0,2,0,133.0,0,0.0,0.0,0,10.59,5,1.67247,0.0,66.353,13.065,1.2,0,31.6675,14,0.69132,0.0012
0,2,0,133.0,0,0.0,0.0,0,10.59,5,1.67247,0.0,66.353,13.065,1.22,0,31.5475,14,0.69132,0.0017
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,66.95,25.0,2.481,0,58.551,3,0.69316,0.05
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,67.0,24.0,2.351,0,58.135,3,0.58005,0.03
