Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
6,0,1,50.0,0,29.3,0.025,8,8.0,5,0.1,0.13,60.0,31.0381,1.54038,0,43.86004,9,0.5,1.24
6,0,1,50.0,0,35.3,0.025,8,10.0,5,0.1,0.095,60.0,30.7924,1.58899,0,43.86004,9,0.5,0.75
8,0,1,50.0,0,50.0,0.0,8,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,4,0.56915,0.78311
8,0,1,50.0,0,50.0,0.0,8,10.0,5,0.1,0.3,62.41946,25.10433,2.03465,0,43.48709,4,0.52318,0.29833
8,0,1,50.0,0,50.0,0.0,8,20.0,5,0.1,0.3,59.73189,22.14199,2.27241,0,43.60416,4,0.44474,0.19711
8,0,1,50.0,0,50.0,0.0,8,20.5,5,0.1,0.3,59.73189,22.14199,2.35764,0,43.60416,4,0.44474,0.18645
8,0,1,50.0,0,50.0,0.0,8,21.0,5,0.1,0.3,59.73189,22.14199,2.35764,0,42.85043,4,0.44474,0.17047
8,0,1,50.0,0,50.0,0.0,8,22.0,5,0.1,0.3,59.73189,22.14199,2.33658,0,42.85043,4,0.44474,0.17047
8,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,81.0,12.2,3.86,0,46.9,4,0.35789,0.55
8,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,75.8,15.3,3.18,0,48.8,4,0.37259,0.57
1,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,77.3,22.3,2.16,0,48.2,4,0.34361,0.06
1,0,0,84.0,0,0.0,0.0,0,0.0,5,0.12,0.0,77.0,20.1,2.25,0,45.3,4,0.35833,0.03
1,0,0,84.0,0,0.0,0.0,0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,4,0.35875,0.01
1,0,0,84.0,0,0.0,0.0,0,22.28321,5,0.12,0.0,84.1,16.9,2.26,0,38.3,4,0.35901,0.12
1,0,0,84.0,0,0.0,0.0,0,9.53373,5,0.12,0.0,80.7,20.5,2.21,0,45.3,4,0.35838,0.02
1,0,0,84.0,0,0.0,0.0,0,15.84383,5,0.12,0.0,81.5,21.3,2.03,0,42.5,4,0.35766,0.07
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,69.0,11.0,3.7,0,40.7,4,0.24194,0.01619
1,0,1,28.0,0,28.0,0.0,0,0.0,3,0.01,0.28,63.0,11.0,3.7,0,40.7,4,0.27027,0.01181
1,0,1,28.0,0,28.0,0.0,0,0.0,3,0.01,0.28,66.0,11.0,3.7,0,40.7,4,0.25735,0.01812
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,65.0,14.7,2.85034,0,41.9,4,0.28571,0.02763
1,0,1,28.0,0,28.0,0.0,0,0.0,4,0.01,0.28,67.0,12.9,3.2093,0,41.4,4,0.26515,0.04223
1,0,1,28.0,0,28.0,0.0,0,25.0,5,0.01,0.28,65.0,16.7,2.93413,0,49.0,4,0.28571,0.01279
1,0,1,28.0,0,28.0,0.0,0,14.28571,5,0.01,0.28,67.0,14.0,3.24286,0,45.4,4,0.26515,0.01041
1,0,1,28.0,0,28.0,0.0,0,0.0,5,0.01,0.28,65.0,14.0,2.95714,0,41.4,4,0.28571,0.00707
1,0,1,28.0,0,28.0,0.0,0,0.0,1,0.01,0.28,65.0,12.1,3.34711,0,40.5,4,0.28571,0.00779
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,64.1,14.7,2.36,0,34.8,4,0.48579,1.6
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,71.3,18.4,2.06,0,38.0,4,0.55183,1.5
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,75.7,21.2,1.93,0,40.9,4,0.4633,2.1
8,0,1,31.0,0,30.0,0.0,1,2.94793,5,0.95,0.312,69.47,13.16342,2.57,0,33.83,4,0.63,0.54
8,1,0,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,4,0.44854,0.81
8,1,1,70.0,0,0.0,0.0,9,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,4,0.44854,0.96
8,1,0,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,4,0.44854,1.05
8,1,1,70.0,0,0.0,0.0,5,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,4,0.44854,1.07
7,0,1,39.0,4,39.0,20.0,7,0.0,5,0.288,0.455,68.07,25.38104,2.089,1,53.021,4,0.54703,1.11
7,0,1,39.0,4,39.0,20.0,7,0.0,4,0.288,0.455,68.53,24.5692,2.247,1,55.207,4,0.52721,1.37
8,2,0,55.0,0,0.0,0.0,7,0.0,0,11.25,0.0,60.04,15.39,1.998,0,30.74922,4,0.351,0.0397
8,2,0,55.0,0,0.0,0.0,12,0.0,0,11.25,0.0,60.04,15.39,1.998,0,30.74922,4,0.351,0.0169
7,2,0,44.44706,0,22.85922,3.69595,11,4.90157,0,1.22038,0.66439,64.03324,21.34763,2.07399,0,39.62259,4,0.47538,0.018
7,2,0,44.44706,7,22.85922,3.69595,6,4.90157,0,1.22038,0.66439,64.03324,21.34763,2.07399,1,39.62259,4,0.47538,0.0066
