V4_Ventilation Day,Additive_4,Additive_3,Initial GI (%),Initial C/N (%),Application Rate (%DW),Initial Moisture Content (%),Initial pH,V1_Ventilation Type,Material_3,Material_Main,V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Period (d),M1_is Enclosed, Composting Method,Additive_2,Material_2,V2_Ventilation Interval (min),Turning times,Additive_1,Compost volume (m3),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
26.0,1,4,27.32884658064516,36.856355507399265,3.5586644469655924,64.84261066420859,7.79320673107102,1,2.0,7,27.496338079816063,0.7231405093242442,32.0,0.0,1.0,11.0,2.0,891.0,2.0,37.0,0.6292491869918699,2.4967368849582217,92.02062224045683,113.98667300000001,7.662585593171663,0.7097470164299011,0.12470565347702847,20.91754560097236
20.0,1,4,27.32884658064516,21.838389589638624,4.393133437286202,68.0,7.0,0,9.0,7,0.0,0.9850293002956445,58.0,0.0,2.0,15.0,2.0,0.0,7.0,37.0,0.6292491869918699,2.4967368849582217,54.524712796538395,114.59930100000005,6.139893138059543,0.5235927104949951,0.20971401082528374,20.68666795629301
23.0,1,4,27.32884658064516,39.0,4.787088765228134,58.875674314210755,6.0,0,4.0,7,0.0,1.0613362981595353,57.0,0.0,2.0,10.0,3.0,0.0,4.0,37.0,0.6292491869918699,2.4967368849582217,97.37273851337065,114.31740800000006,5.340120030015616,0.7508127093315125,0.15803973949305225,1000000.0
15.0,1,4,27.32884658064516,18.81196529555385,5.508274402431483,54.92723467341115,6.0,0,5.0,7,0.0,0.7293950562158189,22.0,1.0,0.0,11.0,3.0,0.0,3.0,36.0,0.6292491869918699,2.4967368849582217,46.96852763196329,114.63262900000004,5.275665147484262,0.5972512364387512,0.1980071265393902,19.215442539990004
0.0,1,4,27.32884658064516,16.0,3.5153411154590772,55.0,6.0,2,3.0,7,0.0,0.0,123.0,1.0,1.0,5.0,4.0,0.0,6.0,38.0,0.6292491869918699,2.4967368849582217,39.94779015933155,110.99297700000005,6.0755329041943495,0.5111717581748962,0.14543851867786217,1000000.0
79.0,1,4,27.32884658064516,30.23594762386649,7.783181080983243,53.45141442777183,7.89056577036523,0,3.0,7,0.0,0.7647618382840276,103.0,1.0,1.0,8.0,0.0,0.0,6.0,36.0,0.6292491869918699,2.4967368849582217,75.49120568417237,112.09513100000004,3.491942622913602,0.5115628838539124,0.20872595583888023,21.401138280959213
0.0,1,4,27.32884658064516,18.812936483158396,6.480571423210115,61.9463726434597,8.0,2,0.0,7,0.0,0.0,52.0,1.0,2.0,7.0,2.0,0.0,3.0,33.0,0.6292491869918699,2.4967368849582217,46.97095243187778,113.46677100000005,5.189390953984657,0.49035587906837463,0.19947756441519562,16.47400307338537
75.0,1,4,27.32884658064516,25.58237939407787,4.1241587104526625,56.0,7.720490665752314,1,9.0,7,54.021228121662936,0.15076257763502188,88.0,1.0,2.0,9.0,4.0,947.0,20.0,31.0,0.6292491869918699,2.4967368849582217,63.87247023818937,109.59767499999994,7.662585593171663,0.6824230551719666,0.15148871255657062,21.633163041797676
27.0,1,4,27.32884658064516,32.14197390006525,7.490943557973827,62.374314319519634,6.0,1,3.0,7,16.8062924302976,1.0317232437808332,66.0,1.0,1.0,3.0,2.0,1310.0,3.0,34.0,0.6292491869918699,2.4967368849582217,80.25005179165738,111.23572800000002,10.654524969135604,0.4610700011253357,0.1506591702656353,18.1898260836301
0.0,1,4,27.32884658064516,36.852783246340906,6.36025332126005,63.7217530471729,6.0,2,4.0,7,0.0,0.0,114.0,1.0,0.0,13.0,3.0,0.0,10.0,36.0,0.6292491869918699,2.4967368849582217,92.01170324450973,112.48240800000002,5.358617366202829,0.5071950554847717,0.1918294296747683,20.417775668711368
