V2_Ventilation Interval (min),Initial GI (%),Material_2,Additive_3,Initial Moisture Content (%),Turning times,V1_Ventilation Type,Additive_1,Compost volume (m3),Period (d),Initial pH,Material_Main,Application Rate (%DW),Additive_4,Material_3,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),V3_Ventilation Duration (min),M1_is Enclosed,V4_Ventilation Day,Additive_2, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,27.32884658064516,5.0,4,59.30887445687244,3.0,2,4.0,0.06,45.0,7.0,2,9.904699498785472,1,5.0,12.331276035927832,0.0,0.0,1.0,0.0,15.0,0.0,1.775,21.8880149637719,92.60643999999998,6.06775755536989,0.7496689558029175,0.15626671933164754,18.369835965777998
0.0,27.32884658064516,12.0,4,66.06840315734249,21.0,0,4.0,0.06,26.0,7.300347942233813,2,8.92115429609434,1,0.0,10.318594553750199,1.0742187669973013,0.0,0.0,23.0,13.0,1.0,1.775,18.3155053329066,90.96807199999995,2.5016597482079623,0.5969100594520569,0.17117280915206837,30.632373411532967
0.0,27.32884658064516,6.0,4,61.12681556226377,3.0,0,8.0,0.06,65.0,6.410074955053822,2,9.046963432873042,1,5.0,23.865880204424897,1.1336287024844756,0.0,1.0,51.0,15.0,0.0,1.775,42.36193736285419,91.03179999999995,6.2135077711607885,0.7563541531562805,0.24023994035103435,22.460325076994415
0.0,27.32884658064516,3.0,4,57.9469069960693,20.0,2,2.0,0.06,90.0,7.548203879940407,2,8.710972126577465,1,9.0,18.98066960652618,0.0,0.0,0.0,0.0,12.0,2.0,1.775,33.69068855158397,91.20015899999999,4.533554712676641,0.5874048471450806,0.17898626069682397,17.6307501239332
0.0,27.32884658064516,13.0,4,54.58723090951398,8.0,0,4.0,0.06,34.0,6.0,2,9.792812964614221,1,2.0,27.161765694129638,1.8431159931903731,0.0,1.0,24.0,2.0,0.0,1.775,48.212134107080104,91.47515699999998,6.973943011875531,0.5354570746421814,0.23099226854868443,29.886506256077467
0.0,27.32884658064516,2.0,4,67.41551690505884,24.0,2,2.0,0.06,107.0,6.0,2,9.00052076527456,1,2.0,27.424066169217944,0.0,0.0,1.0,0.0,5.0,0.0,1.775,48.67771745036185,91.44048299999999,7.235144302937425,0.40566471219062805,0.21257571212821405,16.354273139630457
0.0,27.32884658064516,13.0,4,59.461407362873494,0.0,0,4.0,0.06,110.0,7.0,2,4.280068432124404,1,2.0,20.1954414030135,0.9548193476097246,0.0,1.0,76.0,3.0,2.0,1.775,35.84690849034896,91.51589499999996,12.437498682437994,0.5889698266983032,0.1914527633662203,26.80143254753719
427.0,27.32884658064516,4.0,4,64.0,20.0,1,6.0,0.06,74.0,6.0,2,6.499930538793862,1,5.0,21.39763326108524,0.7221503665281892,0.5532485563083478,1.0,38.0,15.0,0.0,1.775,37.9807990384263,90.75481399999998,6.795770064164048,0.9732508659362793,0.181209072699245,26.68792691332365
0.0,27.32884658064516,3.0,4,55.0,18.0,2,4.0,0.06,80.0,6.752812351732938,2,4.246753307432932,1,9.0,27.354559808904092,0.0,0.0,1.0,0.0,15.0,1.0,1.775,48.55434366080476,91.808641,7.235144302937425,0.7501447200775146,0.20277524068571626,18.743561515983874
0.0,27.32884658064516,8.0,4,50.72537130653574,10.0,2,2.0,0.06,46.0,6.0,2,8.245335117674117,1,4.0,36.7115070690079,0.0,0.0,1.0,0.0,9.0,0.0,1.775,65.16292504748903,91.44048299999999,6.137531249989556,0.7394185662269592,0.18967788867357505,21.99080836866652
