 Composting Method,Compost volume (m3),V3_Ventilation Duration (min),Turning times,Additive_2,Material_3,Additive_4,V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),V1_Ventilation Type,Material_Main,Initial GI (%),Initial Moisture Content (%),Initial pH,Additive_1,Additive_3,Initial C/N (%),M1_is Enclosed,Material_2,Period (d),V4_Ventilation Day,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,0.045,24.8881833565989,9.0,1.0,4.0,1,1.252889030961308,4.659147944199085,1,9,27.32884658064516,53.2901166289652,6.090877609839212,22.0,4,19.0,1.0,4.0,87.0,83.0,11.0,1.97,37.43,107.57607899999998,11.400311536027521,0.26098722219467163,0.1834295827033611,1000000.0
1.0,0.045,0.0,27.0,10.0,0.0,1,1.7256822804102656,2.0428802178170233,0,9,27.32884658064516,57.51893102827381,7.0,8.0,4,28.0,1.0,8.0,36.0,33.0,0.0,1.97,55.16,108.41047599999997,8.049183938141534,0.20577369630336761,0.2551014948886573,1000000.0
0.0,0.045,0.0,20.0,11.0,3.0,1,1.2755246765387207,2.571309518991159,0,9,27.32884658064516,52.04157277102706,7.974540158627836,27.0,4,36.9150052077874,1.0,14.0,50.0,35.0,0.0,1.97,72.72256025934118,107.39843499999998,7.981831077950318,0.36687177419662476,0.2604358714645706,32.33318672470623
0.0,0.045,0.0,19.0,11.0,0.0,1,0.5966316646584171,4.381590841149656,0,9,27.32884658064516,62.19127103902787,7.0,31.0,4,11.410914501336407,1.0,0.0,95.0,63.0,0.0,1.97,22.47950156763272,108.08329899999997,7.439992897206375,0.4258947968482971,0.2148495703149043,27.80657577212368
0.0,0.045,0.0,5.0,12.0,2.0,1,1.5330423428388598,6.911762954658195,0,9,27.32884658064516,65.49006982759924,8.0,34.0,4,37.400980806835264,1.0,4.0,52.0,48.0,0.0,1.97,73.67993218946548,107.86998399999999,8.324269878923486,0.35852673649787903,0.21073685016823973,20.541518945231907
0.0,0.045,0.0,18.0,1.0,2.0,1,1.0848545019646245,2.2810254216412895,0,9,27.32884658064516,61.0,6.0,34.0,4,30.97138620715331,1.0,3.0,100.0,44.0,0.0,1.97,61.01363082809202,107.442853,12.226076492791746,0.4467793107032776,0.21079497915398587,23.622056521313336
0.0,0.045,0.0,6.0,8.0,5.0,1,0.04560672139312949,3.522894263214104,0,9,27.32884658064516,54.0,5.0,37.0,4,31.0,1.0,3.0,98.0,41.0,0.0,1.97,61.07,108.183064,10.767950114737706,0.44199883937835693,0.20209116117306075,1000000.0
0.0,0.045,0.0,21.0,10.0,5.0,1,0.6618300023562504,3.544469016755489,0,9,27.328846580645163,64.8729653347108,6.735555524823523,37.0,4,16.371200097080653,1.0,4.0,90.0,62.0,0.0,1.97,32.251264191248886,107.90364399999999,1000000.0,1000000.0,1000000.0,1000000.0
2.0,0.045,0.0,6.0,8.0,2.0,1,1.9915676197176044,3.261814619705575,0,9,27.32884658064516,65.0,7.0,37.0,4,29.0,1.0,8.0,105.0,58.0,0.0,1.97,57.13,108.285376,10.756441435268163,0.2435220628976822,0.18404571436190648,1000000.0
0.0,0.045,50.07328320870595,21.0,5.0,0.0,1,1.4096527506395642,4.15545931512125,1,9,27.32884658064516,58.294877205139215,6.0177615593974805,14.0,4,34.074592935618384,1.0,4.0,79.0,58.0,60.0,1.97,67.12694808316822,108.73628299999999,9.740883817539979,0.3567880094051361,0.17605003667839883,24.215101766768953
0.0,0.045,0.0,12.0,13.0,5.0,1,1.1229360366857744,3.0273418746890384,0,9,27.32884658064516,63.349332042612794,6.0,37.0,4,30.896795367039207,1.0,12.0,64.0,46.0,0.0,1.97,60.86668687306724,107.779186,9.335678656546715,0.37264394760131836,0.2224573782742665,25.58058545549469
0.0,0.045,0.0,23.0,3.0,4.0,1,1.3819943877111391,6.510127627035695,0,9,27.32884658064516,53.00000000000001,6.062735275784436,34.0,4,24.64477173451324,1.0,8.0,123.0,53.0,0.0,1.97,48.55020031699109,107.96006599999998,10.93296709579338,0.4582148790359497,0.18952710479430843,1000000.0
0.0,0.045,0.0,31.0,5.0,9.0,1,0.8498955717286298,3.240424488053112,0,9,27.32884658064516,50.910909164265505,6.748106706017685,34.0,4,22.429234760130022,1.0,12.0,103.0,35.0,0.0,1.97,44.18559247745614,107.473856,11.07274765803059,0.2739896774291992,0.2199363431176351,27.60425199708527
0.0,0.045,0.0,30.0,11.0,9.0,1,0.8142067711704271,6.697711116275158,0,9,27.32884658064516,55.0,7.0152942676242365,37.0,4,27.0,1.0,2.0,47.0,34.0,0.0,1.97,53.19,109.450904,7.892685601361255,0.5336160063743591,0.2194117247855728,1000000.0
0.0,0.045,0.0,12.0,1.0,0.0,1,0.9308035406039441,2.5831425718669427,0,9,27.32884658064516,59.36126310657227,8.0,21.0,4,37.17193970341829,1.0,12.0,104.0,36.0,0.0,1.97,73.22872121573403,108.14424499999997,11.654172618653718,0.3731144666671753,0.23284356979193876,27.359730520866535
0.0,0.045,0.0,16.0,13.0,4.0,1,0.6156661961164311,2.2457548560516694,0,9,27.32884658064516,52.0,6.0,8.0,4,25.37377335845874,1.0,6.0,88.0,73.0,0.0,1.97,49.98633351616372,107.57880599999997,10.756592452945808,0.40901023149490356,0.2069658871724446,27.904182927675905
2.0,0.045,38.459348783430706,18.0,1.0,0.0,1,1.812563929882787,6.453003778719396,1,9,27.32884658064516,64.23367237232875,6.3263077242983,35.0,4,19.0,1.0,2.0,100.0,54.0,774.0,1.97,37.43,108.24369700000001,10.3962577352533,0.405504435300827,0.14282181364861818,1000000.0
0.0,0.045,0.0,15.0,2.0,0.0,1,1.1118600101517226,2.6585035349173234,0,9,27.32884658064516,55.94585742836696,5.0,4.0,4,13.24009961061573,1.0,8.0,45.0,36.0,0.0,1.97,26.082996232912986,108.01361299999999,8.331188079626745,0.2702297270298004,0.21846437555344855,30.558688659690066
