Material_2, Composting Method,M1_is Enclosed,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),N2O-N loss (%)
12,1,1.0,0,64.0,64.0,0,0.0,0.0,12.0,0.0,1.0,74.0,15,1.16,7,19.65,0.06
15,0,1.0,5,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,15,0.08,7,19.77,0.69
15,0,1.0,5,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,15,0.83,7,20.12,0.27
15,0,1.0,5,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,15,1.64,7,20.02,0.17
7,1,0.0,7,54.1,0.0,2,0.0,0.0,1.6,0.0,0.4,77.53,15,0.0,7,6.53,0.02
5,1,0.0,7,59.5,0.0,2,0.0,0.0,3.0,0.0,0.4,66.71,15,0.0,7,6.81,1.1
5,1,0.0,7,59.5,0.0,2,0.0,0.0,3.0,0.0,0.4,66.36,15,0.0,7,9.22,1.2
5,1,0.0,7,61.1,0.0,2,0.0,0.0,3.2,0.0,14.13,67.68,15,0.0,7,7.35,0.0
6,1,0.0,7,64.1,0.0,2,0.0,0.0,5.6,0.0,12.73,66.26,15,0.0,7,7.24,0.03
13,0,1.0,6,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,72.13,15,0.22,7,19.11,0.06
18,0,1.0,6,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,69.74,15,0.21,7,13.27,0.04
11,0,1.0,6,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,71.05,15,0.21,7,13.56,0.03
1,0,1.0,7,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,15,0.86,7,15.04,0.14
1,0,1.0,7,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,15,0.93,7,19.96,0.21
1,0,1.0,7,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,15,0.9,7,24.99,0.28
1,0,1.0,7,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,15,0.91,7,30.23,0.32
7,0,1.0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,66.9,15,1.21,7,25.0,1.68
14,0,1.0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,15,0.96,7,20.9,0.69
14,0,1.0,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,53.1,15,0.86,7,18.7,1.34
7,2,0.75,0,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,15,0.49,7,20.51,0.9
7,2,0.75,0,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,15,0.49,7,20.51,1.1
18,2,1.0,7,56.0,56.0,0,0.0,0.0,0.0,0.0,1.37,69.4,15,0.11,7,29.0,1.13
18,2,1.0,7,56.0,56.0,0,0.0,0.0,0.0,1.73,1.37,71.1,22,0.11,7,24.7,1.06
18,2,1.0,7,56.0,56.0,0,0.0,0.0,0.0,1.39,1.37,71.2,22,0.11,7,17.6,1.02
18,2,1.0,7,56.0,56.0,0,0.0,0.0,0.0,3.7,1.37,67.6,22,0.11,7,19.0,0.71
18,2,1.0,7,56.0,56.0,0,0.0,0.0,0.0,0.32,1.37,69.2,22,0.11,7,19.5,0.81
18,2,1.0,7,56.0,56.0,0,0.0,0.0,0.0,2.07,1.37,71.0,22,0.11,7,21.2,0.77
18,2,1.0,7,56.0,56.0,0,0.0,0.0,0.0,0.0,1.37,70.3,15,0.11,7,19.6,1.2
18,2,1.0,7,56.0,56.0,0,0.0,0.0,0.0,2.84,1.18,71.8,22,0.11,7,19.5,1.03
12,1,0.0,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,15,0.0,7,18.78,0.11
12,1,1.0,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,15,0.0,7,18.21,0.11
12,1,1.0,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.1,74.27,15,0.0,7,18.21,0.07
12,1,0.75,0,42.74,22.55,1,2.36,13.4,5.45,5.24,1.45,64.48,15,0.49,7,20.51,0.07
