V4_Ventilation Day,V1_Ventilation Type,Additive_3,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Initial C/N (%), Composting Method,Additive_1,Application Rate (%DW),Turning times,Additive_4,Compost volume (m3),Initial GI (%),V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial Moisture Content (%),M1_is Enclosed,Material_2,Initial pH,Period (d),Additive_2,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
80.0,2.0,3.0,0.7373402574993748,521.0,19.326251294016213,2.0,4.0,1.9065663247309232,23.0,1.0,7.5350506991141675,0.0,0.49194419699696457,1,60.41903608633885,0.0,8.0,11.657150755008008,70.9597222093996,15.0,3.0,4.41539047354654,53.32181856141818,93.94235099999997,16.928064820013248,0.8950554132461548,0.1612739294870132,24.697377758399163
44.0,2.0,1.0,34.662964833994046,556.0,13.360820580757803,1.0,36.0,36.70724321987958,21.0,1.0,10.179973246676013,0.0,0.07476060294210551,1,62.623262305076814,1.0,2.0,11.33622831250354,91.80894989267179,10.0,4.0,6.117078637838921,59.20751485723517,93.57053900000001,16.519628087858926,0.49997565150260925,0.13687670943120217,21.335425953350786
36.0,1.0,1.0,26.403632492451422,1069.0,24.94954335132053,0.0,6.0,16.400016128367245,6.0,1.0,0.9805196750165973,80.7,0.32987883841316235,1,54.43748129744651,0.0,5.0,8.668825490030637,74.25185632541948,5.0,4.0,6.351111440561921,45.29971016903935,92.90349400000005,17.143919556485855,0.8375757336616516,0.1657420282379204,18.321378619697207
4.6487199305326925,1.0,5.0,37.390201455223504,382.53854512820914,15.933118454731328,2.0,24.0,8.901636073192163,1.0,1.0,25.966098391675317,0.08873682109833389,0.0804027298391044,1,81.98954955925723,0.0,5.0,11.101384940758342,116.54505790201762,1.0,0.0,6.864413420136678,44.13498013919747,93.83013100000002,12.3462426222757,0.4378308057785034,0.12471079899929155,18.597584663351025
23.031528143028048,0.0,5.0,17.689337234768697,857.0000000000002,33.55225760396165,1.0,2.0,11.837919843881583,8.738664622729445,1.0,4.904476676289859,80.69999999999999,0.2934969834781458,1,71.10383196623123,0.0,12.0,12.009695153187716,44.85145056296342,0.0,3.0,6.296921240951521,36.1097590131532,93.13591500000001,7.578178034845333,0.6681087017059326,0.1470914409777141,23.590868864246776
83.0,2.0,4.0,21.136969643016435,517.0,15.500033414296919,0.0,7.0,11.947704656863912,12.138501358157251,1.0,13.545755975886765,80.7,0.37975821017745326,1,71.52159276420221,0.0,4.0,10.98412422100829,123.0,5.0,2.0,5.638064152948617,33.659878728457784,93.619988,17.218841578902467,0.8462479710578918,0.16879615478897486,21.96957777830364
33.565273773142664,1.0,5.0,51.97647161522925,721.0123680842622,8.952072039481171,2.0,35.0,15.792398019185963,1.9390470010527974,1.0,3.223882946075819,80.7,0.2810508077550544,1,65.43850894070687,1.0,4.0,10.556530203516875,95.99949826812096,12.0,2.0,1.13636991954812,61.597073174661375,92.42579400000002,10.424161489668743,0.370714008808136,0.13395409959474994,22.02264646106889
8.930086217794567,2.0,4.0,29.335492679140394,536.0051162919353,12.003347228680596,1.0,24.0,16.860017804465237,10.43712243732452,1.0,12.933766819633552,1.8061590609251854,0.11936488238957216,1,46.50319141478697,1.0,3.0,7.07899008447518,79.0,7.0,0.0,8.330768308173111,55.81534078220888,93.93934000000002,16.15175555555613,0.7980266213417053,0.1242052374646028,21.305627256158523
56.076654124351194,2.0,4.0,21.8943950226334,1401.9999999999995,35.02393522367106,1.0,4.0,0.6687326094940544,8.413949274444985,1.0,18.814783870343824,0.0,0.2457632554437683,1,67.42564949541955,0.0,2.0,8.707502287482674,86.0,6.0,4.0,5.886021083358804,56.8192313458184,94.39199400000001,17.243287141466308,0.4267836809158325,0.16260893531595752,21.87470399249837
57.99129288415041,2.0,3.0,32.74407579447857,558.0,28.2065698420383,0.0,4.0,9.679120338589902,0.10794117777137915,1.0,12.693007195419348,0.0,0.10831120189423035,1,70.04574122977907,1.0,3.0,10.261331418716864,104.0,6.0,3.0,8.454511200431657,55.40542894140754,95.45463600000001,11.393591779493912,0.22551500797271729,0.13560978447540603,20.012462113676428
