Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
5,0,0,45.0,0,0.0,0.0,7,0.0,5,0.06,0.0,66.014,0.09
8,0,1,70.0,0,0.0,0.0,4,0.0,5,1.2096,0.0,63.6,1.4
8,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.18,63.6,1.2
8,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.36,63.6,1.7
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.10748
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.11495
6,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.48,71.0,0.0821
6,0,1,31.0,0,31.0,0.0,0,0.0,5,0.01,0.23,71.0,0.1254
6,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.0394
6,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.1567
8,0,1,30.0,1,30.0,25.0,4,10.2,5,0.06,0.48,65.44582,2.0
8,0,1,30.0,1,30.0,25.0,4,5.2,5,0.06,0.48,62.90682,2.0
7,0,1,45.0,8,45.0,20.0,8,0.0,5,0.12,0.95053,65.0,1.92
7,0,1,45.0,8,45.0,20.0,8,5.0,5,0.12,0.93677,65.0,1.1
7,0,1,45.0,8,45.0,20.0,8,1.0,5,0.12,0.95053,65.0,0.79
7,0,1,45.0,8,45.0,20.0,8,1.0,5,0.12,0.95053,65.0,2.48
7,0,1,45.0,8,45.0,20.0,8,3.0,5,0.12,0.92712,65.0,2.29
7,0,1,45.0,8,45.0,20.0,8,3.0,5,0.12,0.92712,65.0,0.5
7,0,1,45.0,8,45.0,20.0,8,5.0,5,0.12,0.93677,65.0,1.64
8,0,1,50.0,0,50.0,0.0,0,0.0,5,0.1,0.3,60.0,0.79
8,0,1,50.0,0,50.0,0.0,0,10.0,5,0.1,0.3,60.0,0.3
8,0,1,50.0,0,50.0,0.0,0,10.0,5,0.1,0.3,60.0,0.39
8,0,1,50.0,0,50.0,0.0,0,20.0,5,0.1,0.3,60.0,0.19
7,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.1,72.86,0.8
7,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.2,72.86,0.6
7,0,1,35.0,0,35.0,0.0,5,0.0,5,0.06,0.3,72.86,0.6
8,0,1,28.0,0,28.0,0.0,3,0.0,5,0.06,0.25,52.2,1.5
8,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,1.4
8,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,1.0
8,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,0.3
8,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,0.3
8,0,1,28.0,0,28.0,0.0,3,0.75122,5,0.06,0.25,57.6,0.3
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.003
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.016
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.017
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.053
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.001
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.003
0,2,0,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,0.001
0,1,0,90.0,0,0.0,0.0,0,0.0,5,0.02069,0.0,69.014,0.22
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,69.014,0.43
0,1,0,90.0,0,0.0,0.0,0,0.0,4,0.02069,0.0,69.014,0.17
