Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
10,0,1,40.0,10,30.0,30.0,6,1.46082,11,0.11343,7.79221,65.17413,41.5
5,1,0,28.0,0,0.0,0.0,4,0.0,11,1.0,0.0,65.0,19.53
5,1,0,28.0,0,0.0,0.0,4,6.0,11,1.0,0.0,60.7256,22.53
5,1,0,28.0,0,0.0,0.0,4,18.0,11,1.0,0.0,60.5,20.85
5,1,0,28.0,0,0.0,0.0,4,30.0,11,1.0,0.0,60.61594,19.4
5,1,0,43.4613,0,23.19054,3.90898,4,4.45139,11,1.00714,0.74405,63.94368,16.26
5,1,0,43.4613,0,23.19054,3.90898,4,4.45139,11,1.00714,0.74405,63.94368,14.85
10,0,1,28.0,0,28.0,0.0,4,0.0,7,1.8,0.20354,63.2432,19.5
10,0,1,28.0,0,28.0,0.0,4,0.69203,7,1.8,0.20761,64.0541,18.5
8,0,1,56.0,0,56.0,3.0,11,0.0,11,0.13,1.11111,55.0,6.03
8,0,1,56.0,0,56.0,4.5,11,2.0,11,0.13,1.11111,55.0,4.15
8,0,1,56.0,0,56.0,0.0,11,4.0,11,0.13,1.11111,55.0,2.7
8,0,1,56.0,0,56.0,0.0,11,6.0,11,0.13,1.11111,55.0,3.16
8,0,1,56.0,0,56.0,3.0,11,8.0,11,0.13,1.11111,55.0,2.44
8,0,1,56.0,0,56.0,1.5,11,12.0,11,0.13,1.11111,55.0,2.21
8,0,1,56.0,0,56.0,0.0,11,18.0,11,0.13,1.11111,55.0,2.08
4,1,0,69.0,0,0.0,0.0,18,0.0,2,0.08,0.0,80.7,24.05063
4,1,0,69.0,0,0.0,0.0,18,3.0,2,0.08,0.0,80.7,17.24138
4,1,0,69.0,0,0.0,0.0,18,4.0,2,0.08,0.0,80.7,11.63934
4,1,0,69.0,0,0.0,0.0,18,3.0,2,0.08,0.0,80.7,18.1
10,0,1,35.0,0,35.0,0.0,4,0.0,11,0.06,0.3,69.2,37.5
10,0,1,35.0,0,35.0,0.0,4,2.54816,11,0.06,0.3,69.2,18.8
10,0,1,35.0,0,35.0,0.0,4,2.54816,11,0.06,0.3,69.2,20.8
10,0,1,35.0,0,35.0,0.0,4,2.54816,11,0.06,0.3,69.2,17.6
10,0,1,35.0,0,35.0,0.0,4,2.54816,11,0.06,0.3,69.2,9.8
10,2,0,82.0,0,0.0,0.0,15,1.37741,7,5.456,0.0,63.7,30.73
10,2,0,82.0,0,0.0,0.0,15,9.64187,7,5.456,0.0,63.7,20.73
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,32.19
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,20.8
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,13.65
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,7.66
10,0,1,50.0,8,50.0,10.0,7,2.5,4,0.18,6.25,60.0,20.8
10,0,1,50.0,8,50.0,10.0,7,5.0,4,0.18,6.25,60.0,13.82
10,0,1,50.0,8,50.0,10.0,7,7.5,4,0.18,6.25,60.0,10.57
10,0,1,50.0,8,50.0,10.0,7,10.0,4,0.18,6.25,60.0,9.8
10,0,1,35.0,8,35.0,10.0,5,2.5,4,0.18,6.25,60.0,33.01
10,0,1,35.0,8,35.0,10.0,5,9.23077,4,0.18,6.25,60.0,28.94
10,0,1,35.0,8,35.0,10.0,5,16.92308,4,0.18,6.25,60.0,21.28
10,0,1,35.0,8,35.0,10.0,5,24.61538,4,0.18,6.25,60.0,17.39
10,1,0,81.0,0,0.0,0.0,20,0.0,7,16.0,0.0,65.0,34.15
10,1,0,81.0,0,0.0,0.0,21,8.8,7,16.0,0.0,65.0,29.07
0,1,0,50.0,0,0.0,0.0,9,0.0,0,0.06,0.0,60.6,15.0
