Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
8,0,1,50.0,0,50.0,0.0,9,10.0,5,0.1,0.3,62.41946,99.5483
8,0,1,50.0,0,50.0,0.0,9,20.0,5,0.1,0.3,59.73189,102.259
8,0,1,50.0,0,50.0,0.0,9,20.5,5,0.1,0.3,59.73189,104.723
8,0,1,50.0,0,50.0,0.0,9,21.0,5,0.1,0.3,59.73189,103.737
8,0,1,50.0,0,50.0,0.0,9,22.0,5,0.1,0.3,59.73189,105.955
5,0,1,91.0,0,0.0,0.0,13,0.0,5,0.25,0.0,60.0,77.6786
5,0,1,91.0,0,17.6,0.0,13,12.5,5,0.25,0.01275,60.0,107.143
5,0,1,91.0,0,17.6,0.0,13,12.5,5,0.25,0.01275,60.0,90.5357
5,0,1,43.4613,0,23.19054,3.90898,13,4.45139,5,1.00714,0.74405,63.94368,109.286
5,0,1,91.0,0,0.0,0.0,13,0.0,5,0.25,0.0,60.0,84.6429
5,0,1,91.0,0,17.6,0.0,13,12.5,5,0.25,0.01275,60.0,117.321
5,0,1,91.0,0,17.6,0.0,13,12.5,5,0.25,0.01275,60.0,95.8929
5,0,1,43.4613,0,23.19054,3.90898,13,4.45139,5,1.00714,0.74405,63.94368,126.429
5,0,1,91.0,0,0.0,0.0,13,0.0,5,0.25,0.0,60.0,96.9643
5,0,1,91.0,0,17.6,0.0,13,12.5,5,0.25,0.01275,60.0,129.643
5,0,1,91.0,0,17.6,0.0,13,12.5,5,0.25,0.01275,60.0,103.393
5,0,1,43.4613,0,23.19054,3.90898,13,4.45139,5,1.00714,0.74405,63.94368,130.179
0,0,1,60.0,0,60.0,0.0,5,4.19709,5,0.045,0.22,60.0,57.1649
0,0,1,60.0,0,60.0,0.0,5,4.19709,5,0.045,0.44,60.0,82.0
0,0,1,60.0,0,60.0,0.0,5,4.19709,5,0.045,0.66,60.0,87.0482
0,0,1,60.0,0,60.0,0.0,5,3.66746,5,0.045,0.22,65.0,81.0978
0,0,1,60.0,0,60.0,0.0,5,3.66746,5,0.045,0.44,65.0,86.9231
0,0,1,60.0,0,60.0,0.0,5,3.66746,5,0.045,0.66,65.0,66.8675
0,0,1,60.0,0,60.0,0.0,5,3.13636,5,0.045,0.22,70.0,73.0185
0,0,1,60.0,0,60.0,0.0,5,3.13636,5,0.045,0.44,70.0,58.9231
0,0,1,60.0,0,60.0,0.0,5,3.13636,5,0.045,0.66,70.0,82.0783
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.24,65.0,62.2568
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.48,65.0,90.856
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.72,65.0,83.6576
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.24,70.0,81.5175
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.48,70.0,85.7977
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.72,70.0,66.1479
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.24,75.0,73.7354
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.48,75.0,53.3074
8,0,1,37.0,1,37.0,25.0,4,0.0,5,0.06,0.72,75.0,85.9922
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,64.1,62.0
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.48,65.2,90.9
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.72,63.7,83.5
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,71.3,81.4
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.48,70.6,85.7
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.72,70.8,66.2
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.24,75.7,73.5
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.48,76.8,53.2
8,0,1,37.0,0,37.0,0.0,4,0.0,5,0.06,0.72,74.0,86.1
