Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
8,1,0,70.0,0,0.0,0.0,9,0.0,8,1.2,0.0,64.0,63.64
8,1,1,70.0,0,0.0,0.0,9,0.0,8,1.2,0.0,64.0,63.16
8,1,0,70.0,0,0.0,0.0,4,0.0,8,1.2,0.0,64.0,63.33
8,1,1,70.0,0,0.0,0.0,4,0.0,8,1.2,0.0,64.0,62.73
8,1,0,70.0,0,0.0,0.0,0,0.0,8,1.2,0.0,64.0,52.88
8,1,1,70.0,0,0.0,0.0,0,0.0,8,1.2,0.0,64.0,51.81
6,0,1,35.0,0,35.0,0.0,4,0.0,8,0.06,0.2,72.1,50.26
8,0,1,56.0,0,0.0,0.0,6,0.0,8,1.2,0.0,67.6,66.0
8,0,1,56.0,0,0.0,0.0,6,3.3,8,1.2,0.0,67.6,59.5
8,0,1,56.0,0,0.0,0.0,6,6.6,8,1.2,0.0,67.6,60.5
8,0,1,56.0,0,0.0,0.0,6,9.9,8,1.2,0.0,67.6,55.3
8,0,1,56.0,0,0.0,0.0,6,13.2,8,1.2,0.0,67.6,44.3
5,0,1,28.0,0,0.0,0.0,8,0.0,8,0.13,0.0,61.4561,41.19
5,0,1,28.0,0,0.0,0.0,8,2.0,8,0.13,0.0,60.661,38.64
5,0,1,28.0,0,0.0,0.0,8,4.0,8,0.13,0.0,59.7109,31.45
5,0,1,28.0,0,0.0,0.0,8,6.0,8,0.13,0.0,60.4548,25.78
5,0,1,28.0,0,0.0,0.0,8,8.0,8,0.13,0.0,60.0684,18.48
5,0,1,28.0,0,0.0,0.0,8,10.0,8,0.13,0.0,59.4546,12.39
8,0,1,28.0,5,28.0,30.0,2,0.0,8,0.07122,0.8589,60.0,46.9
8,0,1,28.0,5,28.0,30.0,2,0.0,8,0.07122,0.92562,60.0,53.94
