 Composting Method,Initial pH,Period (d),Additive_1,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial GI (%),Additive_4,M1_is Enclosed,Initial C/N (%),Additive_3,Material_2,Material_3,Initial Moisture Content (%),Material_Main,V1_Ventilation Type,V4_Ventilation Day,Additive_2,Turning times,Application Rate (%DW),V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Reactor,7.0,87.0,MgHPO₄,0.06,0.0,0.0,27.32884658064516,None,1.0,41.90297359759844,None,Plastic tube pieces,Byproduct,58.0,Food Waste,None,0.0,Calcium magnesium phosphate fertilizer,15.0,8.835396130116196,0.0,1.775,74.37777813573723,89.25509,6.592875579300572,0.478815346956253,0.1947511871605001,20.449746887892623
Trough,6.0,17.0,Urea,0.06,0.0,0.0,27.32884658064516,None,0.0,14.0,None,Soil,Mature compost,50.0,Food Waste,None,0.0,Mg(OH)₂,4.0,9.49088037535462,0.0,1.775,68.72933599659714,88.435085,3.142784259495122,0.2728533148765564,0.0902408695490296,1000000.0
Windrow,6.0,81.0,None,0.06,1.7195357833133589,1201.0,27.32884658064516,None,1.0,38.0,None,Sawdust,Byproduct,73.81559297833523,Food Waste,Intermittent ,3.0,None,15.0,9.18578750196814,11.23494645466766,1.775,58.81407145429621,88.83086200000001,8.002765095059955,0.6589069366455078,0.1726842255033487,1000000.0
Reactor,7.000000000000001,65.0,Sulfur,0.06,0.2962710392041439,369.0,27.32884658064516,None,1.0,44.89396433287861,None,Straw,Byproduct,65.0,Food Waste,Intermittent ,1.0,Ca-superphosphate,14.0,5.3498392068409295,46.66524168190848,1.775,79.68678669085953,88.745623,8.709716462193146,0.3855829536914825,0.1531929511730334,23.883058288290357
Windrow,8.421971782198138,118.0,Labile carbon source,0.06,0.0,0.0,27.32884658064516,None,1.0,30.0,None,Soil,Green waste,54.0,Food Waste,None,0.0,Biochar,17.0,9.518887569570047,0.0,1.775,57.83909081039573,86.94286200000002,4.772940789095989,1.0694589614868164,0.1413170505668802,1000000.0
Windrow,7.0,19.0,Sand,0.06,0.0,0.0,27.32884658064516,None,0.0,10.0,None,None,Green waste,51.10163285404441,Food Waste,None,0.0,Calcium magnesium phosphate fertilizer,3.0,7.733908998014628,0.0,1.9693649664347623,60.74618468492575,89.14818100000001,1000000.0,1000000.0,1000000.0,1000000.0
Reactor,5.0,20.0,Labile carbon source,0.06,1.2426479769463712,0.0,27.328846580645163,None,1.0,17.0,None,Woody peat,Poultry manure,71.44623995666669,Food Waste,None,0.0,Inorganic acid,3.0,3.2214932743558498,0.2275163079671467,1.775,29.53516604646285,90.93822199999998,5.685827422533591,0.4181990921497345,0.2359797085545671,1000000.0
Windrow,5.0,78.0,Clay,0.06,1.1971210978778024,1365.0,27.32884658064516,None,1.0,12.0,None,None,Byproduct,76.72936752511134,Food Waste,Intermittent ,0.0,DCD,19.0,6.049016144118652,44.95849694442169,1.775,61.34694329134068,88.743823,5.815365449923726,0.6146394610404968,0.1586973782372465,1000000.0
Windrow,7.0,16.0,Forsterite,0.06,1.450606723695862,4.0,27.32884658064516,None,1.0,16.0,None,Soil,Byproduct,67.0,Food Waste,Intermittent ,0.0,MgO,5.0,8.175762544620174,49.10263363300026,1.775,21.820880843215505,90.248231,6.699804371622032,0.2448493540287017,0.1851932931003031,1000000.0
Windrow,6.0,25.0,Forsterite,0.06,0.5929156582261514,1192.0,27.32884658064516,None,1.0,27.0,None,Green waste,None,64.0,Food Waste,Intermittent ,3.0,MgSO₄,2.0,3.0891189485615422,43.46130963036103,1.775,12.228704475793108,88.47817400000002,6.803565822426447,0.6715924143791199,0.1645004910626908,1000000.0
Reactor,6.0,16.0,Phosphogypsum,0.06,0.0,0.0,27.32884658064516,None,1.0,13.0,None,Plastic tube pieces,Straw,56.0,Food Waste,None,0.0,Ca-superphosphate,3.0,2.058278898637047,0.0,1.775,8.792150428357177,89.381608,5.959635854920554,0.645308792591095,0.1685266192678043,1000000.0
Reactor,6.0,28.0,Clay,0.06,0.0,0.0,27.32884658064516,None,1.0,24.0,None,Plastic tube pieces,Byproduct,77.48467124929275,Food Waste,None,0.0,Ca-superphosphate,1.0,2.348508780580283,0.0,1.775,59.67792463965491,90.15578599999998,6.817006483831875,0.3398657739162445,0.2178289992687596,1000000.0
