M1_is Enclosed,Additive_4,Compost volume (m3),V1_Ventilation Type,V2_Ventilation Interval (min),Initial Moisture Content (%),Application Rate (%DW),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Material_3,Additive_3,Initial pH, Composting Method,Additive_2,Initial C/N (%),Material_2,Additive_1,Initial GI (%),Period (d),Turning times,V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,None,2.147162565177521,Continuous,0.0,60.0,6.955611430389451,51.0,0.4661461880164574,Cattle manure,Byproduct,None,7.0,Reactor,Gypsum,41.82374590690426,Soil,Labile carbon source,27.32884658064516,122.0,31.0,0.0,1.596639959668374,66.77746397797993,104.51713000000004,11.211954772696194,0.3531990051269531,0.2459978816386813,25.641281216485257
1.0,None,2.147162565177521,Intermittent ,379.0,63.00000000000001,2.7567495701332536,44.0,0.92166198772166,Cattle manure,Mature compost,None,9.52189376444909,Reactor,MgSO₄,33.0,Woody peat,Microbiological agent,27.32884658064516,122.0,31.0,41.34863131879577,1.596639959668374,43.15134759629985,109.12731600000004,9.84929268606471,0.2621654868125915,0.1859626324696927,1000000.0
1.0,None,2.147162565177521,Intermittent ,390.0,54.0,5.825454806332529,9.0,0.1115267657548013,Cattle manure,Poultry manure,None,6.0,Reactor,Organic acid,44.27307806781944,Sawdust,Organic acid,27.32884658064516,120.0,30.0,0.8934634987047119,1.596639959668374,70.68816558059801,105.13568200000002,9.452056703108468,0.3252428472042084,0.1684556375059573,21.95450198080875
1.0,None,2.147162565177521,None,0.0,63.0,7.988999321754425,0.0,0.0,Cattle manure,Green waste,None,5.0,Windrow,Ca-superphosphate,25.0,Straw,Biochar,27.328846580645163,81.0,31.0,0.0,1.596639959668374,56.283957861616976,104.67835400000004,10.35733894120812,0.5007597804069519,0.1444910198757254,1000000.0
1.0,None,2.147162565177521,Intermittent ,637.0,56.0,9.217218923601576,57.0,1.978896552894583,Cattle manure,None,None,7.0,Reactor,Ca-superphosphate,16.0,Sawdust,Lignite,27.32884658064516,67.0,30.0,35.48560818233572,1.596639959668374,22.07128363424776,105.16855700000002,10.550763767439207,0.1762605011463165,0.1685096478996393,1000000.0
1.0,None,2.147162565177521,None,0.0,75.7281756565765,7.551300879932613,0.0,0.0,Cattle manure,None,None,5.0,Reactor,Calcium magnesium phosphate fertilizer,32.0,Woody peat,Sulfur,27.32884658064516,123.0,29.0,0.0,1.596639959668374,13.473973702723216,107.20256500000004,10.35733894120812,0.4156939387321472,0.2438070970345595,1000000.0
1.0,None,2.147162565177521,Intermittent ,48.0,78.73950553765029,5.808554605754372,34.0,1.5712840517382436,Cattle manure,Straw,None,9.729363923312466,Trough,None,28.0,Sawdust,None,27.32884658064516,105.0,31.0,0.5619471586465519,1.596639959668374,24.62485286777128,105.518394,10.764391700179347,0.260486900806427,0.2104234743408851,1000000.0
1.0,None,2.147162565177521,None,0.0,62.77509331683566,7.116059986672246,0.0,0.0,Cattle manure,Straw,None,8.98649138943977,Reactor,Ca-superphosphate,41.84087842509432,Green Waste,MgO,27.32884658064516,58.0,30.0,0.0,1.596639959668374,67.00781000064616,103.07261200000006,9.78741693306402,0.3366732597351074,0.2042909055186409,1000000.0
1.0,None,2.147162565177521,Intermittent ,452.0,52.0,7.897734253774519,12.0,0.1915970321546107,Cattle manure,Green waste,None,6.0,Reactor,Mg(OH)₂,18.0,Straw,Mature compost,27.32884658064516,115.0,26.0,38.653383287319535,1.596639959668374,60.84556252069053,104.10111400000004,7.866375963755047,0.2204750180244445,0.1471015163797729,1000000.0
1.0,None,2.147162565177521,Intermittent ,380.0,63.0,5.67859705829376,43.0,1.864834940453094,Cattle manure,Poultry manure,None,8.686420367446908,Reactor,Biochar,10.69369943171409,Green waste,Ca-superphosphate,27.32884658064516,103.0,31.0,6.77844002406643,1.596639959668374,32.721116408398544,106.98326700000004,9.977545420609154,0.1284050047397613,0.181035233294952,1000000.0
1.0,None,2.147162565177521,None,0.0,74.54157580194229,9.080772259882586,0.0,0.0,Cattle manure,None,None,7.0,Windrow,Organic acid,40.80057185783734,Straw,Forsterite,27.32884658064516,13.0,30.0,0.0,1.596639959668374,65.14382340554401,103.06747300000002,8.12682045328215,0.3842704892158508,0.2192062471168094,29.7251789366788
