Material_2,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,Period (d),V1_Ventilation Type,Material_3,Application Rate (%DW),Additive_1,Initial GI (%),M1_is Enclosed,Material_Main,Compost volume (m3), Composting Method,V4_Ventilation Day,Additive_4,Turning times,V3_Ventilation Duration (min),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Soil,0.2115738949765244,Potassium phosphate,40.0,662.0,None,37.0,Intermittent ,Poultry manure,8.842278452134332,Organic acid,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,29.0,None,3.0,1.773670384977878,51.0,5.0,2.4967368849582217,55.94540034171786,113.33135400000006,8.783803447532907,0.8467187881469727,0.1484955929126393,1000000.0
Soil,1.8687316740995916,Inorganic acid,13.0,939.0,None,113.0,Intermittent ,Mature compost,5.961226529884154,Zeolite,27.328846580645163,0.0,Poultry manure,0.6292491869918699,Windrow,76.0,None,1.0,17.45152131610252,63.0,8.63076339128109,2.4967368849582217,35.09253880839943,110.551646,8.468917560232724,0.9519824385643004,0.1270623468019829,1000000.0
Sawdust,1.2896286185273167,Gypsum,19.0,1186.0,None,104.0,Intermittent ,Straw,3.3444846958476093,Ferric salt,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Windrow,12.0,None,1.0,53.90393936131936,76.64127786434196,6.0,2.4967368849582217,56.38213567712082,110.04733000000004,8.394115260744734,0.9372199177742004,0.1696872216455558,1000000.0
Sawdust,2.613162493458016,DCD,34.0,388.0,None,133.0,Intermittent ,Byproduct,2.3486761242459524,Inorganic acid,27.328846580645163,1.0,Poultry manure,0.6292491869918699,Reactor,45.0,None,9.0,3.296575490990339,57.0,5.0,2.4967368849582217,81.63033398141279,115.18171400000004,8.134690725163352,0.3206692636013031,0.1741476956451724,1000000.0
Woody peat,1.765422223721867,Gypsum,39.0,1286.0,None,70.0,Intermittent ,Mature compost,8.908822834957203,Potassium phosphate,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,31.0,None,10.0,1.0373549672973814,67.0,6.0,2.4967368849582217,95.28838872140268,113.48727200000005,9.028180400521668,0.9721961617469788,0.1524079751270334,1000000.0
Husk,0.1572008734646035,Zeolite,26.0,1255.0,None,26.0,Intermittent ,Green waste,8.391543871415355,LB Culture,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Windrow,25.0,None,1.0,10.169030808414233,70.0,8.0,2.4967368849582217,48.01601266242908,110.87487799999997,8.395061989977838,0.9172526597976683,0.1575081994173682,1000000.0
Plastic tube pieces,0.656429902590201,Potassium phosphate,39.0,425.0,None,116.0,Intermittent ,Mature compost,9.372418775677817,Urea,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Windrow,78.0,None,8.0,26.687283204850683,83.82074221424324,11.681115979163408,2.4967368849582217,27.95722636185236,111.367698,8.954324830266781,0.633849024772644,0.1601356275893317,1000000.0
Husk,0.9260879436352132,None,30.0,840.0,None,121.0,Intermittent ,Mature compost,2.576513602703527,Potassium phosphate,27.328846580645163,1.0,Poultry manure,0.6292491869918699,Windrow,53.0,None,1.0,51.01791930104726,71.66882675403582,7.000000000000001,2.4967368849582217,28.36155972364513,110.922179,7.551450539463313,1.0393019914627075,0.1307004448282951,1000000.0
Byproduct,0.627037697053288,Potassium phosphate,13.000000000000002,441.0,None,107.0,Intermittent ,Mature compost,4.734880597898135,Inorganic acid,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,48.0,None,3.0,54.72488042472255,52.0,5.0,2.4967368849582217,14.055585330766853,110.610574,9.966726137808276,0.5956045985221863,0.1246322059934972,1000000.0
Husk,0.901921835170488,Ca-superphosphate,21.0,396.0,None,45.0,Intermittent ,Straw,3.3047174593868,Sulfur,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Windrow,45.0,None,11.0,3.090686726941672,75.5310810482502,8.701745045538939,2.4967368849582217,97.6989009057386,113.14172900000008,9.00668437407155,0.8379497528076172,0.1704854942566323,1000000.0
Sawdust,1.759141597083247,Zeolite,28.0,1168.0,None,121.0,Intermittent ,Byproduct,2.4307243225952027,Urea,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Windrow,36.0,None,30.0,47.68413755292451,53.0,6.0,2.4967368849582217,24.7667489614934,110.43729899999998,7.775402965229173,0.7763978838920593,0.1543230891249834,1000000.0
Green waste,1.5934118078282122,Potassium phosphate,10.0,762.0,None,71.0,Intermittent ,None,3.3490053361767,Sodium phosphates,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,65.0,None,7.0,2.378860050062599,75.30478130628427,7.0,2.4967368849582217,69.52031824868877,114.14854900000006,8.76230742108279,0.3861639499664306,0.1450381748981005,1000000.0
Sawdust,0.8097443293003697,Biochar,12.0,1066.0,None,75.0,Intermittent ,Green waste,3.6414368714049736,Sodium phosphates,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,74.0,None,2.0,0.1775287287777405,59.38089686881785,8.0,2.4967368849582217,48.32512775438116,114.94073400000003,8.91402793713315,1.2084063291549685,0.1468989949337462,1000000.0
None,0.3600738799458873,DCD,44.65295350605141,613.0,None,76.0,Intermittent ,Mature compost,8.755027965462002,Forsterite,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,24.0,None,15.0,5.951577987362382,77.47143465076525,8.0,2.4967368849582217,111.4866760408831,113.81139200000004,9.198701783255542,0.7196860909461975,0.185710498994777,18.639527772433816
Green waste,0.3837580289010995,Potassium phosphate,40.7116534861851,336.0,None,112.0,Intermittent ,Green waste,6.687284114545961,MgCl₂,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Windrow,31.0,None,27.0,52.16458584366632,50.0,8.610706243523277,2.4967368849582217,101.64628690659632,110.88492099999998,8.954324830266781,0.6992438435554504,0.1408100646094789,23.036785589014837
Plastic tube pieces,0.3746492608331586,Potassium phosphate,15.0,785.0,None,66.0,Intermittent ,None,7.853528077751202,Sodium salt,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,53.0,None,7.0,46.67383051915104,70.16760847794252,6.0,2.4967368849582217,30.043717205066223,110.835522,8.954324830266781,0.4164711534976959,0.1287334653637323,1000000.0
Plastic tube pieces,1.295823317949949,Gypsum,32.0,521.0,None,113.0,Intermittent ,Green waste,5.163165424628989,Gypsum,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,17.0,None,7.0,0.2599248659549191,79.54008961059341,11.54359486047517,2.4967368849582217,48.08270908864731,114.67854100000004,10.150097521676395,0.7912414073944092,0.1811660207004685,1000000.0
None,0.8761666755575498,Microbiological agent,41.32388452563232,456.0,None,103.0,Intermittent ,Byproduct,2.7531901094103515,Gypsum,27.328846580645163,0.0,Poultry manure,0.6292491869918699,Trough,42.0,None,31.0,54.72437250927341,59.0,8.110592872866107,2.4967368849582217,103.17486672490053,110.194231,8.110713379752257,0.9020609855651855,0.1706283763334133,22.90471893874157
