Additive_3,M1_is Enclosed,Initial GI (%),V1_Ventilation Type,Material_2,Turning times, Composting Method,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Additive_4,Application Rate (%DW),Initial Moisture Content (%),Additive_2,Compost volume (m3),Material_3,Material_Main,Additive_1,Initial pH,V2_Ventilation Interval (min),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,1.0,27.32884658064516,Continuous,Woody peat,23.0,Trough,108.0,68.0,0.0,None,6.545309870254552,65.0,Biochar,0.0996875,None,Digestate,Biochar,10.42169061213181,0.0,0.4980484853137998,40.83042683155156,2.754411318174137,112.46378979070658,93.79326766666672,11.407990270987982,1.1570281982421875,0.1441988956293146,22.954112517058725
None,1.0,27.32884658064516,None,Soil,9.0,Reactor,28.0,0.0,0.0,None,6.406749000839035,60.0,Mg(OH)₂,0.0996875,None,Digestate,Ca-superphosphate,9.775307827682656,0.0,0.0,20.0,2.754411318174137,17.252055231512966,92.15944600000005,8.904464591337735,1.1506723165512085,0.1540244647893423,1000000.0
None,1.0,27.32884658064516,None,Plastic tube pieces,26.0,Windrow,66.0,0.0,0.0,None,4.0021776170501,75.31079918857422,Biochar,0.0996875,Green waste,Digestate,MgCl₂,5.0,0.0,0.0,16.0,2.754411318174137,27.766232266858363,93.36246600000004,9.278392161296836,1.1190416812896729,0.1371394371412038,1000000.0
None,1.0,27.32884658064516,None,Soil,1.0,Trough,19.0,0.0,0.0,None,4.81122806820664,67.0,MgO,0.0996875,Straw,Digestate,MgO,9.72311917797676,0.0,0.0,27.0,2.754411318174137,105.2499938440681,92.78609200000002,11.212586791996724,1.1520178318023682,0.1757656435868775,1000000.0
None,1.0,27.32884658064516,None,Green waste,11.0,Windrow,126.0,0.0,0.0,None,9.365316455720766,53.0,Biochar,0.0996875,Byproduct,Digestate,Sodium phosphates,11.64604475865473,0.0,0.0,39.0,2.754411318174137,16.82965878033105,93.62317500000005,9.61661785047088,1.1743934154510498,0.149941825922829,1000000.0
None,0.0,27.32884658064516,None,Green Waste,0.0,Trough,128.0,0.0,0.0,None,9.230392440524431,54.00000000000001,Organic acid,0.0996875,Byproduct,Digestate,Ca-superphosphate,5.0,0.0,0.0,28.0,2.754411318174137,71.21502133928652,94.79888300000005,8.588033778002657,1.168176293373108,0.0995396807393505,1000000.0
None,1.0,27.328846580645163,Continuous,Straw,0.0,Reactor,112.0,1.0,0.0,None,2.815403258895424,55.0623949954348,Potassium phosphate,0.0996875,Green waste,Digestate,Urea,9.655546532522951,0.0,1.9297918286399616,36.0,2.754411318174137,97.74274773326547,93.08297400000004,11.366417018930756,1.1545876264572144,0.1497158200296816,1000000.0
None,1.0,27.32884658064516,None,Woody peat,4.0,Reactor,49.0,0.0,0.0,None,4.701607509465723,69.0,Ca-superphosphate,0.0996875,Mature compost,Digestate,Ca-superphosphate,7.0,0.0,0.0,19.0,2.754411318174137,71.5069554241742,94.44171700000004,10.39344337045887,1.1575461626052856,0.1659458202284955,1000000.0
None,1.0,27.32884658064516,Continuous,Woody peat,15.0,Trough,29.0,1.0,0.0,None,8.861714962650481,51.0,Biochar,0.0996875,Poultry manure,Digestate,Organic acid,10.657816016345956,0.0,0.820762127686699,19.0,2.754411318174137,78.32339273989756,92.83621800000004,11.708451343524873,1.1263824701309204,0.1661858791702796,1000000.0
None,0.0,27.328846580645163,None,Green waste,14.0,Windrow,131.0,0.0,0.0,None,9.679600965765944,55.0,Biochar,0.0996875,Straw,Digestate,MgSO₄,10.493652665967602,0.0,0.0,34.0,2.754411318174137,76.48298280422848,92.61721600000004,9.309237343620756,1.1263824701309204,0.146551425885489,1000000.0
None,1.0,27.32884658064516,None,Green waste,0.0,Trough,86.0,0.0,0.0,None,4.664597511962532,61.0,MgSO₄,0.0996875,None,Digestate,Biochar,11.989662884467396,0.0,0.0,20.0,2.754411318174137,52.20744269139952,94.23918100000006,9.917170063212726,1.1568760871887207,0.1837276681993995,1000000.0
