Turning times,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,V4_Ventilation Day,V1_Ventilation Type,Application Rate (%DW),Additive_2,Material_3,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Compost volume (m3),Material_Main,Initial Moisture Content (%),Material_2, Composting Method,Initial GI (%),V3_Ventilation Duration (min),Period (d),Initial pH,Additive_1,M1_is Enclosed,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
24.0,12.601995160162218,0.0,None,15.0,Continuous,6.150520857150539,DCD,Mature compost,1.663791005251422,None,0.08,Goat manure,83.65402608086112,Husk,Reactor,27.32884658064516,0.0,114.0,6.0,Sodium salt,1.0,0.875,22.22508159757458,110.110091,6.969092808069246,0.5497182011604309,0.19273104222524,1000000.0
24.0,30.0,0.0,None,6.0,Continuous,7.606547188378891,MgO,Byproduct,0.3575455857175487,None,0.08,Goat manure,63.0,Husk,Trough,27.32884658064516,0.0,17.0,7.0,Potassium phosphate,0.0,0.875,29.48836863776603,108.25884000000002,6.039919879856204,0.5719393491744995,0.1926569618971108,1000000.0
28.0,43.65413612229848,0.0,None,7.0,Continuous,3.69294287865445,Calcium magnesium phosphate fertilizer,None,1.406940617556762,None,0.08,Goat manure,81.66251569358893,None,Trough,27.32884658064516,0.0,79.0,5.0,Sodium phosphates,0.0,0.875,38.19736910701116,108.34678900000004,6.039919879856204,0.5497182011604309,0.1818440869967033,21.380669900496656
2.0,19.0,0.0,None,0.0,None,4.355337201129467,Biochar,Byproduct,0.0,None,0.08,Goat manure,62.0,None,Reactor,27.32884658064516,0.0,17.0,7.521205625123836,Zeolite,1.0,0.875,28.77015010068895,107.94811700000004,6.983507570094593,0.6814594268798828,0.1616362666797282,1000000.0
15.0,21.887495773341485,0.0,None,84.0,Continuous,8.322046632936036,Biochar,Poultry manure,1.3059363665442814,None,0.08,Goat manure,75.44775561066965,Byproduct,Trough,27.328846580645163,0.0,93.0,5.0,Potassium phosphate,1.0,0.875,26.15755052770972,106.93603600000004,6.039919879856204,0.5256856083869934,0.1902020059901073,1000000.0
7.0,31.61166729477427,0.0,None,49.0,Continuous,4.823489479181124,Ca-superphosphate,Green waste,1.282402275948542,None,0.08,Goat manure,51.0,Green Waste,Reactor,27.9349852320046,0.0,93.0,8.69646292133608,Sodium salt,1.0,0.875,12.741435856863012,107.833296,4.004038254434751,0.6746342778205872,0.2008083578733492,1000000.0
8.0,36.0,1082.0,None,37.0,Intermittent ,4.452044117562179,MgO,Mature compost,2.9025847760740198,None,0.08,Goat manure,52.0,Green waste,Trough,27.32884658064516,2.174863246729193,59.0,9.905945095740208,Zeolite,1.0,0.875,15.74983445855838,106.95607,4.405123933556145,1.117102861404419,0.1437693994540046,1000000.0
29.0,40.65420797208814,0.0,None,1.0,Continuous,6.03683794885249,Gypsum,Mature compost,1.213722027227243,None,0.08,Goat manure,57.0,Green Waste,Windrow,27.32884658064516,0.3895172939376362,72.0,10.042785557019918,Sodium phosphates,0.0,0.875,35.57243197557712,109.810201,1.6026601473233515,0.7221096754074097,0.1774646933283526,21.875633830092465
23.0,14.0,0.0,None,1.0,Continuous,8.78549994234314,Calcium magnesium phosphate fertilizer,Mature compost,0.2096140805711865,None,0.08,Goat manure,57.0,Soil,Trough,27.32884658064516,0.0,51.0,7.0,Sodium salt,0.0,0.875,32.45904988484946,110.093184,7.183335007208176,0.6394559144973755,0.1078342439472078,1000000.0
9.0,30.0,0.0,None,31.0,Continuous,5.423000069355906,DCD,Byproduct,1.2518903010304936,None,0.08,Goat manure,76.26534256669049,Green waste,Windrow,27.32884658064516,0.0,60.0,5.0,Urea,1.0,0.875,28.98914434701253,110.077704,6.14449551990007,0.5497182011604309,0.1909759252878426,1000000.0
5.0,35.0,0.0,None,30.0,Continuous,8.739420547060943,Mg(OH)₂,Poultry manure,0.583601973561898,None,0.08,Goat manure,59.0,Woody peat,Reactor,27.32884658064516,0.0,91.0,7.0,Potassium phosphate,1.0,0.875,25.874500398109504,107.242653,7.930612157541045,0.7229651808738708,0.2253761030435176,1000000.0
1.0,23.0,0.0,None,0.0,None,6.600029627543765,Gypsum,Poultry manure,0.0,None,0.08,Goat manure,52.02340281545954,Byproduct,Trough,27.32884658064516,0.0,84.0,7.0,Sodium phosphates,1.0,0.875,32.46839862819148,106.59772600000004,2.7327966682936413,0.0750704407691955,0.2003533222706582,1000000.0
