Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Inorganic acid,None,Byproduct,54.0,None,15.0,27.32884658064516,1073.0,Trough,Plastic tube pieces,5.345430783434628,Sulfur,1.0,Green waste,28.0,0.9430838243272448,Intermittent ,2.8161907669325803,0.314,8.337328601799571,36.0,74.0,1.4280600332415827,27.60222591204367,105.63147099999996,8.54284056531657,1.0282498598098757,0.1546799805123286,1000000.0
Biochar,None,Green waste,53.0,None,7.0,27.32884658064516,0.0,Windrow,Soil,0.0,Biochar,1.0,Green waste,0.0,0.0,None,3.8016087068754616,0.314,6.0,41.11706212923081,48.0,1.4280600332415827,58.71763311106557,111.05152900000004,6.683555807408292,0.6348512768745422,0.1285271715964535,18.94072747413508
Gypsum,None,Mature compost,69.0,None,29.0,27.32884658064516,0.0,Trough,Sawdust,0.0,Labile carbon source,1.0,Green waste,0.0,0.0,None,4.244139809812457,0.314,6.0,43.72632864374697,49.0,1.4280600332415827,62.44382233652166,110.57096200000004,6.56750803278196,0.6602253317832947,0.2074333054453277,22.35016959875422
MgO,None,Straw,70.0,None,18.0,27.32884658064516,0.0,Reactor,Woody peat,0.0,Sand,1.0,Green waste,0.0,0.0,None,3.407424615028675,0.314,11.60211161341701,34.0,91.0,1.4280600332415827,14.721310415606808,105.40553800000002,6.565161149340946,0.597338080406189,0.180142297224513,1000000.0
None,None,None,57.0,None,9.0,27.32884658064516,0.0,Reactor,Sawdust,0.0,None,1.0,Green waste,0.0,0.0,None,2.9470444431492204,0.314,7.0,37.0,38.0,1.4280600332415827,45.9573703665775,110.95655700000005,6.565161149340946,0.6026590466499329,0.2212951596099922,1000000.0
Potassium phosphate,None,Mature compost,70.0,None,8.0,27.32884658064516,0.0,Windrow,Husk,0.0,Sodium salt,0.0,Green waste,0.0,0.0,None,2.802284206522428,0.314,6.0,40.62965771299682,73.0,1.4280600332415827,58.02159034421637,108.36562700000005,6.565161149340946,0.6025716066360474,0.1432317026553223,18.39685216180693
Organic acid,None,Straw,61.0,None,2.0,27.32884658064516,0.0,Reactor,Plastic tube pieces,0.0,Carbonatite,1.0,Green waste,0.0,0.0,None,2.3895286617269464,0.314,5.0,41.56498579825876,100.0,1.4280600332415827,59.35729500074732,107.791377,6.565161149340946,0.3318634331226349,0.2458852011690958,15.718415017753353
Ca-superphosphate,None,Green waste,62.99999999999999,None,2.0,27.32884658064516,0.0,Trough,Byproduct,0.0,Zeolite,1.0,Green waste,0.0,0.0,None,4.150844016868081,0.314,10.285625936381331,34.0,25.0,1.4280600332415827,50.114593129717925,105.479861,7.276133705353045,0.4975795149803161,0.2128018457625229,1000000.0
Ca-superphosphate,None,Mature compost,69.23031764285956,None,23.0,27.32884658064516,0.0,Reactor,Sawdust,0.0,Mature compost,1.0,Green waste,0.0,0.0,None,3.081939832432272,0.314,5.0,35.0,89.0,1.4280600332415827,21.735890490774608,109.489246,6.683555807408292,0.4052275717258453,0.2163508667450053,1000000.0
Ca-superphosphate,None,None,74.26909183515681,None,25.0,27.32884658064516,104.0,Reactor,Woody peat,39.1593354344745,K₂SO₄,1.0,Green waste,20.0,0.2152161568946851,Intermittent ,3.217348528143688,0.314,5.0,33.0,65.0,1.4280600332415827,36.60325950399194,111.948488,8.925303261507526,0.4186723828315735,0.1881208479252473,1000000.0
Gypsum,None,Poultry manure,58.0,None,17.0,27.32884658064516,0.0,Reactor,Sawdust,0.0,Biochar,1.0,Green waste,0.0,0.0,None,2.536260292554481,0.314,7.0,33.0,95.0,1.4280600332415827,51.96694987353692,109.707341,6.56750803278196,0.5494270920753479,0.2280011646724397,1000000.0
None,None,Mature compost,55.0,None,4.0,27.32884658064516,0.0,Reactor,None,0.0,K₂SO₄,1.0,Green waste,0.0,0.0,None,2.687793534615931,0.314,7.0,30.0,66.0,1.4280600332415827,27.97680988067937,109.173914,6.565161149340946,0.5827142000198364,0.2406931559452539,1000000.0
Zeolite,None,Poultry manure,78.09856276176446,None,1.0,27.32884658064516,0.0,Windrow,Green Waste,0.0,Labile carbon source,0.0,Green waste,0.0,0.0568864288181268,None,4.172867124934226,0.314,11.529230739748886,30.000000000000007,17.0,1.4280600332415827,54.56546946219779,104.49220900000002,7.605025091768587,0.6044882535934448,0.1517400763185603,1000000.0
MgO,None,Straw,65.0,None,10.0,27.32884658064516,0.0,Reactor,Plastic tube pieces,0.0,Lignite,1.0,Green waste,0.0,0.0,None,5.1052722342709975,0.314,6.846849244221632,33.0,16.0,1.4280600332415827,51.88987194895944,109.21272700000004,5.916465434499041,0.6664850115776062,0.22680638923306,1000000.0
Inorganic acid,None,Poultry manure,59.0,None,23.0,27.32884658064516,587.0,Reactor,Straw,32.73834392356899,Potassium phosphate,1.0,Green waste,7.0,0.7271021333900893,Intermittent ,4.10138564668225,0.314,7.0,34.0,72.0,1.4280600332415827,17.92924328029015,109.82416699999996,9.953013629595242,0.7616798877716064,0.1580782137957963,1000000.0
Inorganic acid,None,Byproduct,69.0,None,30.0,27.32884658064516,0.0,Trough,Green Waste,0.0,Ferric salt,1.0,Green waste,0.0,0.0,None,4.014619778609891,0.314,6.0,40.0,38.0,1.4280600332415827,30.562469878518613,110.03590200000004,6.642142840338956,0.6602253317832947,0.2040476608937707,1000000.0
None,None,Mature compost,60.0,None,9.0,27.32884658064516,0.0,Windrow,Green Waste,0.0,LB Culture,1.0,Green waste,0.0,0.0,None,3.1556960903715927,0.314,5.0,32.0,62.0,1.4280600332415827,30.566679062498302,109.425693,6.565161149340946,0.6007920503616333,0.1879958992567272,1000000.0
None,None,Straw,68.0,None,9.0,27.32884658064516,2.0,Trough,Sawdust,42.48135143337993,None,0.0,Green waste,17.0,0.9648941845497034,Intermittent ,3.680325829975008,0.314,5.0,42.46897618072283,75.0,1.4280600332415827,60.648247536379024,106.81973300000004,10.560148192366157,0.7894245982170105,0.2173246888103052,22.71529864067822
None,None,Poultry manure,60.0,None,19.0,27.32884658064516,0.0,Trough,Byproduct,0.0,Biochar,0.0,Green waste,0.0,1.3794971316513789,None,2.1011429763904985,0.314,5.0,32.0,20.0,1.4280600332415827,17.73416815304378,109.09239100000006,6.5630525740241215,0.2191153019666671,0.2252086374389291,1000000.0
Ca-superphosphate,None,Green waste,51.0,None,29.0,27.32884658064516,817.0,Reactor,Soil,30.386640963858373,LB Culture,1.0,Green waste,35.0,0.9140465387911534,Intermittent ,3.84097497786348,0.314,7.0,41.10530497153869,58.0,1.4280600332415827,58.70084318406094,111.009907,7.791371977976055,0.4524005949497223,0.1458519151370777,24.50109228610189
Microbiological agent,None,Green waste,57.0,None,24.0,27.32884658064516,0.0,Windrow,Sawdust,0.0,Ferric salt,0.0,Green waste,0.0,0.0,None,3.0908292878323342,0.314,5.0,35.0,52.0,1.4280600332415827,10.21199941312312,110.78122900000004,6.565161149340946,0.6026590466499329,0.1470631918324529,1000000.0
Zeolite,None,Byproduct,55.0,None,9.0,27.32884658064516,0.0,Windrow,Woody peat,0.0,Zeolite,1.0,Green waste,10.0,0.3788579938810095,Continuous,2.6676313770323645,0.314,6.0,33.0,118.0,1.4280600332415827,55.558532717276606,106.535118,7.029125654834664,0.5607994198799133,0.2038754587257259,1000000.0
Microbiological agent,None,Mature compost,58.0,None,6.0,27.32884658064516,980.0,Windrow,Straw,46.97284134718742,Lime,1.0,Green waste,3.0,0.1615995262515592,Intermittent ,3.23930547146359,0.314,5.0,33.0,59.0,1.4280600332415827,10.788559023237102,111.022364,10.7411695609799,0.6870220303535461,0.1289650215884001,1000000.0
Biochar,None,Straw,51.90432828116663,None,14.0,27.32884658064516,0.0,Reactor,Soil,0.0,Forsterite,1.0,Green waste,26.0,2.1027652080185266,Continuous,2.3067301111240983,0.314,7.0,33.0,72.0,1.4280600332415827,40.879299283476776,108.378987,6.830366797124539,0.5612647533416748,0.2485217745058308,1000000.0
DCD,None,Byproduct,66.0,None,4.0,27.32884658064516,674.0,Windrow,Green Waste,48.91952931540841,Zeolite,0.0,Green waste,3.0,1.9293951936898397,Intermittent ,3.788707034166703,0.314,5.0,40.26623274613864,17.0,1.4280600332415827,57.50259767396405,110.28394800000004,10.105974154887864,0.8701989054679871,0.1622279889530817,24.67246744992879
Mg(OH)₂,None,Mature compost,60.0,None,3.0,27.32884658064516,229.0,Trough,Green Waste,48.43655540497623,MgO,1.0,Green waste,31.0,0.4355096418267663,Intermittent ,2.6579008764379437,0.314,6.0,36.0,127.0,1.4280600332415827,11.30988823942279,108.45725899999998,8.362581024454238,0.7943929433822632,0.1923977193480126,1000000.0
Inorganic acid,None,Byproduct,73.53749107795593,None,28.0,27.32884658064516,0.0,Trough,Soil,0.0,MgHPO₄,1.0,Green waste,0.0,0.0,None,4.946495418984667,0.314,5.0,36.0,19.0,1.4280600332415827,32.682821776290254,109.50854300000005,8.105641241545316,0.6602253317832947,0.2253596664005122,1000000.0
Inorganic acid,None,Straw,76.45733988563889,None,0.0,27.32884658064516,211.0,Reactor,Green waste,18.45811084849897,MgO,1.0,Green waste,41.0,1.588934556583533,Intermittent ,4.816330202174302,0.314,6.0,40.41750274792288,50.0,1.4280600332415827,57.71862031774051,107.97839600000002,6.262383652274541,0.8842833638191223,0.1859191627535765,20.393808950106205
