Additive_3,Additive_4,Material_3,V4_Ventilation Day,Initial GI (%),Material_Main,V3_Ventilation Duration (min), Composting Method,Compost volume (m3),M1_is Enclosed,Turning times,Period (d),Initial Moisture Content (%),Application Rate (%DW),Initial pH,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Material_2,V2_Ventilation Interval (min),Additive_1,Initial C/N (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,None,Mature compost,23.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,0.0,15.0,32.0,64.0,3.4639348584464456,10.321152321833464,Continuous,0.4693246776275461,Biochar,None,0.0,Potassium phosphate,41.5535321632676,2.1457865217391303,89.16500924659306,108.57642200000004,8.42133871289731,0.1182060614228248,0.2037954487449053,29.21389586063351
None,None,Green waste,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,11.0,76.0,79.26520714425128,8.936403909841179,8.87772250028913,None,0.0,Ca-superphosphate,Soil,0.0,Sulfur,23.0,2.1457865217391303,63.57613776052514,107.16429200000005,10.448240939646528,0.8163809180259705,0.221340565460404,1000000.0
None,None,Green waste,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,2.0,17.0,70.71262541792326,7.54489406635657,10.794715919418437,None,0.0,DCD,Soil,0.0,Urea,16.0,2.1457865217391303,51.62531510665542,108.28861000000003,7.359034025902891,0.9576409459114076,0.180078985389634,1000000.0
None,None,Mature compost,0.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,17.0,47.0,68.0,4.743347797197552,10.31964701754423,None,0.0,Calcium magnesium phosphate fertilizer,Plastic tube pieces,0.0,Sand,37.0,2.1457865217391303,50.99905510748834,108.52827800000004,10.029683952339951,0.1873388439416885,0.1976393148477604,1000000.0
None,None,Mature compost,6.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,0.0,30.0,34.0,50.0,7.748200547657296,7.0,Continuous,1.7442044334592746,Ca-superphosphate,Green waste,0.0,Urea,32.0,2.1457865217391303,70.24283569987193,108.51328000000004,9.982893762283574,0.3842997550964355,0.2255480722429598,1000000.0
None,None,None,8.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,20.0,85.0,58.0,6.382270632601923,11.176593268043517,Continuous,1.7470410177727342,DCD,Byproduct,0.0,Sand,31.0,2.1457865217391303,37.06501583576301,109.53596000000005,9.387893418267929,0.5814085006713867,0.2190729503781976,1000000.0
None,None,Green waste,4.0,27.701281739602518,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,23.0,66.0,80.07480468697715,9.861571470635882,10.992702418032618,Continuous,1.7347437887525057,Organic acid,Straw,0.0,Zeolite,24.0,2.1457865217391303,79.64779170681825,103.56469900000002,9.896190430117494,0.2890788614749908,0.1877710911852377,1000000.0
None,None,Mature compost,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,19.0,71.0,52.0,9.455102354493228,8.0,None,0.0,Gypsum,Woody peat,0.0,Urea,17.0,2.1457865217391303,43.29546198625674,107.53049400000005,11.37655920041224,0.3887434601783752,0.201784570300204,1000000.0
None,None,Straw,22.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,28.0,69.0,74.91271077985607,6.845654971035298,11.897327243712173,Continuous,1.4374294940799877,Gypsum,Green waste,0.0,Zeolite,22.0,2.1457865217391303,28.800654222280517,106.95089000000004,9.057385774801824,0.5474828481674194,0.1831417370508517,1000000.0
None,None,Green waste,0.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,21.0,111.0,52.0,2.912732822580716,5.0,None,0.0,Biochar,None,0.0,Sulfur,23.0,2.1457865217391303,65.87226927410329,108.49548500000004,10.02561889016272,0.1122673451900482,0.2440779143397929,1000000.0
None,None,Straw,25.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,1.0,30.0,49.0,53.0,7.235500837676263,6.0,Continuous,0.1195154839476635,Biochar,Byproduct,0.0,Sand,15.0,2.1457865217391303,25.46885454036139,108.43318500000004,5.6684348779233344,0.3655303120613098,0.2027222419535462,1000000.0
None,None,Green waste,0.0,27.328846580645163,Sewage sludge,0.0,Windrow,4.210797122302158,1.0,10.0,81.0,64.0,9.148346757386488,11.880068799976376,None,0.0,Biochar,Byproduct,0.0,Sodium phosphates,18.0,2.1457865217391303,31.633060672676255,108.49548500000004,6.942624360123507,0.4754809737205505,0.2534114063885691,1000000.0
None,None,Mature compost,22.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,11.0,121.0,60.0,2.330711709497572,5.0,Continuous,1.2368756234101357,Biochar,Soil,0.0,Phosphogypsum,37.0,2.1457865217391303,65.90970002983775,106.59612600000004,7.895046633060958,0.140131264925003,0.2139187744597833,1000000.0
None,None,Byproduct,0.0,27.328846580645163,Sewage sludge,0.0,Windrow,4.210797122302158,1.0,12.0,59.0,60.0,7.104498805054439,9.621441156736314,None,0.0,Biochar,Byproduct,0.0,Sodium phosphates,38.0,2.1457865217391303,32.919055447435,108.49548500000004,8.74182977998261,0.4559479057788849,0.2297677790148014,1000000.0
None,None,Byproduct,32.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,21.0,97.0,54.0,6.731500973829347,9.45920542586154,Continuous,0.932517329403779,Biochar,Husk,0.0,Urea,14.0,2.1457865217391303,29.77112725214323,109.04240400000003,6.965375684774718,0.0672189518809318,0.1787176311979358,1000000.0
None,None,None,65.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,10.0,95.0,64.0,5.36478194353209,7.0,Continuous,1.1309676042611214,Gypsum,Green waste,0.0,Zeolite,29.0,2.1457865217391303,15.327571213728952,104.90457400000004,9.893384905777664,1.2574992179870603,0.1802235184109081,1000000.0
None,None,Byproduct,28.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,23.0,88.0,54.0,8.232303915489181,10.028552942240776,Continuous,0.712119374908623,DCD,Plastic tube pieces,0.0,Sulfur,18.0,2.1457865217391303,74.23148488640425,109.00301600000004,11.619702081386146,0.2757899165153503,0.196762952489969,1000000.0
None,None,Green waste,0.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,7.0,119.0,80.91411372828118,8.025371440403156,8.356066289341545,None,1.0542937519693318,Ca-superphosphate,Green Waste,0.0,Urea,40.62729849645708,2.1457865217391303,87.17750952837004,108.59830000000004,9.206892734669882,1.169905424118042,0.2237961393983762,22.971549323587595
None,None,Mature compost,0.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,16.0,74.0,82.24393286801467,6.194155103256945,8.373318669849635,None,0.0,Biochar,Green Waste,0.0,Urea,31.0,2.1457865217391303,11.379794522989664,108.49548500000004,9.50291529164978,0.4682426750659942,0.2430972377803547,1000000.0
