Initial C/N (%),V1_Ventilation Type,Additive_4,Initial Moisture Content (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial GI (%), Composting Method,V3_Ventilation Duration (min),M1_is Enclosed,Additive_3,Application Rate (%DW),Initial pH,Additive_1,Additive_2,V2_Ventilation Interval (min),V4_Ventilation Day,Material_Main,Compost volume (m3),Period (d),Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
15.0,Intermittent ,None,68.0,2.0,0.2133552627451427,Byproduct,27.32884658064516,Reactor,6.356711924231773,1.0,None,8.44148674862497,8.0,Phosphogypsum,MgO,767.0,3.0,Sheep manure,0.045,108.0,Byproduct,1.97,70.82175997219707,112.70081200000004,7.093693774499752,1.000056505203247,0.1436752420656264,1000000.0
40.0,None,None,70.02967863296024,18.0,0.0,Poultry manure,27.32884658064516,Reactor,0.0,1.0,None,4.780386236820566,7.0,Sodium phosphates,Biochar,0.0,0.0,Sheep manure,0.045,66.0,Green waste,1.97,75.80389454097508,107.545158,7.838200782360837,0.2236140519380569,0.216087804828874,1000000.0
11.0,Intermittent ,None,81.14263966972918,11.0,0.6614459857569257,Byproduct,27.32884658064516,Trough,14.716380302438958,0.0,None,4.732341139763607,7.0,Mature compost,Organic acid,230.0,5.0,Sheep manure,0.045,45.0,Soil,1.97,78.24709520458411,109.87095500000004,7.1799952068139685,0.9920374751091005,0.1749825040578304,1000000.0
18.0,Intermittent ,None,72.55850366565525,8.0,1.3870953161073474,Byproduct,27.32884658064516,Reactor,38.078816397886456,1.0,None,2.7177532858549807,8.0,Biochar,Zeolite,988.0,5.0,Sheep manure,0.045,82.0,Green Waste,1.97,40.45198931261585,110.04171900000004,7.1799952068139685,0.9920374751091005,0.191748553639575,1000000.0
31.0,Intermittent ,None,61.0,31.0,0.8714221015040513,Green waste,27.32884658064516,Trough,43.46153370760256,0.0,None,6.262134112683336,6.0,MgO,Ca-superphosphate,850.0,3.0,Sheep manure,0.045,111.0,None,1.97,38.712686542974666,113.67716,7.161046634690967,0.9920374751091005,0.150050221755472,1000000.0
24.0,Intermittent ,None,59.0,17.0,0.1474394590765577,Byproduct,27.32884658064516,Trough,17.27249266689663,1.0,None,6.772404645396567,7.0,Sodium salt,Organic acid,830.0,2.0,Sheep manure,0.045,89.0,Byproduct,1.97,11.708446273577469,111.43697500000002,7.4550811475959184,0.674423336982727,0.1270960342147588,1000000.0
12.0,Intermittent ,None,65.0,2.0,1.8815909876563384,Straw,27.32884658064516,Windrow,44.03578235559727,0.0,None,3.587943558538721,8.0,MgO,Organic acid,192.0,2.0,Sheep manure,0.045,73.0,Woody peat,1.97,30.076579906367805,111.28664000000003,6.861083904704724,0.6637909412384033,0.1771436705121659,1000000.0
28.0,None,None,60.0,10.0,0.0,None,27.32884658064516,Trough,0.0,0.0,None,8.798974448299806,5.0,Potassium phosphate,Biochar,0.0,0.0,Sheep manure,0.045,104.0,Woody peat,1.97,13.46255125732964,107.992818,6.700548676446442,0.2236140519380569,0.1353554879132742,1000000.0
17.0,Intermittent ,None,82.62086751668622,6.0,1.7887798285864966,Poultry manure,27.328846580645163,Windrow,51.58203659057756,0.0,None,5.638384309265054,8.9699777071325,Forsterite,Ca-superphosphate,901.0,3.0,Sheep manure,0.045,132.0,Soil,1.97,34.06805934672951,112.61910100000004,7.161046634690967,0.9920374751091005,0.173348777332083,1000000.0
38.0,Intermittent ,None,74.49495775124177,8.0,0.8894393286285074,Poultry manure,27.32884658064516,Windrow,51.51454342524256,1.0,None,4.052095324310769,8.060027007406081,Microbiological agent,Calcium magnesium phosphate fertilizer,822.0,1.0,Sheep manure,0.045,46.0,Sawdust,1.97,46.27444586010938,111.01747500000002,7.696736229564326,0.6664039492607117,0.179469200637322,1000000.0
40.0,Intermittent ,None,55.0,19.0,1.4902499085074603,None,27.32884658064516,Trough,42.80329558612784,0.0,None,3.467324100905313,8.0,Sand,MgSO₄,403.0,5.0,Sheep manure,0.045,120.0,Byproduct,1.97,43.90726991449129,109.89050200000004,7.093693774499752,1.000056505203247,0.1539118707855017,1000000.0
