Additive_3,V4_Ventilation Day,Additive_4,Initial C/N (%),Additive_2,Application Rate (%DW),M1_is Enclosed,Turning times,Initial GI (%),Material_3,Initial Moisture Content (%),Compost volume (m3),Period (d),V2_Ventilation Interval (min),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Additive_1, Composting Method,Material_Main,Material_2,Initial pH,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,None,19.0,None,7.082103954178874,1.0,4.0,27.32884658064516,Byproduct,59.0,0.15181,94.0,0.0,0.0,0.0,None,Reactor,OFMSW,Byproduct,10.688329508441488,None,1.411,20.34308538722382,103.30905600000004,4.726859462766296,0.2292119264602661,0.2183207370313512,1000000.0
None,0.0,None,34.0,Inorganic acid,8.22648591593055,1.0,3.0,27.32884658064516,Poultry manure,82.36581912262491,0.15181,73.0,0.0,0.0,0.0,Zeolite,Trough,OFMSW,None,9.7372206425446,None,1.411,33.344658367966126,103.41593700000004,7.544864917375314,0.2273177206516266,0.1831240731758,1000000.0
None,0.0,None,14.0,Organic acid,2.695933228497978,0.0,1.0,27.32884658064516,Byproduct,75.550097897099,0.15181,91.0,0.0,0.0,0.0,Mg(OH)₂,Windrow,OFMSW,Green Waste,6.0,None,1.411,52.36422336572496,104.56579600000003,7.00917532250195,0.0275827124714851,0.1201731063504059,1000000.0
None,0.0,None,10.0,Potassium phosphate,2.4631121849000963,1.0,3.0,27.32884658064516,Mature compost,70.43820516535229,0.15181,83.0,0.0,0.0,0.0,Sulfur,Reactor,OFMSW,Husk,5.56650611643802,None,1.411,42.37992005709796,103.30905600000004,4.726859462766296,0.169896051287651,0.1627874488381062,1000000.0
None,0.0,None,31.0,Organic acid,8.051651298642332,0.0,6.0,27.32884658064516,Straw,59.0,0.15181,129.0,0.0,0.0,0.0,Gypsum,Trough,OFMSW,Byproduct,8.0,None,1.411,37.915737388968246,101.53068500000003,7.661256868249041,0.0140554197132587,0.1795830247503354,1000000.0
None,0.0,None,41.91182873680013,Microbiological agent,7.935609674242244,0.0,2.0,27.328846580645163,Straw,70.22467631609015,0.15181,126.0,0.0,0.0,0.0,Microbiological agent,Trough,OFMSW,Green waste,10.958496898863672,None,1.411,58.69293921633805,103.46189700000004,7.544864917375314,0.2961196005344391,0.1630232799026602,1000000.0
None,0.0,None,22.0,Calcium magnesium phosphate fertilizer,2.0170292411452726,0.0,6.0,27.328846580645163,Byproduct,71.90939044178191,0.15181,67.0,0.0,0.0,0.0,Sand,Trough,OFMSW,Green Waste,10.922558886733306,None,1.411,28.67437701639429,101.49413200000004,7.457189119729557,0.1473387330770492,0.1741330830152086,1000000.0
None,0.0,None,10.0,Zeolite,4.638379719041155,0.0,4.0,27.32884658064516,Straw,55.0,0.15181,45.0,0.0,0.0,0.0,Inorganic acid,Windrow,OFMSW,Plastic tube pieces,8.28944673203394,None,1.411,53.52968016660801,105.09425500000005,7.369115856952888,0.1040103584527969,0.1340767293443976,1000000.0
None,0.0,None,19.0,DCD,2.0897630933313485,1.0,0.0,27.32884658064516,Byproduct,70.0,0.15181,62.0,0.0,0.0,0.0,Potassium phosphate,Reactor,OFMSW,Byproduct,5.0,None,1.411,12.048026986457822,103.35501600000003,4.804795855732023,0.4420161247253418,0.1814832382667765,1000000.0
None,0.0,None,27.0,Inorganic acid,8.332280198638713,1.0,4.0,27.32884658064516,Straw,55.0,0.15181,36.0,0.0,0.0,0.0,Sulfur,Windrow,OFMSW,None,10.587669810898806,None,1.411,47.976288483669535,105.29550600000005,7.17952251208299,0.2560704350471496,0.1688720827515206,1000000.0
None,0.0,None,28.0,Calcium magnesium phosphate fertilizer,4.265402079972187,1.0,0.0,29.13692809718679,Straw,63.0,0.15181,58.0,0.0,0.0,0.0,Microbiological agent,Reactor,OFMSW,None,11.15449840572204,None,1.411,7.429678845844267,103.71678600000004,4.804795855732023,0.3086227178573608,0.1803249649429174,1000000.0
None,0.0,None,27.0,MgSO₄,9.91454175956955,0.0,5.0,27.32884658064516,Poultry manure,63.0,0.15181,89.0,0.0,0.0,0.0,Sulfur,Windrow,OFMSW,Green waste,11.092734048874744,None,1.411,40.15415837052409,105.29550600000005,7.00917532250195,0.2271240800619125,0.1624129931472021,1000000.0
None,0.0,None,33.0,Gypsum,8.975538820069447,0.0,5.0,27.32884658064516,Straw,80.98789332067673,0.15181,76.0,0.0,0.0,0.0,MgCl₂,Windrow,OFMSW,Soil,9.969946638058524,None,1.411,34.14700648584426,101.64331300000002,7.00917532250195,0.1393856704235077,0.1537375419205425,1000000.0
