Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Initial GI (%),Initial C/N (%),Initial Moisture Content (%),Final GI (%)
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,0.0,6.0,0.22,6.89715,37.9571,16.0,60.0,57.1649
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,0.0,6.0,0.44,6.92168,33.0769,19.0,60.0,82.0
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,0.0,6.0,0.66,6.972,42.7711,22.0,60.0,87.0482
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,0.0,6.0,0.22,7.13502,41.0061,19.0,65.0,81.0978
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,0.0,6.0,0.44,7.19013,38.1538,22.0,65.0,86.9231
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,0.0,6.0,0.66,7.13502,42.0181,16.0,65.0,66.8675
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,0.0,4.0,0.22,8.17965,43.1405,22.0,70.0,73.0185
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,0.0,4.0,0.44,8.17965,36.0,16.0,70.0,58.9231
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,0.0,4.0,0.66,8.22492,45.0301,19.0,70.0,82.0783
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,25.0,0.0,0.24,6.89838,37.7432,14.5,65.0,62.2568
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,25.0,0.0,0.48,7.06079,33.8521,18.09524,65.0,90.856
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,25.0,0.0,0.72,6.89838,43.9689,20.73684,65.0,83.6576
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,25.0,0.0,0.24,7.06079,40.6615,18.09524,70.0,81.5175
