Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),Final GI (%)
5,1.5,0,0,2,21.0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,15,0.35036,89.0959
5,1.5,0,0,2,21.0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,15,0.35036,94.5756
5,1.5,0,0,2,21.0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,15,0.35036,89.1513
5,1.5,0,0,2,21.0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,15,0.35036,85.941
5,1.5,0,0,2,21.0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,15,0.35036,86.2731
5,1.5,0,0,2,21.0,0.0,0.0,3.0,0,2.0,0.0,60.0,26.03,1.696,0,44.14688,15,0.35036,84.059
8,3.5,0,0,1,70.0,0.0,0.0,0.0,5,0.844,0.0,65.7,14.60538,2.2,0,38.42229,0,0.63233,116.483
8,3.5,0,1,1,70.0,0.0,0.0,0.0,5,0.844,0.0,65.7,14.60538,2.2,0,38.42229,0,0.63233,94.5508
8,7.0,0,0,1,70.0,0.0,0.0,0.0,5,11.85,0.0,65.7,20.44404,2.2,0,38.17037,0,0.66328,118.588
8,7.0,0,1,1,70.0,0.0,0.0,0.0,5,11.85,0.0,65.7,20.44404,2.2,0,38.17037,0,0.66328,97.0069
8,0.0,0,0,1,70.0,0.0,0.0,0.0,5,0.452,0.0,65.7,15.582,2.2,0,39.31572,0,0.63233,54.0264
8,0.0,0,1,1,70.0,0.0,0.0,0.0,5,0.452,0.0,65.7,15.582,2.2,0,39.31572,0,0.63233,60.1649
8,7.0,0,0,1,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,85.2
8,7.0,0,1,1,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,80.6
8,14.0,0,0,1,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,73.5
8,14.0,0,1,1,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,70.5
8,0.0,0,0,1,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,67.4
8,0.0,0,1,1,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,65.6
6,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.2,72.1,11.37,2.68,0,30.45,0,0.667,97.4
8,8.0,0,1,0,56.0,0.0,0.0,0.0,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,0,0.475,121.3
8,8.0,0,1,0,56.0,0.0,0.0,3.3,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,102.0
8,8.0,0,1,0,56.0,0.0,0.0,6.6,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,112.2
