Material_3,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),M1_is Enclosed,Period (d),Material_2,Additive_1,Additive_3, Composting Method,V3_Ventilation Duration (min),Compost volume (m3),Turning times,Initial Moisture Content (%),Initial GI (%),V2_Ventilation Interval (min),Additive_4,V4_Ventilation Day,Material_Main,Additive_2,Application Rate (%DW),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2.0,2,0,39.0,1.0,76.0,5.0,36.0,4,1.0,0,0.05513157894736841,9.0,60.32604912940313,27.32884658064516,0,1,0,3,3.0,6.397877201744162,7.0,1.938857678018576,75.61544944272447,93.44975500000005,8.5686456364099,0.12409672141075134,0.18491576776509108,1000000.0
9.0,2,0,22.54030443570977,1.0,89.0,4.0,35.0,4,2.0,0,0.05513157894736841,5.0,66.64968267861616,27.32884658064516,0,1,0,3,5.0,5.040067737267942,6.0,1.938857678018576,43.70244232005206,94.25459300000004,10.676609760001448,0.5394441485404968,0.19839546132456615,12.04700353126439
4.0,2,0,33.96452354104031,1.0,14.0,14.0,4.0,4,2.0,0,0.05513157894736841,3.0,65.0,27.32884658064516,0,1,0,3,2.0,6.66254408314154,7.0,1.938857678018576,65.85237724778867,95.34377100000003,8.478918865824749,1.4309676885604858,0.19079912578403163,26.43440418468608
0.0,2,0,30.61696960871458,1.0,88.0,8.0,2.0,4,2.0,0,0.05513157894736841,3.0,58.60426977809928,27.32884658064516,0,1,0,3,2.0,8.681920426581879,5.0,1.938857678018576,59.36194660351766,95.12114600000002,7.664931312516597,0.4030662178993225,0.1846671144097289,16.469016499346292
2.0,2,0,24.45636284263146,1.0,17.0,4.0,6.0,4,1.0,0,0.05513157894736841,13.0,52.0,27.32884658064516,0,1,0,3,5.0,9.379772072324908,6.1956445727452065,1.938857678018576,47.417406873844214,94.59021100000004,5.1185779966760325,0.36597776412963867,0.16017968516170797,25.631734731084023
0.0,2,0,36.280255881517654,1.0,115.0,13.0,2.0,4,0.0,0,0.05513157894736841,31.0,63.0,27.32884658064516,0,1,0,3,1.0,8.988773111474508,6.058031660194247,1.938857678018576,70.34225267635911,95.06984100000001,8.113844919422794,0.3873763680458069,0.17379383300689746,18.301035411846982
5.0,2,0,12.51818745363451,1.0,15.0,13.0,14.0,4,0.0,0,0.05513157894736841,10.0,63.0,27.32884658064516,0,1,0,3,5.0,4.511168844953879,5.0,1.938857678018576,24.270983859355077,94.20245600000004,8.674975167798085,1.0225242376327515,0.1435418099651641,29.58887650845946
9.0,2,0,20.09784455537668,1.0,94.0,6.0,2.0,4,0.0,0,0.05513157894736841,5.0,62.68993418044984,27.32884658064516,0,1,0,3,1.0,4.402361131982474,5.4845729831347745,1.938857678018576,38.96686022781591,96.66407000000005,7.999548577157045,1.4587405920028687,0.24641816070011086,12.924630038460785
3.0,2,0,11.763465131823263,1.0,81.0,14.0,4.0,4,2.0,0,0.05513157894736841,8.0,63.0,27.32884658064516,0,1,0,3,3.0,2.4093754518705905,6.0,1.938857678018576,22.807684690939336,96.06780100000006,7.887335544976429,1.029091715812683,0.1086883743464585,22.825456101339917
2.0,2,0,32.30178165222923,1.0,43.0,6.0,30.0,4,0.0,0,0.05513157894736841,13.0,65.0,27.32884658064516,0,1,0,3,8.0,8.826293141254132,6.745161221328045,1.938857678018576,62.62855737010421,94.04992100000003,8.5686456364099,0.1202339231967926,0.16967857047980586,24.805959165249515
4.0,2,0,15.546378249440789,1.0,71.0,2.0,21.0,4,2.0,0,0.05513157894736841,10.0,61.59004527553873,27.32884658064516,0,1,0,3,8.0,8.886335933580938,7.0,1.938857678018576,30.14221483430926,94.77589900000002,8.147214891873904,0.3745412230491638,0.13189360290798943,22.832285656387576
9.0,2,0,36.0,1.0,64.0,4.0,2.0,4,0.0,0,0.05513157894736841,17.0,52.0,27.32884658064516,0,1,0,3,7.0,3.5095632375384818,5.329427063672842,1.938857678018576,69.79887640866873,94.31432400000001,5.484853639818018,0.7375226020812988,0.20692759262535482,1000000.0
2.0,2,0,27.0,1.0,33.0,5.0,2.0,4,0.0,0,0.05513157894736841,7.0,56.87489254547631,27.32884658064516,0,1,0,3,6.0,2.5543325288355083,7.375133639134204,1.938857678018576,52.34915730650155,96.20875100000005,7.715800432339531,0.8289617896080017,0.23180773434237867,1000000.0
9.0,2,0,10.414479583362382,1.0,98.0,5.0,17.0,4,1.0,0,0.05513157894736841,6.0,68.0,27.32884658064516,0,1,0,3,3.0,2.5003776914320506,7.633994972932312,1.938857678018576,20.192193702769856,94.21414500000004,7.960246721569343,0.7166401743888855,0.19782341787984314,19.62895753626224
9.0,2,0,23.891774844898883,1.0,76.0,5.0,36.0,4,0.0,0,0.05513157894736841,15.0,61.0,27.32884658064516,0,1,0,3,0.0,2.339007769397101,6.0,1.938857678018576,46.32275109952327,94.49136400000002,10.299426568727368,1.398380160331726,0.18998423245066998,18.99793521020373
