Material_3,Initial pH, Composting Method,V3_Ventilation Duration (min),Additive_2,M1_is Enclosed,Additive_1,V2_Ventilation Interval (min),Compost volume (m3),Initial GI (%),Material_Main,Initial C/N (%),V4_Ventilation Day,V1_Ventilation Type,Turning times,V5_Ventilation rate (L/min/kg iniDW),Additive_3,Period (d),Application Rate (%DW),Material_2,Initial Moisture Content (%),Additive_4,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
3.0,6.253889283828751,0.0,0.0,12.0,1.0,14.0,0,0.15181,27.32884658064516,6,38.23051158692045,22.0,0,18.0,0.8426202270308298,4,22.0,4.671982582716685,0.0,57.83490543186106,1,1.411,53.94325184914476,109.93104100000006,10.101495819895355,0.769404947757721,0.23342076634463163,26.611699884896368
2.0,5.97237189697299,2.0,0.0,3.0,1.0,34.0,0,0.15181,27.32884658064516,6,33.01495731956682,38.0,0,27.0,0.12635991619016962,4,59.0,9.008253859007231,6.0,68.0,1,1.411,46.584104777908784,111.23569300000004,6.822222184236831,0.43157094717025757,0.17664705411999596,24.7381044789191
0.0,6.0,0.0,0.0,1.0,1.0,28.0,0,0.15181,27.32884658064516,6,18.0,25.0,0,21.0,1.6514253904491838,4,43.0,8.678856338463603,2.0,62.0,1,1.411,25.398,110.38802200000005,9.927973798913163,0.38279470801353455,0.20706155987770625,1000000.0
3.0,5.8071144709943034,0.0,0.0,1.0,1.0,37.0,0,0.15181,27.32884658064516,6,17.0,22.0,0,15.0,0.8470847650252862,4,26.0,6.255622640905707,2.0,55.262644951446305,1,1.411,23.987000000000002,110.09536100000007,10.7269021714132,0.7455667853355408,0.18475977052992174,1000000.0
4.0,7.0,2.0,0.0,9.0,0.0,22.0,0,0.15181,27.32884658064516,6,33.35225569096286,68.0,0,9.0,0.7211784222438109,4,70.0,9.046687251477561,6.0,67.0,1,1.411,47.0600327799486,110.88370300000005,8.363553783278183,0.4872797727584839,0.1606565036431436,28.75490837504254
4.0,8.0,1.0,0.0,12.0,0.0,7.0,0,0.15181,27.328846580645163,6,23.0,56.0,0,1.0,0.7418535388332701,4,110.0,8.956775657001788,0.0,55.119951052639294,1,1.411,32.453,110.64851000000006,7.452886656292782,0.7258906960487366,0.17327620873543792,1000000.0
4.0,6.478020364634684,1.0,0.0,3.0,1.0,20.0,0,0.15181,27.32884658064516,6,20.635197595321888,19.0,0,1.0,1.531944274572616,4,59.0,9.734716529574358,0.0,59.0,1,1.411,29.116263806999186,110.82949300000004,8.579182640148616,0.8654946088790894,0.22484186585688887,20.725268773971287
3.0,7.043070768800264,0.0,0.0,6.0,1.0,25.0,0,0.15181,27.32884658064516,6,33.346661366776054,42.0,0,29.0,1.4099561400167082,4,64.0,9.059285313581574,5.0,66.0,1,1.411,47.05213918852101,110.70535500000004,8.2446095849097,0.6156038641929626,0.2277692269123935,23.879562797776494
5.0,5.0,2.0,0.0,1.0,1.0,15.0,0,0.15181,27.32884658064516,6,31.468834727331064,60.0,0,0.0,1.392418530080692,4,97.0,2.6652485073911847,6.0,52.0,1,1.411,44.40252580026413,110.12057800000004,9.251168284841217,0.7279725074768066,0.18924915043431623,25.519078964837906
2.0,6.0,2.0,0.0,9.0,1.0,10.0,0,0.15181,27.32884658064516,6,13.0,54.0,0,22.0,0.7506386057756742,4,98.0,9.80224564994177,5.0,63.78945110707488,1,1.411,18.343,110.74719000000005,7.687698282506265,0.4261370599269867,0.14715631953507366,1000000.0
0.0,6.0,0.0,0.0,15.0,1.0,31.0,0,0.15181,27.32884658064516,6,12.431386727328531,43.0,0,4.0,0.9441719250725911,4,75.0,9.259298707365216,0.0,65.45888044436909,1,1.411,17.54068667226056,110.48701200000005,8.556430923880946,0.2999352514743805,0.17383390556207756,21.70175039387697
3.0,6.0,2.0,0.0,10.0,1.0,25.0,0,0.15181,27.32884658064516,6,20.035281767625833,76.0,0,30.0,0.16803212726801497,4,122.0,6.894295814812709,6.0,53.0,1,1.411,28.26978257412005,110.69559300000004,6.62459374438272,0.37071913480758667,0.19036855275674852,27.589427690517148
5.0,6.18153510076048,0.0,0.0,10.0,1.0,6.0,0,0.15181,27.32884658064516,6,38.446394218150424,58.0,0,20.0,0.6193200591185346,4,99.0,6.857317048729798,6.0,61.0,1,1.411,54.247862241810246,110.56440300000004,8.680851333008178,0.3621569573879242,0.21402648241052605,22.78574760300795
5.0,7.0,0.0,0.0,2.0,1.0,13.0,0,0.15181,27.32884658064516,6,22.684685161776333,52.0,0,18.0,1.25489995510127,4,94.0,4.983285110498997,4.0,64.0,1,1.411,32.00809076326641,109.73688600000006,9.823762758488536,0.5599428415298462,0.2146475769405564,25.332568986010255
0.0,8.0,0.0,0.0,2.0,1.0,13.0,0,0.15181,27.32884658064516,6,23.0,58.0,0,3.0,0.4590075943071166,4,102.0,7.839092529230529,5.0,58.81019135072495,1,1.411,32.453,109.83484200000004,7.810806318842383,0.343923956155777,0.2021691737210183,1000000.0
3.0,5.496426515392418,2.0,0.0,1.0,0.0,15.0,0,0.15181,27.32884658064516,6,16.007270094673984,37.0,0,27.0,1.9944872130693112,4,48.0,8.9119984771439,6.0,58.0,1,1.411,22.586258103584992,111.05409300000005,1000000.0,1000000.0,1000000.0,1000000.0
