Material_Main,V3_Ventilation Duration (min),Additive_4,Initial pH,V2_Ventilation Interval (min),M1_is Enclosed,Turning times,Compost volume (m3),Material_3,Application Rate (%DW),Additive_1,Material_2,V4_Ventilation Day,Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW), Composting Method,Initial GI (%),Period (d),Additive_3,Initial C/N (%),Additive_2,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2,7.117195777720518,1,7.0,1258.0,0.0,28.0,0.06,3.0,5.930588478770213,15.0,0.0,40.0,54.035545389465156,0.3710537145002093,2.0,27.32884658064516,109.0,4,19.0,12.0,1,1.775,33.725,97.49493299999996,8.058326934174021,0.8248072862625122,0.13957147153847985,1000000.0
2,7.558142542290824,1,7.627801988337541,590.0,1.0,23.0,0.06,3.0,2.498064657870666,28.0,0.0,43.0,64.54328977544795,0.21448652402357204,0.0,27.32884658064516,118.0,4,21.064502863508366,9.0,1,1.775,37.38949258272735,96.74932199999999,8.05079073372788,0.7351015210151672,0.14308298986468673,24.9644060487655
2,6.21622872218877,1,8.0,1236.0,0.0,11.0,0.06,3.0,9.900845824258328,37.0,5.0,13.0,65.49320989759175,0.7557065254301405,1.0,27.32884658064516,16.0,4,10.889838912823173,10.0,1,1.775,19.329464070261132,98.93578599999996,7.455519909296504,0.563275158405304,0.1361812916416791,28.03509122472305
2,2.3285642167342036,1,5.034081332952648,179.0,1.0,4.0,0.06,4.0,9.188327908853026,12.0,0.0,9.0,52.0,0.36222559939866783,1.0,27.32884658064516,15.0,4,37.54150347493458,15.0,1,1.775,66.63616866800888,98.528566,6.489775615987314,0.47772109508514404,0.16414277781873957,24.942742941307497
2,2.528064949819877,1,7.0,423.0,0.0,2.0,0.06,9.0,5.114783176366748,7.0,12.0,46.0,52.0,0.5988174041465795,1.0,27.32884658064516,130.0,4,21.425334300872763,6.0,1,1.775,38.02996838404915,95.90155799999998,10.106518139476414,0.603401780128479,0.16764770673840995,22.612620028937304
2,1.592505496689045,1,7.956223904958504,353.0,1.0,19.0,0.06,5.0,4.828305205105747,36.0,0.0,27.0,68.0,1.6394764942417095,2.0,27.32884658064516,34.0,4,28.39900269725778,5.0,1,1.775,50.40822978763256,97.03935699999998,10.631837100899192,0.9930971264839172,0.18245631332374163,25.148844328907508
2,5.330343683697367,1,6.0,830.0,1.0,17.0,0.06,3.0,9.938903907477652,30.0,12.0,15.0,61.55737480135065,1.9775909982203568,2.0,27.32884658064516,25.0,4,38.104806931235984,5.0,1,1.775,67.63603230294387,98.79072599999998,7.560095549340368,0.8121027946472168,0.16959625843850318,26.557726563454807
2,1.1913313305271833,1,6.0,155.0,0.0,19.0,0.06,3.0,9.33170558010433,4.0,13.0,67.0,62.49673111811492,0.8150625871884389,1.0,27.32884658064516,80.0,4,16.61551001665295,15.0,1,1.775,29.492530279558988,98.96710099999997,9.288975627273159,0.5391064882278442,0.12396629531512302,28.969289322107706
2,4.154256808722197,1,5.0,204.0,0.0,4.0,0.06,3.0,8.637802651561657,22.0,13.0,34.0,62.0,1.8587363486439976,2.0,27.32884658064516,36.0,4,20.0,9.0,1,1.775,35.5,98.14397199999998,8.437465430064243,0.6167039275169373,0.17289357550864218,1000000.0
2,4.909247163999632,1,7.524316397122872,65.0,1.0,1.0,0.06,0.0,9.560768759342,4.0,0.0,21.0,66.0,1.7049037106269715,0.0,27.32884658064516,44.0,4,35.409560178880554,11.0,1,1.775,62.85196931751298,98.42545399999999,8.17529953898717,0.6152372360229492,0.2265160656048178,20.78157601045881
2,5.004744743616838,1,7.0,894.0,1.0,13.0,0.06,3.0,5.503848537922668,28.0,4.0,13.0,59.79603616815113,0.35419366859925927,2.0,27.32884658064516,32.0,4,32.46300995991596,5.0,1,1.775,57.621842678850825,98.12871899999999,7.186423808839568,0.9298003315925598,0.1559283853729527,25.71894149911742
2,2.2894363039506826,1,7.0,142.0,1.0,22.0,0.06,4.0,3.135450841152534,23.0,14.0,40.0,51.38396995470025,0.76912229724643,1.0,27.32884658064516,55.0,4,25.233744016543906,7.0,1,1.775,44.78989562936543,96.48933299999999,7.2560564567245,0.644621729850769,0.2085229430770961,29.451218691257868
2,4.509962471472138,1,6.0,696.0,1.0,30.0,0.06,3.0,3.3145362833871213,24.0,13.0,34.0,62.0,1.1650610664606205,2.0,27.32884658064516,45.0,4,12.0,1.0,1,1.775,21.299999999999997,97.37080299999998,7.647634059161012,1.0723711252212524,0.13598437195789254,1000000.0
2,6.058091757673711,1,8.0,1150.0,1.0,21.0,0.06,0.0,2.369707011066568,31.0,12.0,55.0,65.77029420679611,1.9691512901702781,0.0,27.32884658064516,59.0,4,39.93846641873711,15.0,1,1.775,70.89077789325836,98.46863099999999,7.552559348894225,1.0245088338851929,0.16858179824451294,29.093585897309502
2,3.954505535199333,1,7.820783165384167,923.0,1.0,29.0,0.06,2.0,6.789975389929982,7.0,4.0,31.0,68.33119458822628,1.8813593950862966,0.0,27.32884658064516,62.0,4,39.78167605967647,3.0,1,1.775,70.61247500592573,98.06096299999999,9.20972582766875,0.7903636693954468,0.178219047454447,23.358880984138406
2,4.844027087857137,1,7.455385421662073,1022.0,1.0,28.0,0.06,2.0,4.012565399119128,10.0,4.0,41.0,64.09186794740322,0.826869678616754,2.0,27.32884658064516,45.0,4,16.0,6.0,1,1.775,28.4,97.37080299999998,7.601248474396923,0.8305330276489258,0.13871888555499232,1000000.0
2,1.9566236660486425,1,6.0,116.0,1.0,15.0,0.06,0.0,9.352863930944102,37.0,2.0,58.0,53.0,1.2861559059265633,0.0,27.32884658064516,132.0,4,34.0,1.0,1,1.775,60.349999999999994,98.96964499999999,8.511585969394991,0.7750403881072998,0.17959211023361746,1000000.0
2,5.486604668864761,1,5.750922316520963,481.0,1.0,3.0,0.06,2.0,9.603385110876328,31.0,13.0,34.0,54.761943229215646,0.9494026620076403,0.0,27.328846580645163,42.0,4,26.31839436206913,3.0,1,1.775,46.71514999267271,98.72296999999999,8.354858582626436,0.752956748008728,0.14868651820092418,24.05408741489627
2,0.7006907577092281,1,8.0,37.0,0.0,10.0,0.06,3.0,4.877487830045127,23.0,0.0,51.0,56.0,0.8180396272188948,2.0,27.32884658064516,95.0,4,38.69832934937068,5.0,1,1.775,68.68953459513295,98.35561599999997,10.631837100899192,0.9535169005393982,0.16118613844974305,25.221472144961485
