Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
6,5,3,28,13,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,37.5
6,5,3,13,8,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,18.8
6,5,3,14,10,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,20.8
6,5,3,5,10,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,17.6
6,5,3,13,10,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,9.8
6,4,3,23,13,2,0,2,0.0,82.0,2,0.0,0.0,0.0,15.0,1.38,5.46,63.7,0.0,30.73
6,4,3,3,11,2,0,2,0.0,82.0,2,0.0,0.0,0.0,15.0,9.64,5.46,63.7,0.0,20.73
6,2,3,23,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,32.19
6,2,3,23,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,20.8
6,2,3,23,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,13.65
6,2,3,23,13,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,7.66
6,2,3,39,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,20.8
6,2,3,39,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,13.82
6,2,3,39,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,10.57
6,2,3,39,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,9.8
6,2,3,46,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,33.01
6,2,3,46,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,28.94
6,2,3,46,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,21.28
6,2,3,46,11,2,0,0,0.76,43.24,1,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,17.39
6,4,3,28,13,2,0,1,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,34.15
6,4,3,3,13,2,0,1,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,29.07
0,0,1,28,13,2,0,1,0.0,50.0,2,0.0,0.0,0.0,9.0,0.0,0.06,60.6,0.0,15.0
0,0,1,11,13,2,0,1,0.0,50.0,2,0.0,0.0,0.0,9.0,25.49,0.06,60.1,0.0,10.8
6,6,3,28,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,20.29
6,6,3,39,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,13.03
5,5,3,46,13,2,0,0,1.0,56.0,0,56.0,0.0,0.0,11.0,10.0,0.1,55.0,0.87,28.8
5,5,3,19,13,2,0,0,1.0,56.0,0,56.0,0.0,0.0,11.0,10.0,0.1,55.0,0.87,28.3
5,5,3,2,13,2,0,0,1.0,56.0,0,56.0,0.0,0.0,11.0,10.0,0.1,55.0,0.87,28.42
2,5,3,28,13,2,0,0,1.0,30.0,1,30.0,40.0,20.0,4.0,0.0,0.06,53.59,0.58,31.94
2,5,2,28,13,2,0,0,1.0,30.0,1,30.0,40.0,20.0,4.0,0.0,0.06,58.78,1.02,24.55
2,5,3,34,13,2,0,0,1.0,30.0,1,30.0,40.0,20.0,4.0,12.5,0.06,58.67,0.78,22.86
2,5,3,23,13,2,0,0,1.0,30.0,1,30.0,40.0,20.0,4.0,12.5,0.06,58.67,0.78,32.13
6,5,3,28,13,2,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.0,0.06,67.6,0.38,32.01
6,5,3,31,13,2,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,69.07,0.38,20.32
6,5,3,6,13,2,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,69.07,0.38,33.29
6,5,3,31,2,2,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,69.07,0.38,19.58
