Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),NH3-N loss (%)
6,5,3,14,11,2,0,0,1.0,35.0,0,35.0,0.0,0.0,4.0,2.51,0.06,69.2,0.3,5.9
6,5,3,31,13,2,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,0.0,0.12,66.11,2.57,1.6
6,5,3,0,13,2,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,5.0,0.12,68.15,2.57,1.18
6,5,3,0,13,2,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,10.0,0.12,61.18,2.57,0.86
6,5,3,0,13,2,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,20.0,0.12,58.78,2.57,0.69
6,5,3,7,13,2,0,0,1.0,30.0,0,30.0,0.0,0.0,6.0,1.0,0.12,67.68,2.57,0.85
6,6,3,31,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,13.18
6,6,3,40,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,11.36
2,5,3,31,13,2,0,0,1.0,30.0,1,30.0,40.0,20.0,4.0,0.0,0.06,53.59,0.58,23.17
2,5,2,31,13,2,0,0,1.0,30.0,1,30.0,40.0,20.0,4.0,0.0,0.06,58.78,1.02,14.5
2,5,3,36,13,2,0,0,1.0,30.0,1,30.0,40.0,20.0,4.0,12.5,0.06,58.67,0.78,12.31
2,5,3,25,13,2,0,0,1.0,30.0,1,30.0,40.0,20.0,4.0,12.5,0.06,58.67,0.78,20.84
6,5,3,31,13,2,0,2,0.0,26.0,2,0.0,0.0,0.0,7.0,0.0,1.2,65.0,0.0,26.82
6,5,3,4,13,2,0,2,0.0,26.0,2,0.0,0.0,0.0,7.0,15.68,1.2,65.0,0.0,21.65
6,5,3,4,13,2,0,2,0.0,26.0,2,0.0,0.0,0.0,7.0,31.36,1.2,65.0,0.0,7.31
6,5,3,4,13,2,0,2,0.76,43.24,2,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,5.47
6,5,3,31,13,2,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.0,0.06,67.6,0.38,29.26
6,5,3,33,13,2,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,69.07,0.38,16.11
6,5,3,6,13,2,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,69.07,0.38,30.93
6,5,3,33,1,2,0,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,69.07,0.38,16.12
6,5,3,31,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,0.0,0.06,57.54,0.48,24.95
6,5,3,14,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,11.23
6,5,3,13,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,22.85
6,5,3,16,13,2,0,0,1.0,28.0,0,28.0,0.0,0.0,5.0,4.35,0.06,60.3,0.48,26.71
5,5,3,31,13,2,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.27,31.52
5,5,3,40,13,2,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.26,21.26
5,5,3,40,2,2,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.29,0.06,65.0,0.26,16.22
5,5,3,40,2,2,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,14.57,0.06,65.0,0.26,14.88
6,5,3,31,13,2,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,32.5
6,5,3,14,10,2,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,15.4,0.06,60.23,0.25,14.5
6,5,3,40,13,2,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,4.0,0.06,61.92,0.25,20.3
6,5,3,14,13,2,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,15.4,0.06,60.23,0.25,12.4
4,5,3,31,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,36.3
4,5,3,8,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,33.2
4,5,3,8,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,26.6
4,5,3,8,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,20.4
4,5,3,8,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,14.9
4,5,3,8,13,2,0,0,0.76,43.24,0,23.15,2.39,8.8,5.87,5.1,1.58,64.45,0.46,10.7
6,5,3,31,13,2,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,0.0,0.1,55.0,0.3,2.49
6,5,3,4,13,2,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,10.0,0.1,60.23,0.3,1.57
6,5,3,4,15,2,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.0,0.1,59.72,0.3,0.86
6,5,3,4,15,3,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.5,0.1,59.72,0.3,0.83
6,5,3,4,15,3,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,21.0,0.1,59.72,0.3,0.68
6,5,3,4,15,3,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,22.0,0.1,59.97,0.3,0.58
5,4,3,31,13,2,0,0,1.0,34.0,0,34.0,0.0,0.0,7.0,0.0,0.01,67.6,0.03,8.7
5,4,3,24,8,2,0,0,1.0,34.0,0,34.0,0.0,0.0,7.0,7.73,0.01,67.3,0.03,7.87
5,4,3,17,6,2,0,0,1.0,34.0,0,34.0,0.0,0.0,7.0,7.13,0.01,66.8,0.03,6.6
5,4,3,24,6,2,0,0,1.0,34.0,0,34.0,0.0,0.0,7.0,6.05,0.01,66.0,0.03,3.5
4,5,3,31,13,2,0,0,1.0,91.0,0,68.8,0.0,0.0,13.0,0.0,0.25,60.0,0.7,12.93
4,5,3,4,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,9.07
4,5,3,12,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,4.31
4,5,3,4,3,2,0,0,1.0,91.0,0,89.0,0.0,0.0,13.0,25.0,0.25,60.0,0.79,2.61
4,5,3,31,13,2,0,0,1.0,91.0,0,68.8,0.0,0.0,13.0,0.0,0.25,60.0,0.7,10.74
4,5,3,4,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,7.73
4,5,3,12,13,2,0,0,1.0,91.0,0,69.6,0.0,0.0,13.0,12.5,0.25,60.0,0.56,3.65
4,5,3,4,3,2,0,0,1.0,91.0,0,89.0,0.0,0.0,13.0,25.0,0.25,60.0,0.79,2.33
