Material_Main,Period (d),Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_3,Additive_2,Additive_1,Material_3,Additive_4,Material_2,Application Rate (%DW),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial Moisture Content (%),Initial C/N (%),Initial pH,Initial TC (%),CO2-C loss (%)
8,35.0,7.0,0.0,1.0,0,4,3,30,4,1,13,12.5,0.06,0.0,35.0,0.0,0.2,2.68042,72.1,11.19228,7.75506,30.0,35.91
8,35.0,7.0,0.0,1.0,0,4,3,4,4,1,13,12.5,0.06,0.0,35.0,0.0,0.2,2.67717,72.1,11.3794,7.69433,30.4646,31.42
10,21.0,21.0,0.0,1.0,0,4,11,27,4,1,13,0.0,1.2096,0.0,21.0,0.0,0.24,1.91,59.81,19.9,7.3,38.1,48.02
10,21.0,21.0,0.0,1.0,0,4,11,27,4,1,0,0.0,1.2096,0.0,21.0,0.0,0.24,1.79,60.21,19.9,7.86,35.6,43.43
5,45.0,6.42857,0.0,0.0,0,4,11,27,4,1,13,0.0,0.06,2.0,0.0,0.0,0.0,1.79,66.76,23.8,8.2,42.59,30.3
5,45.0,6.42857,0.0,0.0,0,4,11,27,4,1,13,0.0,0.06,2.0,0.0,0.0,0.0,1.45,66.76,30.6,8.4,44.38,25.0
0,31.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.0,0.01,0.0,31.0,0.0,0.43,2.60606,83.0,16.5,8.45,43.0,21.6763
0,31.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.0,0.01,0.0,31.0,0.0,0.21,2.60606,83.0,16.5,8.45,43.0,19.7495
7,31.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.0,0.01,0.0,31.0,0.0,0.48,5.77049,71.0,6.1,6.8,35.2,22.5
7,31.0,0.0,0.0,1.0,0,4,11,27,4,1,13,0.0,0.01,0.0,31.0,0.0,0.23,5.77049,71.0,6.1,6.8,35.2,19.8077
7,31.0,0.0,0.0,1.0,0,4,11,2,4,1,13,37.7,0.01,0.0,31.0,0.0,0.43,3.9918,65.0,12.2,6.95,48.7,12.4038
7,31.0,0.0,0.0,1.0,0,4,11,2,4,1,13,37.7,0.01,0.0,31.0,0.0,0.48,3.9918,65.0,12.2,6.95,48.7,11.3942
10,54.0,7.71429,0.0,0.0,1,4,11,27,4,1,13,0.0,0.13,2.0,0.0,0.0,0.0,2.826,71.386,22.47,8.03112,61.252,37.9
10,54.0,7.71429,0.0,0.0,1,4,11,4,4,1,13,15.0,0.13,2.0,0.0,0.0,0.0,1.869,66.499,24.31,8.45168,44.337,34.8
10,54.0,7.71429,0.0,0.0,1,4,11,4,4,1,13,15.0,0.13,2.0,0.0,0.0,0.0,1.869,66.499,24.31,8.45168,44.337,33.6
10,54.0,7.71429,0.0,0.0,1,4,11,27,4,1,13,0.0,0.13,2.0,0.0,0.0,0.0,2.826,71.386,22.47,8.03112,61.252,39.1
10,54.0,7.71429,0.0,0.0,1,4,11,28,4,1,13,6.0,0.13,2.0,0.0,0.0,0.0,2.862,73.33,22.1,8.23168,61.522,36.5
10,54.0,7.71429,0.0,0.0,1,4,11,28,4,1,13,6.0,0.13,2.0,0.0,0.0,0.0,2.862,73.33,22.1,8.23168,61.522,36.0
0,53.34746,4.5118,0.0,1.0,0,4,11,27,4,1,5,5.43039,0.23043,0.0,26.22966,0.52542,0.19281,2.3187,67.97819,18.96465,7.87008,41.36508,3.25563
0,53.34746,4.5118,0.0,1.0,0,4,11,27,4,1,5,5.43039,0.23043,0.0,26.22966,0.52542,0.19281,2.3187,67.97819,18.96465,7.87008,41.36508,3.86842
8,35.0,7.0,0.0,1.0,0,4,11,27,4,1,13,0.0,0.06,0.0,35.0,0.0,0.1,2.68,72.86,11.37,7.84398,30.45,41.0
8,35.0,7.0,0.0,1.0,0,4,11,27,4,1,13,0.0,0.06,0.0,35.0,0.0,0.2,2.68,72.86,11.37,7.7688,30.45,35.4
8,35.0,7.0,0.0,1.0,0,4,11,27,4,1,13,0.0,0.06,0.0,35.0,0.0,0.3,2.68,72.86,11.37,7.89098,30.45,37.1
0,133.0,0.0,0.0,0.0,2,4,11,27,4,1,5,0.0,0.11621,2.0,0.0,0.0,0.0,1.37,74.03481,22.53,7.8,47.23,6.19
0,133.0,0.0,0.0,0.0,2,4,11,30,4,1,5,1.25,0.11621,2.0,0.0,0.0,0.0,1.33,69.11,24.48,7.4,48.33,6.01
0,133.0,0.0,0.0,0.0,2,4,11,30,4,1,5,1.25,0.11621,2.0,0.0,0.0,0.0,1.38,69.11,24.48,7.4,48.33,8.49
0,133.0,0.0,0.0,0.0,2,4,11,30,4,1,5,2.5,0.11621,2.0,0.0,0.0,0.0,1.23,69.11,24.48,7.37,48.33,3.36
0,133.0,0.0,0.0,0.0,2,4,11,33,4,1,5,0.95337,0.09021,2.0,0.0,0.0,0.0,1.42,73.33,22.66,7.7,47.5,10.0
0,133.0,0.0,0.0,0.0,2,4,11,33,4,1,5,2.53776,0.09021,2.0,0.0,0.0,0.0,1.2,73.33,22.66,7.8,47.5,4.3
0,133.0,0.0,0.0,0.0,2,4,11,33,4,1,5,2.53776,0.09021,2.0,0.0,0.0,0.0,1.22,73.33,22.66,7.8,47.5,2.88
0,90.0,0.0,0.0,0.0,1,4,11,27,4,1,5,0.0,0.02069,2.0,0.0,0.0,0.0,2.838,73.33,21.66,7.9065,61.815,2.64
0,90.0,0.0,0.0,0.0,1,4,11,27,4,1,8,0.0,0.02069,2.0,0.0,0.0,0.0,2.838,73.33,21.66,7.9065,61.815,13.17
0,90.0,0.0,0.0,0.0,1,4,11,27,4,1,8,0.0,0.02069,2.0,0.0,0.0,0.0,2.838,73.33,21.66,7.9065,61.815,12.83
