Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
10,17.5,30.0,1.0,0,1,11,30,4,13,4,35.0,1.0,35.0,0.06,30.0,0.38,0.408,2.06768,6.76537,63.56609,14.83745,0.79
10,17.5,30.0,1.0,0,1,11,6,4,13,4,35.0,1.0,35.0,0.06,30.0,0.38,0.408,2.16937,8.01878,65.87,16.20429,0.41
10,17.5,30.0,1.0,0,1,2,30,4,13,4,35.0,1.0,35.0,0.06,30.0,0.38,0.408,2.27531,7.24492,66.632,13.97506,0.68
10,5.6,0.0,1.0,0,1,11,27,4,13,4,28.0,0.0,28.0,0.06,0.0,0.48,0.0,2.13,7.08396,57.54093,19.25,0.34
10,5.6,0.0,1.0,0,1,11,13,4,13,4,28.0,0.0,28.0,0.06,0.0,0.48,2.44988,2.14833,6.59564,63.81309,22.3966,0.38
10,5.6,0.0,1.0,0,1,11,13,4,13,4,28.0,0.0,28.0,0.06,0.0,0.48,2.45195,2.15,6.76549,64.85309,20.42849,0.47
10,5.6,0.0,1.0,0,1,11,31,4,13,4,28.0,0.0,28.0,0.06,0.0,0.48,4.35435,2.16833,8.34723,61.65,20.90765,0.39
8,5.66667,0.0,1.0,0,1,11,27,4,13,4,34.0,0.0,34.0,0.06,0.0,0.27211,0.0,2.51312,7.58558,65.0,11.37,0.88
8,5.66667,0.0,1.0,0,1,11,4,4,13,4,34.0,0.0,34.0,0.06,0.0,0.26291,10.0,2.32105,8.007,65.0,11.37,0.6
8,5.66667,0.0,1.0,0,1,3,4,4,13,4,34.0,0.0,34.0,0.06,0.0,0.26265,10.28571,2.32105,8.007,65.0,11.37,0.25
