Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
7,0.25,30.0,1.0,0,1,11,8,0,4,4,45.0,1.0,45.0,17.0,0.44444,2.4,6.67,55.0,1.12653,29.153,7.73601,3.22179
7,0.25,30.0,1.0,0,1,11,8,0,4,4,45.0,1.0,45.0,17.0,0.44444,2.4,6.67,55.0,1.03964,31.2883,7.7218,5.63813
7,5.55926,0.0,1.0,0,1,11,27,4,4,4,41.94335,0.0,27.46489,4.70745,4.22578,0.50768,0.78519,64.6059,2.13592,20.03065,7.38714,10.351
7,5.55926,0.0,1.0,0,1,11,25,4,4,4,41.94335,0.0,27.46489,4.70745,4.22578,0.50768,0.78519,64.6059,2.13592,20.03065,7.38714,2.046
7,5.55926,0.0,1.0,0,1,11,25,4,4,4,41.94335,0.0,27.46489,4.70745,4.22578,0.50768,0.78519,64.6059,2.13592,20.03065,7.38714,2.362
3,7.5,0.0,1.0,0,1,11,27,4,4,4,30.0,0.0,30.0,0.0,0.0,0.06,0.2,60.59701,1.9,20.0,6.1837,24.9
3,7.5,0.0,1.0,0,1,6,20,4,4,4,30.0,0.0,30.0,0.0,2.1383,0.06,0.2,61.405,2.11605,19.81481,4.77333,12.6
3,7.5,0.0,1.0,0,1,11,4,4,4,4,30.0,0.0,30.0,0.0,3.20088,0.06,0.2,64.445,2.38169,18.57481,4.41037,15.3
3,7.5,0.0,1.0,0,1,11,10,4,4,4,30.0,0.0,30.0,0.0,2.216,0.06,0.2,60.765,1.91605,20.50481,5.00148,8.9
3,7.5,0.0,1.0,0,1,11,16,4,4,4,30.0,0.0,30.0,0.0,2.53615,0.06,0.2,62.1647,1.6986,22.70481,5.58222,8.9
3,2.11111,0.0,1.0,0,1,11,27,4,4,4,19.0,0.0,19.0,0.0,0.0,0.1216,10.0,70.0,1.73,26.38728,6.3,16.5467
3,2.11111,0.0,1.0,0,1,11,25,4,4,4,19.0,0.0,19.0,0.0,3.0,0.1216,10.0,70.0,1.73,26.38728,6.3,12.879
3,2.11111,0.0,1.0,0,1,6,23,4,4,4,19.0,0.0,19.0,0.0,6.9,0.3212,10.0,70.0,1.61,26.34783,6.2,12.879
3,2.11111,0.0,1.0,0,1,8,25,4,4,3,19.0,0.0,19.0,0.0,9.9,0.28217,10.0,70.0,1.61,26.34783,6.2,2.9862
10,9.33333,0.0,0.0,1,1,11,27,4,8,4,112.0,0.0,42.0,0.0,0.0,0.2434,0.2569,65.4,1.4,23.09483,7.1,21.4
10,9.33333,0.0,0.0,1,1,11,25,4,8,4,112.0,0.0,42.0,0.0,2.94985,0.1498,0.26221,66.1,1.6,26.62432,6.8,20.7
10,5.55926,0.0,0.0,1,1,11,27,4,8,4,41.94335,2.0,27.46489,4.70745,4.22578,0.50768,0.78519,64.6059,2.13592,20.03065,7.38714,18.4
10,5.55926,0.0,0.0,1,1,11,25,4,8,4,41.94335,2.0,27.46489,4.70745,4.22578,0.50768,0.78519,64.6059,2.13592,20.03065,7.38714,19.7
3,3.88889,0.0,1.0,0,1,11,18,4,8,4,35.0,0.0,35.0,0.0,2.25,0.02,0.5,63.945,1.55096,29.0076,11.9607,27.1028
3,3.88889,0.0,1.0,0,1,8,18,4,8,6,35.0,0.0,35.0,0.0,1.8209,0.02,0.5,63.005,1.60583,32.0229,6.47344,0.46729
3,3.88889,0.0,1.0,0,1,8,18,4,8,6,35.0,0.0,35.0,0.0,2.5709,0.02,0.5,63.215,1.77798,30.3435,8.34411,10.42991
3,3.88889,0.0,1.0,0,1,8,18,4,8,6,35.0,0.0,35.0,0.0,3.3209,0.02,0.5,61.455,1.70326,26.9466,11.5866,17.37382
3,3.88889,0.0,1.0,0,1,8,18,4,8,6,35.0,0.0,35.0,0.0,4.0709,0.02,0.5,64.445,1.46576,29.0458,12.0647,29.17756
10,6.66667,690.0,1.0,0,1,11,27,4,13,4,40.0,1.0,30.0,30.0,0.0,0.1416,7.69231,64.54545,2.34,16.53936,6.8098,26.0
10,6.66667,690.0,1.0,0,1,11,4,4,13,4,40.0,1.0,30.0,30.0,6.0,0.1446,7.31707,63.55556,2.31,16.39658,5.99866,11.8
10,6.66667,690.0,1.0,0,1,11,28,4,13,4,40.0,1.0,30.0,30.0,15.0,0.0617,6.81818,62.06897,2.41,15.97083,6.19841,21.5
10,6.66667,690.0,1.0,0,1,11,28,4,13,4,40.0,1.0,30.0,30.0,1.46082,0.1358,7.79221,65.17413,2.34,16.34774,6.11367,20.2
3,1.0,0.0,1.0,0,1,11,35,4,2,4,24.0,0.0,24.0,0.0,2.56049,0.03,0.76104,63.5,2.72179,20.5,6.08647,12.86
3,1.0,0.0,1.0,0,1,11,27,4,2,4,24.0,0.0,24.0,0.0,0.0,0.03,0.76815,63.5,2.87696,20.5,6.00188,10.23
3,5.55926,5.0,1.0,0,1,11,38,4,13,4,41.94335,1.0,27.46489,4.70745,4.22578,0.50768,0.78519,64.6059,2.13592,20.03065,7.38714,9.64912
3,1.25926,5.0,1.0,0,1,11,19,4,13,4,68.0,1.0,68.0,1.0,35.7,0.005,4.29,58.92593,2.34167,20.74096,7.49153,13.4503
8,5.09091,0.0,1.0,0,1,11,27,4,13,4,56.0,1.0,56.0,0.0,0.0,0.13,1.11111,55.0,1.80435,25.02125,7.4,1.02
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.0,2.0,0.13,1.11111,55.0,1.84239,25.08996,7.8,0.2
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.0,4.0,0.13,1.11111,55.0,1.8587,25.00167,7.8,0.11
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.0,6.0,0.13,1.11111,55.0,1.95109,23.99361,8.0,0.11
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.0,8.0,0.13,1.11111,55.0,2.11957,22.31769,8.0,0.06
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.0,12.0,0.13,1.11111,55.0,2.27717,21.13909,8.1,0.04
8,5.09091,0.0,1.0,0,1,11,2,4,13,4,56.0,1.0,56.0,0.0,18.0,0.13,1.11111,55.0,2.42935,20.40002,8.2,0.02
3,1.0,0.0,1.0,0,1,11,27,4,5,4,25.0,0.0,25.0,0.0,0.0,0.03,0.82386,66.0,3.16471,17.0,5.8,21.2
3,1.0,0.0,1.0,0,1,13,24,4,5,4,25.0,0.0,25.0,0.0,2.22035,0.03,0.80596,66.0,2.80853,15.25751,6.53882,32.8
3,1.0,0.0,1.0,0,1,13,24,4,5,4,25.0,0.0,25.0,0.0,1.82166,0.03,0.80912,66.0,2.82069,15.25751,6.53882,12.6
