Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Compost volume (m3),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),Initial pH,CH4-C loss (%)
8,7.0,0.0,1.0,0,1,11,27,4,13,4,35.0,0.0,35.0,0.0,0.06,0.0,0.3,11.37,72.86,2.68,7.89098,0.4
0,0.0,0.0,0.0,2,1,11,27,4,5,4,133.0,2.0,0.0,0.0,0.37021,0.0,0.0,14.425,71.43881,1.37,7.8,0.002
0,0.0,0.0,0.0,2,1,11,30,4,5,4,133.0,2.0,0.0,0.0,0.48821,0.0,0.0,14.425,70.10881,1.33,7.4,0.0007
0,0.0,0.0,0.0,2,1,11,30,4,5,4,133.0,2.0,0.0,0.0,0.48821,0.0,0.0,14.425,70.10881,1.38,7.4,0.0007
0,0.0,0.0,0.0,2,1,11,30,4,5,4,133.0,2.0,0.0,0.0,0.48821,0.0,0.0,14.425,70.10881,1.23,7.37,0.0003
0,0.0,0.0,0.0,2,1,11,33,4,5,4,133.0,2.0,0.0,0.0,0.37021,0.0,0.0,14.425,71.43881,1.42,7.7,0.0017
0,0.0,0.0,0.0,2,1,11,33,4,5,4,133.0,2.0,0.0,0.0,0.37021,0.0,0.0,14.425,71.43881,1.2,7.8,0.0012
0,0.0,0.0,0.0,2,1,11,33,4,5,4,133.0,2.0,0.0,0.0,0.37021,0.0,0.0,14.425,71.43881,1.22,7.8,0.0017
0,0.0,0.0,0.0,1,1,11,27,4,8,4,90.0,2.0,0.0,0.0,0.02069,0.0,0.0,13.695,73.564,2.31778,7.455,0.05
0,0.0,0.0,0.0,1,1,11,27,4,8,4,90.0,2.0,0.0,0.0,0.02069,0.0,0.0,13.695,73.564,2.31778,7.455,0.03
