Initial pH,Initial GI (%),Turning times,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Material_Main,Initial C/N (%),Initial Moisture Content (%),Material_3,Additive_3,Period (d),Additive_1,V2_Ventilation Interval (min),Compost volume (m3),Application Rate (%DW),M1_is Enclosed,Additive_2,V3_Ventilation Duration (min),Material_2,V1_Ventilation Type, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8.360533942028498,27.32884658064516,12.0,36.0,1.5669803147462578,1.0,8,39.0,64.0,9.0,4.0,41.0,13.0,0.0,4.210797122302158,6.940791529402438,0.0,0.0,0.0,14.0,0.0,1.0,2.1457865217391303,40.5160636528444,92.53880366666664,7.710312603454754,1.1204742193222046,0.18826102296407593,1000000.0
8.696687863178218,27.32884658064516,7.0,6.0,0.3838109823893048,1.0,8,20.0,77.44368751608846,9.0,4.0,39.0,16.0,0.0,4.210797122302158,7.679718381411423,0.0,0.0,0.0,6.0,0.0,2.0,2.1457865217391303,42.87837799844748,91.21095800000003,8.492795716011821,1.2946724891662598,0.2047208801260997,1000000.0
11.901686567134522,27.32884658064516,26.0,40.0,0.8804667376025754,1.0,8,32.0,67.0,9.0,4.0,90.0,38.0,1217.0,4.210797122302158,5.653613025690496,0.0,10.0,52.198019771616316,13.0,1.0,1.0,2.1457865217391303,82.79912110083887,92.42408399999998,13.388961161992869,0.7919043898582458,0.144266424303087,1000000.0
10.760462248054033,27.32884658064516,8.0,62.0,0.9184947516354707,1.0,8,11.0,65.0,2.0,4.0,89.0,12.0,0.0,4.210797122302158,6.215225381518423,1.0,0.0,0.0,14.0,0.0,2.0,2.1457865217391303,16.579797512394958,91.87773066666665,7.779782756171513,1.365062952041626,0.18214947933111725,1000000.0
7.0,27.32884658064516,12.0,2.0,0.6974159123790913,1.0,8,43.31288134827381,56.0,2.0,4.0,50.0,20.0,0.0,4.210797122302158,2.826657647194039,1.0,2.0,0.0,14.0,0.0,0.0,2.1457865217391303,92.94019701481211,91.65368166666663,5.744257546679124,0.9862176179885864,0.22845056976455155,28.368704940128485
11.943321062434254,27.32884658064516,16.0,45.0,0.8213332056354259,1.0,8,43.550265425364465,74.14020698507315,2.0,4.0,124.0,27.0,1250.0,4.210797122302158,4.667011510402789,0.0,11.0,51.64894020671632,8.0,1.0,2.0,2.1457865217391303,92.138218127408,92.13787500000001,13.63255002687333,0.7916948795318604,0.15903948108298774,1000000.0
5.0,27.32884658064516,15.0,11.0,0.9005447376889086,1.0,8,42.96353740863258,61.0,0.0,4.0,129.0,11.0,660.0,4.210797122302158,3.63052653957259,1.0,0.0,37.75892322325407,12.0,1.0,2.0,2.1457865217391303,92.19057949767871,91.67397299999995,9.441807639224004,1.1416034698486328,0.16890013035507837,24.255308372327324
10.081409192531533,27.32884658064516,12.0,32.0,0.6723037117574397,1.0,8,15.0,82.12609558653958,9.0,4.0,44.0,19.0,1296.0,4.210797122302158,6.052016969381265,0.0,5.0,56.3854414473664,4.0,1.0,1.0,2.1457865217391303,48.09642136700517,94.83234199999998,11.989107988648517,0.9101071357727051,0.17047109898218732,1000000.0
9.24223550521014,27.32884658064516,2.0,27.0,1.070741939938006,1.0,8,34.0,56.0,5.0,4.0,40.0,38.0,362.0,4.210797122302158,3.2113995463415055,0.0,3.0,50.78807915639833,0.0,1.0,1.0,2.1457865217391303,45.9591878860173,94.61979499999995,14.437986294188487,1.1989178657531738,0.13815917043896306,1000000.0
7.0,27.32884658064516,17.0,54.0,0.667587794914648,1.0,8,40.0,72.44134094325966,3.0,4.0,119.0,7.0,0.0,4.210797122302158,3.9462395804564476,1.0,3.0,0.0,14.0,0.0,0.0,2.1457865217391303,20.1212280286633,90.93246966666666,4.78073562488372,0.8447927236557007,0.20267240450047475,1000000.0
10.186761466263803,27.32884658064516,29.0,48.0,1.7031877762147096,1.0,8,18.0,66.0,2.0,4.0,86.0,37.0,1372.0,4.210797122302158,5.0019825751019225,1.0,5.0,56.87387923777987,2.0,1.0,1.0,2.1457865217391303,67.55568358714658,93.62665499999997,12.130937743433591,1.2157002687454224,0.16625395464460163,1000000.0
8.698987743503563,27.32884658064516,25.0,9.0,1.351192695992852,1.0,8,31.0,80.8534642615765,2.0,4.0,26.0,13.0,0.0,4.210797122302158,5.040496414234855,1.0,0.0,0.0,13.0,0.0,1.0,2.1457865217391303,43.79617748636982,93.21216166666667,5.511332545121787,0.9752771258354187,0.2149184145350638,1000000.0
7.0,27.32884658064516,18.0,42.0,1.6504376701061059,1.0,8,27.0,54.0,3.0,4.0,130.0,36.0,755.0,4.210797122302158,2.8284980360693623,1.0,9.0,57.125831101283424,0.0,1.0,1.0,2.1457865217391303,68.6406424823241,92.22609299999996,11.546382759443956,1.1679821014404297,0.16395435018333543,1000000.0
5.0,27.32884658064516,11.0,83.0,0.30893616993591055,1.0,8,40.0,74.62337158076683,9.0,4.0,108.0,23.0,896.0,4.210797122302158,6.506993793640574,1.0,5.0,54.19387355706945,13.0,1.0,1.0,2.1457865217391303,64.73301464358728,92.69210599999998,12.66925064568789,0.8799562454223633,0.18467446185308517,1000000.0
8.860924064085633,27.32884658064516,0.0,20.0,0.9614668140745835,1.0,8,19.0,52.0,5.0,4.0,116.0,19.0,0.0,4.210797122302158,6.414120709702589,1.0,1.0,0.0,13.0,0.0,0.0,2.1457865217391303,63.68130311735735,90.85162666666665,7.7020000831678885,1.0839632749557495,0.1716996283507926,1000000.0
7.0,27.32884658064516,9.0,2.0,1.1468433941751028,1.0,8,23.0,79.1609025925238,9.0,4.0,35.0,7.0,1052.0,4.210797122302158,9.623551604914464,1.0,3.0,35.27599400551662,2.0,1.0,0.0,2.1457865217391303,15.436804434182799,91.58953300000002,11.091254937185317,1.2281197309494019,0.19864667260171817,1000000.0
11.832117450951305,27.32884658064516,19.0,20.0,0.40772450979724306,1.0,8,37.0,51.0,5.0,4.0,31.0,19.0,0.0,4.210797122302158,9.399585014284998,0.0,3.0,0.0,2.0,0.0,1.0,2.1457865217391303,57.316460135038454,91.17119300000002,6.389469544562021,1.244778037071228,0.218698646235226,1000000.0
