Initial pH,Period (d),V4_Ventilation Day,Initial C/N (%),Material_3,Additive_4,Material_Main,V1_Ventilation Type,M1_is Enclosed, Composting Method,V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Additive_3,V5_Ventilation rate (L/min/kg iniDW),Material_2,Additive_2,Compost volume (m3),Initial GI (%),Additive_1,Turning times,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8.0,131.0,0.0,34.0,5.0,1.0,6,2.0,1.0,0.0,0.0,5.514745293585337,67.0,4.0,0.29438699084180414,0.0,15.0,0.15181,27.32884658064516,28.0,30.0,0.0,1.411,46.97306591085399,108.70800949999999,2.882385783046997,1.2430821657180786,0.21507636724867185,1000000.0
8.0,74.0,0.0,39.0,2.0,1.0,6,2.0,1.0,0.0,0.0,4.1995670825855,81.15488560347806,4.0,0.0,8.0,11.0,0.15181,27.328846580645163,31.0,30.0,0.0,1.411,9.794228379333077,108.90298349999999,2.650536650582578,1.240496039390564,0.19447473026354783,1000000.0
9.155048593640906,46.0,21.0,33.0,5.0,1.0,6,0.0,0.0,1.0,0.0,4.087109535291444,83.01438761316139,4.0,0.2670951189008355,4.0,15.0,0.15181,27.32884658064516,23.0,30.0,0.0,1.411,21.063011536583566,106.68874549999997,2.4937980888699474,1.10629403591156,0.19683994664860233,1000000.0
8.411112966423865,78.0,17.0,16.0,3.0,1.0,6,0.0,1.0,0.0,0.0,2.2986198159394595,54.0,4.0,1.8448140681695309,0.0,15.0,0.15181,27.32884658064516,8.0,28.0,0.0,1.411,32.264897079121916,105.68634499999999,2.586118976550512,1.17389976978302,0.18831236754924668,1000000.0
6.0,124.0,0.0,14.0,3.0,1.0,6,2.0,1.0,2.0,0.0,5.660737344026445,69.0,4.0,0.0,6.0,15.0,0.15181,27.32884658064516,18.0,30.0,0.0,1.411,51.468996444339794,107.8190475,2.407454707732918,1.4561761617660522,0.14536601805537705,1000000.0
7.0,56.0,46.0,27.0,4.0,1.0,6,1.0,1.0,0.0,52.64974220220244,2.0622974315716194,70.0,4.0,1.4473745929834179,5.0,13.0,0.15181,27.32884658064516,2.0,28.0,1094.0,1.411,54.120496711394196,105.640342,3.9965152047312573,1.1289290189743042,0.18487749664951866,1000000.0
5.0,68.0,38.0,42.044061639496235,9.0,1.0,6,0.0,0.0,1.0,0.0,7.336369937622478,58.0,4.0,1.6797697861774894,3.0,15.0,0.15181,27.32884658064516,20.0,29.0,0.0,1.411,59.32417097332919,107.885889,2.2140613165839076,1.1788994073867798,0.18365839215182928,24.861916757837736
6.0,23.0,0.0,33.0,5.0,1.0,6,2.0,0.0,1.0,0.0,4.770256353348464,51.0,4.0,0.0,12.0,12.0,0.15181,27.32884658064516,36.0,31.0,0.0,1.411,13.177171707501737,107.64737199999999,3.018356396180236,1.2340763807296753,0.1507483607566651,1000000.0
11.24580392241958,43.0,0.0,40.0,5.0,1.0,6,2.0,1.0,0.0,0.0,6.412786673412193,57.0,4.0,0.0,3.0,11.0,0.15181,27.32884658064516,38.0,30.0,0.0,1.411,36.25965790155355,107.19867549999998,2.882385783046997,1.1431711912155151,0.17463289380096994,1000000.0
7.0,52.0,0.0,25.0,2.0,1.0,6,2.0,1.0,0.0,0.0,8.23981864831539,58.0,4.0,0.0,4.0,13.0,0.15181,27.32884658064516,31.0,23.0,0.0,1.411,44.204987401426,102.13047499999995,2.407454707732918,1.2340763807296753,0.18996969361508445,1000000.0
