Material_Main,Turning times,Intermittent ratio,Additive_3,Additive_4, Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),Material_2,Application Rate (%DW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),V5_Ventilation rate (L/min/kg iniDW),Initial pH,Initial TC (%),Additive_1,Initial density (kg/L),Initial GI (%),Final GI (%)
4,6.34789,0.8279,0,0,0,0,0,0,0,0.29008,2,3.99688,21.39258,62.82036,2.03563,2.32107,7.33878,39.56893,10,0.39882,24.22842,85.7143
4,0.0,0.5,0,0,0,0,0,0,0,0.004,2,14.54596,13.3,70.0,2.62,2.42351,7.45,34.846,14,0.25356,49.3506,48.3
0,5.33333,0.02128,0,0,1,0,14,0,13,1.1,3,0.0,15.28996,74.27405,2.04892,2.5,7.9,35.35366,0,0.15591,38.7423,117.975
0,0.0,1.0,0,0,0,0,0,0,0,0.06,3,0.0,29.35,60.22,1.45,0.42,7.53,42.38,0,0.51853,42.5336,94.79
0,0.0,0.33333,0,0,0,0,0,0,0,0.06,3,0.0,29.35,60.22,1.45,0.84,7.53,42.38,0,0.53828,42.5336,88.56
0,15.5,0.5,0,0,0,0,5,0,5,0.06,3,0.0,14.2,65.4,2.1,0.28151,9.1,29.7,0,0.51333,42.09469,80.4
5,17.5,2.0,0,0,0,0,15,0,14,1.2096,3,0.0,17.26269,63.6,2.12625,0.54,8.11709,36.7048,0,0.29077,12.7221,106.624
5,7.5,5.0,0,0,0,0,4,0,4,0.06,3,0.0,17.86175,65.9,2.17,0.48,7.8444,38.76,0,0.26525,22.1,100.7
5,7.5,5.0,0,0,0,0,4,0,4,0.06,3,10.0,18.73469,69.59,1.96,0.48,7.85581,36.72,13,0.25037,43.2,105.9
5,7.5,5.0,0,0,0,0,4,0,4,0.06,3,10.2,17.73301,69.59,2.06,0.48,7.79357,36.53,13,0.25037,45.4,112.4
5,7.5,5.0,0,0,0,0,4,0,4,0.06,3,5.2,17.80952,69.59,2.1,0.48,7.8112,37.4,13,0.25037,37.1,107.9
3,12.5,1.0,0,0,0,0,2,0,2,0.06,3,0.0,20.0,65.0,1.98809,0.82645,7.10083,42.90547,0,0.34571,21.6768,97.0787
3,12.5,1.0,0,0,0,0,2,0,2,0.06,3,0.0,20.0,65.0,2.06301,1.64384,6.88782,39.50626,0,0.34762,15.2463,105.583
4,5.0,0.02778,0,0,0,0,10,0,9,0.12,3,0.0,20.88346,65.0,1.97549,2.56807,7.26608,37.48649,0,0.42928,25.4785,92.0
4,5.0,0.02778,0,0,0,0,10,0,9,0.12,3,5.0,18.90829,65.0,2.06546,3.34646,6.76797,35.41613,12,0.44544,23.5407,114.0
4,5.0,0.02778,0,0,0,0,10,0,9,0.12,3,1.0,22.81469,65.0,1.8899,5.07548,6.57881,37.88046,12,0.37694,3.30144,103.0
4,5.0,0.02778,0,0,0,0,10,0,9,0.12,3,1.0,17.81312,65.0,2.19476,3.60587,6.9256,35.88881,15,0.34017,15.5742,52.0
4,5.0,0.02778,0,0,0,0,10,0,9,0.12,3,3.0,17.16373,65.0,2.34185,4.46218,6.13745,35.6854,4,0.44569,10.622,74.0
4,5.0,0.02778,0,0,0,0,10,0,9,0.12,3,3.0,17.81312,65.0,2.19476,3.45165,7.07692,35.88881,8,0.34017,16.0048,112.0
4,5.0,0.02778,0,0,0,0,10,0,9,0.12,3,5.0,17.70436,65.0,2.18876,4.07758,6.70492,35.53697,1,0.4117,16.0048,81.0
4,0.5,0.16667,0,0,0,0,12,0,11,0.1,2,0.0,24.0367,62.0,1.86727,0.00583,6.85069,44.883,0,0.72234,20.9537,87.0
4,0.5,0.16667,0,0,0,0,12,0,11,0.1,2,2.0,24.25967,61.522,1.81636,0.00583,7.02885,44.0643,3,0.72934,23.0194,96.0
4,0.5,0.16667,0,0,0,0,12,0,11,0.1,2,5.0,24.13938,61.044,1.76727,0.00583,7.10357,42.6608,3,0.73984,33.8492,92.0
4,0.5,0.16667,0,0,0,0,12,0,11,0.1,2,10.0,24.09582,62.044,1.67727,0.00583,7.0461,40.4152,3,0.75734,34.365,97.0
