Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
6,0,7.0,2,56.0,0,0.0,0.0,13.5,2,22.5,0.0,62.72,23.79163
6,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,2,0.77243,0.76419,64.04016,13.35194
6,0,5.06243,2,43.71769,0,23.34776,3.82857,4.36513,2,0.77243,0.76419,64.04016,21.21206
4,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.88598,58.4,36.77
4,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.81624,56.2,45.06
4,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.88598,58.8,43.65
4,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.89479,60.9,50.1
4,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.9029,61.9,53.43
5,1,0.0,0,28.0,0,28.0,0.0,0.0,0,0.1,0.9029,61.9,56.34
5,1,0.0,0,28.0,0,28.0,0.0,0.0,0,0.1,0.54194,64.5,54.84
5,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.1,0.49312,65.3,56.57
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,67.8621
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,68.5241
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,65.7655
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,68.0828
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,64.5517
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,59.3655
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,55.7241
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,59.3655
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,61.6828
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,43.9172
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,53.0759
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,51.6414
8,0,0.0,0,84.0,0,0.0,0.0,0.0,8,0.12,0.0,81.0,24.9
8,0,0.0,0,84.0,0,0.0,0.0,0.0,8,0.12,0.0,75.8,31.4
1,0,0.0,0,84.0,0,0.0,0.0,0.0,8,0.12,0.0,77.3,31.6
1,0,0.0,0,84.0,0,0.0,0.0,0.0,8,0.12,0.0,77.0,40.8
1,0,0.0,0,84.0,0,0.0,0.0,0.0,0,0.12,0.0,80.0,35.0
1,0,0.0,0,84.0,0,0.0,0.0,22.28321,8,0.12,0.0,84.1,14.9
1,0,0.0,0,84.0,0,0.0,0.0,9.53373,8,0.12,0.0,80.7,32.3
1,0,0.0,0,84.0,0,0.0,0.0,15.84383,8,0.12,0.0,81.5,25.3
0,1,12.0,0,60.0,0,60.0,0.0,4.29709,8,0.045,0.22,60.0,44.0
0,1,12.0,0,60.0,0,60.0,0.0,4.29709,8,0.045,0.44,60.0,51.0
0,1,12.0,0,60.0,0,60.0,0.0,4.29709,8,0.045,0.66,60.0,54.0
0,1,12.0,0,60.0,0,60.0,0.0,1.79709,8,0.045,0.22,65.0,42.0
0,1,12.0,0,60.0,0,60.0,0.0,1.79709,8,0.045,0.44,65.0,56.0
0,1,12.0,0,60.0,0,60.0,0.0,2.79709,8,0.045,0.66,65.0,51.0
0,1,12.0,0,60.0,0,60.0,0.0,0.29709,8,0.045,0.22,70.0,47.0
0,1,12.0,0,60.0,0,60.0,0.0,0.29709,8,0.045,0.44,70.0,36.0
0,1,12.0,0,60.0,0,60.0,0.0,0.29709,8,0.045,0.66,70.0,50.0
1,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.01,0.28,69.0,23.5
1,1,0.0,0,28.0,0,28.0,0.0,0.0,4,0.01,0.28,63.0,20.6
1,1,0.0,0,28.0,0,28.0,0.0,0.0,4,0.01,0.28,66.0,21.8
1,1,0.0,0,28.0,0,28.0,0.0,0.0,5,0.01,0.28,65.0,16.8
1,1,0.0,0,28.0,0,28.0,0.0,0.0,5,0.01,0.28,67.0,19.2
1,1,0.0,0,28.0,0,28.0,0.0,25.0,8,0.01,0.28,65.0,8.9
1,1,0.0,0,28.0,0,28.0,0.0,14.28571,8,0.01,0.28,67.0,13.4
1,1,0.0,0,28.0,0,28.0,0.0,0.0,8,0.01,0.28,65.0,29.5
1,1,0.0,0,28.0,0,28.0,0.0,0.0,2,0.01,0.28,65.0,18.6
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.24,65.0,43.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.48,65.0,50.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.72,65.0,53.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.24,70.0,41.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.48,70.0,55.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.72,70.0,50.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.24,75.0,46.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.48,75.0,34.0
8,1,9.25,0,37.0,1,37.0,25.0,0.0,8,0.06,0.72,75.0,49.0
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.24,64.1,42.7
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.48,65.2,51.0
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.72,63.7,50.7
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.24,71.3,41.6
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.48,70.6,54.0
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.72,70.8,50.3
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.24,75.7,45.6
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.48,76.8,33.8
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.72,74.0,48.9
5,0,6.21429,2,87.0,0,0.0,0.0,0.0,5,0.144,0.0,67.7,63.12
5,0,6.21429,2,87.0,0,0.0,0.0,0.0,5,0.144,0.0,67.7,69.28
0,1,3.88889,0,35.0,0,35.0,0.0,0.0,5,0.1559,0.79719,66.03,52.90177
0,1,3.88889,0,35.0,0,35.0,0.0,0.0,5,0.2984,0.79719,65.69,55.63031
0,1,3.88889,0,35.0,0,35.0,0.0,0.0,5,0.5697,0.79719,66.14,55.11272
8,0,7.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,63.64
8,1,7.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,63.16
8,0,14.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,63.33
8,1,14.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,62.73
8,0,0.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,52.88
8,1,0.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,51.81
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.2,72.1,50.26
8,1,8.0,0,56.0,0,0.0,0.0,0.0,8,1.2,0.0,67.6,66.0
8,1,8.0,0,56.0,0,0.0,0.0,3.3,8,1.2,0.0,67.6,59.5
8,1,8.0,0,56.0,0,0.0,0.0,6.6,8,1.2,0.0,67.6,60.5
8,1,8.0,0,56.0,0,0.0,0.0,9.9,8,1.2,0.0,67.6,55.3
8,1,8.0,0,56.0,0,0.0,0.0,13.2,8,1.2,0.0,67.6,44.3
5,1,3.11111,0,28.0,0,0.0,0.0,0.0,8,0.13,0.0,61.4561,41.19
5,1,3.11111,0,28.0,0,0.0,0.0,2.0,8,0.13,0.0,60.661,38.64
5,1,3.11111,0,28.0,0,0.0,0.0,4.0,8,0.13,0.0,59.7109,31.45
5,1,3.11111,0,28.0,0,0.0,0.0,6.0,8,0.13,0.0,60.4548,25.78
5,1,3.11111,0,28.0,0,0.0,0.0,8.0,8,0.13,0.0,60.0684,18.48
5,1,3.11111,0,28.0,0,0.0,0.0,10.0,8,0.13,0.0,59.4546,12.39
8,1,14.0,0,28.0,5,28.0,30.0,0.0,8,0.07122,0.8589,60.0,46.9
8,1,14.0,0,28.0,5,28.0,30.0,0.0,8,0.07122,0.92562,60.0,53.94
8,1,14.0,0,28.0,5,28.0,30.0,0.0,8,0.07122,0.90323,60.0,67.74
2,1,7.0,0,28.0,6,28.0,30.0,0.0,8,0.06,1.20727,66.9,52.8
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.96434,58.6,59.4
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.85547,53.1,62.5
2,1,7.0,0,28.0,6,28.0,30.0,0.0,0,0.06,0.76023,47.5,60.1
1,1,4.44444,1,40.0,0,0.0,0.0,0.0,8,0.2,0.0,65.0,55.81
1,1,4.44444,1,40.0,0,0.0,0.0,1.0,8,0.2,0.0,65.0,54.13
1,1,4.44444,1,40.0,0,0.0,0.0,5.0,8,0.2,0.0,65.0,52.5
1,1,4.44444,1,40.0,0,0.0,0.0,6.0,8,0.2,0.0,65.0,48.48
5,1,7.5,0,30.0,7,30.0,10.0,0.0,8,0.1,0.00833,60.0,28.4
5,1,7.5,0,30.0,7,30.0,10.0,10.0,8,0.1,0.00833,60.0,29.3
5,1,7.5,0,30.0,7,30.0,10.0,10.0,8,0.1,0.00833,60.0,37.1
0,1,0.0,0,20.0,0,20.0,0.0,0.0,8,0.06,0.21,60.22,51.26
0,1,0.0,0,20.0,2,20.0,10.0,0.0,8,0.06,0.42,60.22,47.55
0,1,0.0,0,20.0,3,20.0,5.0,0.0,8,0.06,0.84,60.22,49.66
8,1,0.0,0,42.0,0,42.0,0.0,0.0,5,0.612,0.35,60.0,15.15
8,1,0.0,0,42.0,0,42.0,0.0,2.5,5,0.604,0.35,60.0,16.12
8,1,0.0,0,42.0,0,42.0,0.0,5.0,5,0.612,0.35,60.0,16.94
8,1,0.0,0,42.0,0,42.0,0.0,10.0,5,0.616,0.35,60.0,20.46
8,1,0.0,0,42.0,0,42.0,0.0,15.0,5,0.348,0.35,60.0,19.19
8,1,0.0,0,42.0,0,42.0,0.0,20.0,5,0.096,0.35,60.0,19.79
5,0,3.0,1,30.0,0,0.0,0.0,0.0,8,0.1458,0.0,66.0568,22.39
5,0,3.0,1,30.0,0,0.0,0.0,0.0,8,0.1458,0.0,66.0568,21.38
5,0,3.0,1,30.0,0,0.0,0.0,0.0,8,0.1458,0.0,66.0568,21.49
8,1,6.22222,0,56.0,0,0.0,0.0,0.0,8,0.1,0.0,67.70741,51.47
8,1,6.22222,0,56.0,0,0.0,0.0,15.0,8,0.1,0.0,62.32171,64.64
8,1,6.22222,0,56.0,0,0.0,0.0,10.0,8,0.1,0.0,63.24,63.1
8,1,6.22222,0,56.0,0,0.0,0.0,25.0,8,0.1,0.0,61.27,68.47
0,1,0.0,0,21.0,0,21.0,0.0,0.0,8,0.06,0.21,55.0,32.42
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,23.55
0,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,19.67
0,1,15.5,0,31.0,0,31.0,0.0,0.0,8,0.06,0.09384,65.4,48.8
0,1,15.5,0,31.0,0,31.0,0.0,0.0,8,0.06,0.15639,65.4,50.7
0,1,15.5,0,31.0,4,31.0,10.0,0.0,8,0.06,0.28151,65.4,53.1
8,1,0.0,0,48.0,0,48.0,0.0,0.0,3,0.045,0.3279,50.0,67.56
5,1,0.0,0,48.0,0,48.0,0.0,0.0,3,0.045,0.34666,50.0,60.2
7,1,0.0,0,48.0,0,48.0,0.0,0.0,3,0.045,0.38698,50.0,60.06
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.2,72.1,52.59
6,1,7.0,0,35.0,0,35.0,0.0,10.0,8,0.06,0.2,72.1,50.31
6,1,7.0,0,35.0,0,35.0,0.0,10.0,8,0.06,0.2,72.1,48.7
6,1,7.0,0,35.0,0,35.0,0.0,12.5,8,0.06,0.2,72.1,49.24
6,1,7.0,0,35.0,0,35.0,0.0,12.5,8,0.06,0.2,72.1,47.73
8,1,21.0,0,21.0,0,21.0,0.0,0.0,8,1.2096,0.24,59.81,49.2
8,1,21.0,0,21.0,0,21.0,0.0,0.0,0,1.2096,0.24,60.21,44.46
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,72.784,49.18
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,73.464,49.13
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,73.464,44.24
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,73.464,43.93
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,73.464,48.71
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,73.464,44.74
4,1,1.0,1,105.0,0,0.0,0.0,0.0,8,0.055,0.0,73.464,44.62
5,1,1.0,0,15.0,0,15.0,0.0,0.0,5,0.018,0.9532,65.03,10.33
5,1,1.0,0,15.0,0,15.0,0.0,29.0,5,0.018,0.90506,63.17,15.82
5,1,1.0,0,15.0,0,15.0,0.0,29.0,5,0.018,0.88629,62.39,17.17
5,1,1.0,0,15.0,0,15.0,0.0,29.0,5,0.018,0.89127,62.6,16.54
5,1,1.0,0,15.0,0,15.0,0.0,29.0,5,0.018,0.8765,61.97,11.61
5,1,1.0,0,15.0,0,15.0,0.0,29.0,5,0.018,0.91149,63.43,12.7
4,1,16.0,0,32.0,0,31.02,21.0,0.0,6,0.1,0.52236,61.1,22.76
4,1,16.0,0,32.0,0,30.65,9.2,0.0,6,0.1,0.24442,53.5,7.81
4,1,16.0,0,32.0,0,29.22,9.3,0.0,6,0.1,0.24573,48.5,17.58
4,1,16.0,0,32.0,0,33.2,16.7,0.0,1,0.1,0.427,74.7,34.26
4,1,16.0,0,32.0,0,30.9,19.0,0.0,1,0.1,0.5092,65.6,21.27
4,1,16.0,0,32.0,0,32.71,9.0,0.0,1,0.1,0.22831,53.0,7.04
4,1,16.0,0,32.0,0,30.2,9.2,0.0,8,0.1,0.22839,47.5,10.57
4,0,6.42857,0,45.0,0,0.0,0.0,0.0,8,0.06,0.0,63.48,43.0
4,0,6.42857,0,45.0,0,0.0,0.0,0.0,8,0.06,0.0,63.48,39.6
8,1,17.5,0,70.0,0,0.0,0.0,0.0,8,1.2096,0.0,63.6,54.8
8,1,17.5,0,70.0,0,70.0,0.0,0.0,8,1.2096,0.18,63.6,54.2
8,1,17.5,0,70.0,0,70.0,0.0,0.0,8,1.2096,0.36,63.6,53.7
8,1,17.5,0,70.0,0,70.0,0.0,0.0,8,1.2096,0.54,63.6,52.2
8,1,5.06243,0,43.71769,4,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,56.3
0,1,0.0,0,31.0,0,31.0,0.0,0.0,8,0.01,0.43,83.0,40.0
0,1,0.0,0,31.0,0,31.0,0.0,0.0,8,0.01,0.21,83.0,45.0
5,1,0.0,0,31.0,0,31.0,0.0,0.0,8,0.01,0.48,71.0,22.0
5,1,0.0,0,31.0,0,31.0,0.0,0.0,8,0.01,0.23,71.0,24.0
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,28.0
5,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,8,0.77243,0.76419,64.04016,33.0
8,1,7.5,0,30.0,1,30.0,25.0,0.0,8,0.06,0.48,65.9,58.4
8,1,7.5,0,30.0,1,30.0,25.0,10.0,8,0.06,0.48,64.019,56.6
8,1,7.5,0,30.0,1,30.0,25.0,10.2,8,0.06,0.48,64.499,56.3
8,1,7.5,0,30.0,1,30.0,25.0,5.2,8,0.06,0.48,57.60411,58.0
5,1,12.5,0,25.0,5,25.0,30.0,0.0,8,0.06,0.08242,65.0,24.3
5,1,12.5,0,25.0,5,25.0,30.0,0.0,8,0.06,0.82645,65.0,54.47
5,1,12.5,0,25.0,5,25.0,30.0,0.0,8,0.06,1.64384,65.0,45.7
8,0,7.71429,1,54.0,0,0.0,0.0,0.0,8,0.13,0.0,66.28,58.0
8,0,7.71429,1,54.0,0,0.0,0.0,15.0,8,0.13,0.0,62.82171,54.2
8,0,7.71429,1,54.0,0,0.0,0.0,15.0,8,0.13,0.0,62.82171,53.8
8,0,7.71429,1,54.0,0,0.0,0.0,0.0,8,0.13,0.0,66.28,55.4
8,0,7.71429,1,54.0,0,0.0,0.0,6.0,8,0.13,0.0,63.24,52.1
8,0,7.71429,1,54.0,0,0.0,0.0,6.0,8,0.13,0.0,63.24,51.8
6,1,5.0,0,45.0,7,45.0,20.0,0.0,8,0.12,0.97145,65.0,16.32
6,1,5.0,0,45.0,7,45.0,20.0,5.0,8,0.12,1.71576,65.0,17.17
6,1,5.0,0,45.0,7,45.0,20.0,1.0,8,0.12,0.92403,65.0,18.95
6,1,5.0,0,45.0,7,45.0,20.0,1.0,8,0.12,0.92403,65.0,15.14
6,1,5.0,0,45.0,7,45.0,20.0,3.0,8,0.12,0.93795,65.0,16.54
6,1,5.0,0,45.0,7,45.0,20.0,3.0,8,0.12,0.93795,65.0,17.15
6,1,5.0,0,45.0,7,45.0,20.0,5.0,8,0.12,1.71576,65.0,22.42
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.1,72.86,49.9
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.2,72.86,47.7
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.3,72.86,43.8
