Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
8,1,9.25,0,37.0,1,37.0,25.0,0.0,5,0.06,0.72,65.0,83.6576
8,1,9.25,0,37.0,1,37.0,25.0,0.0,5,0.06,0.24,70.0,81.5175
8,1,9.25,0,37.0,1,37.0,25.0,0.0,5,0.06,0.48,70.0,85.7977
8,1,9.25,0,37.0,1,37.0,25.0,0.0,5,0.06,0.72,70.0,66.1479
8,1,9.25,0,37.0,1,37.0,25.0,0.0,5,0.06,0.24,75.0,73.7354
8,1,9.25,0,37.0,1,37.0,25.0,0.0,5,0.06,0.48,75.0,53.3074
8,1,9.25,0,37.0,1,37.0,25.0,0.0,5,0.06,0.72,75.0,85.9922
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,64.1,62.0
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,65.2,90.9
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,63.7,83.5
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,71.3,81.4
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,70.6,85.7
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,70.8,66.2
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.24,75.7,73.5
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.48,76.8,53.2
8,1,9.25,0,37.0,0,37.0,0.0,0.0,5,0.06,0.72,74.0,86.1
5,0,1.5,2,21.0,0,0.0,0.0,0.0,0,2.0,0.0,60.0,83.2288
5,0,1.5,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,90.7011
5,0,1.5,2,21.0,0,0.0,0.0,7.75,0,2.0,0.0,60.0,89.0959
