Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
6,1,5.06243,0,43.71769,0,23.34776,3.82857,4.36513,5,0.77243,0.76419,64.04016,0.1567
8,1,7.5,0,30.0,1,30.0,25.0,10.2,5,0.06,0.48,64.499,2.0
8,1,7.5,0,30.0,1,30.0,25.0,5.2,5,0.06,0.48,57.60411,2.0
7,1,5.0,0,45.0,8,45.0,20.0,0.0,5,0.12,0.97145,65.0,1.92
7,1,5.0,0,45.0,8,45.0,20.0,5.0,5,0.12,1.71576,65.0,1.1
7,1,5.0,0,45.0,8,45.0,20.0,1.0,5,0.12,0.92403,65.0,0.79
7,1,5.0,0,45.0,8,45.0,20.0,1.0,5,0.12,0.92403,65.0,2.48
7,1,5.0,0,45.0,8,45.0,20.0,3.0,5,0.12,0.93795,65.0,2.29
7,1,5.0,0,45.0,8,45.0,20.0,3.0,5,0.12,0.93795,65.0,0.5
7,1,5.0,0,45.0,8,45.0,20.0,5.0,5,0.12,1.71576,65.0,1.64
8,1,0.0,0,50.0,0,50.0,0.0,0.0,5,0.1,0.3,60.0,0.79
8,1,0.0,0,50.0,0,50.0,0.0,10.0,5,0.1,0.3,60.0,0.3
8,1,0.0,0,50.0,0,50.0,0.0,10.0,5,0.1,0.3,60.0,0.39
8,1,0.0,0,50.0,0,50.0,0.0,20.0,5,0.1,0.3,60.0,0.19
7,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.1,72.86,0.8
7,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.2,72.86,0.6
7,1,7.0,0,35.0,0,35.0,0.0,0.0,5,0.06,0.3,72.86,0.6
8,1,9.33333,0,28.0,0,28.0,0.0,0.0,5,0.06,0.25,52.2,1.5
8,1,9.33333,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,1.4
8,1,9.33333,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,1.0
8,1,9.33333,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,0.3
8,1,9.33333,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,0.3
8,1,9.33333,0,28.0,0,28.0,0.0,2.03425,5,0.06,0.25,57.74443,0.3
0,0,0.0,2,133.0,0,0.0,0.0,0.0,5,0.1715,0.0,66.894,0.003
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.016
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.017
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.053
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.001
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.003
0,0,0.0,2,133.0,0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.001
0,0,0.0,1,90.0,0,0.0,0.0,0.0,5,0.02069,0.0,73.564,0.22
0,0,0.0,1,90.0,0,0.0,0.0,0.0,4,0.02069,0.0,73.564,0.43
0,0,0.0,1,90.0,0,0.0,0.0,0.0,4,0.02069,0.0,73.564,0.17
