M1_is Enclosed,Additive_1,Initial GI (%),Additive_3,V2_Ventilation Interval (min),Additive_2,Initial Moisture Content (%),Material_2,Period (d),V3_Ventilation Duration (min),Additive_4,V4_Ventilation Day,Turning times, Composting Method,Initial pH,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Initial C/N (%),Application Rate (%DW),V1_Ventilation Type,Compost volume (m3),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,6.0,27.91266404551668,4.0,0.0,12.0,67.0,5.0,28.0,0.0,1.0,0.0,27.0,1.0,7.796233643616533,0.0,1,11.0,6.100800582095632,2.0,0.0996875,2.0,2.754411318174137,23.703058515659404,88.34484400000001,6.216713425293337,0.31696605682373047,0.10090840874817017,1000000.0
1.0,2.0,27.32884658064516,4.0,0.0,6.0,79.7238549643937,5.0,101.0,0.0,1.0,0.0,11.0,0.0,6.0,0.0,1,16.0,4.064785280342489,2.0,0.0996875,3.0,2.754411318174137,66.33488893068466,89.619043,6.548306572353371,0.3883945345878601,0.14908315791606508,1000000.0
1.0,2.0,27.32884658064516,4.0,0.0,0.0,78.70426959310011,6.0,123.0,0.0,1.0,19.0,8.0,1.0,5.525249851668777,0.43697477158393117,1,28.0,9.415718814345484,0.0,0.0996875,0.0,2.754411318174137,17.599588583329,90.31220200000001,5.944045639206359,0.3968121111392975,0.1757550739881768,1000000.0
0.0,4.0,27.32884658064516,4.0,663.0,5.0,65.0,5.0,125.0,16.139676979164562,1.0,9.0,3.0,1.0,8.416618825442907,1.2625313363361,1,25.0,9.562376242009107,1.0,0.0996875,4.0,2.754411318174137,72.05205852261312,92.36151600000005,4.818338462501911,0.2379302680492401,0.15796286991248948,1000000.0
0.0,8.0,27.32884658064516,4.0,1174.0,7.0,52.0,0.0,112.0,2.9975371099499477,1.0,40.0,6.0,1.0,6.0,0.5632333996528998,1,27.0,4.392191078392272,1.0,0.0996875,3.0,2.754411318174137,34.72320095951359,89.46021800000004,6.451711477023329,0.24629266560077667,0.12649521456105445,1000000.0
1.0,7.0,27.32884658064516,4.0,308.0,2.0,68.0,0.0,55.0,51.35954782661609,1.0,49.0,21.0,0.0,5.0,0.5196752092928176,1,27.0,4.257365663300294,1.0,0.0996875,5.0,2.754411318174137,16.30547150022504,90.51448400000002,6.992302176856867,0.002718365751206875,0.17129524328663776,1000000.0
1.0,6.0,27.32884658064516,4.0,510.0,7.0,50.0,6.0,84.0,58.535016424494536,1.0,65.0,9.0,0.0,7.0,0.33175433520468967,1,18.0,7.559664518394922,1.0,0.0996875,9.0,2.754411318174137,16.55715886901837,91.68321300000004,5.666598762264189,0.2728406488895416,0.1496057174567248,1000000.0
1.0,6.0,27.32884658064516,4.0,0.0,7.0,51.0,4.0,64.0,0.0,1.0,38.0,26.0,0.0,7.0,1.3478452907974006,1,18.0,9.727256278651042,0.0,0.0996875,0.0,2.754411318174137,17.07646017952617,90.84601700000002,6.625580615390738,0.09781237691640854,0.16791744199653813,1000000.0
1.0,6.0,27.32884658064516,4.0,516.0,3.0,60.74833918643084,3.0,116.0,30.94679721844897,1.0,13.0,7.0,0.0,11.048581121874875,1.210532809340911,1,18.0,4.733946598756979,1.0,0.0996875,9.0,2.754411318174137,48.557833631620184,92.40877300000004,5.666598762264189,0.23008699715137482,0.16487908020298678,1000000.0
0.0,2.0,27.32884658064516,4.0,0.0,10.0,71.36217561125726,5.0,84.0,0.0,1.0,31.0,15.0,1.0,9.497006292741833,0.44209242665250814,1,32.0,9.399944103462012,0.0,0.0996875,3.0,2.754411318174137,47.662136852078326,90.38715500000002,5.415720708304948,0.320811003446579,0.16286280812567694,1000000.0
1.0,2.0,27.328846580645163,4.0,204.0,6.0,83.5660110471135,2.0,103.0,21.452099989103587,1.0,11.0,18.0,1.0,5.0,1.004288349623732,1,31.0,6.747802654943941,1.0,0.0996875,9.0,2.754411318174137,75.14269278738473,92.61498000000003,5.859562568380741,0.24770037829875946,0.17117160095472808,1000000.0
1.0,2.0,27.32884658064516,4.0,682.0,0.0,66.0,5.0,61.0,39.32140737979848,1.0,2.0,5.0,1.0,6.0,0.4934702234964612,1,39.0,7.28810825873351,1.0,0.0996875,2.0,2.754411318174137,61.91040683496809,93.14954200000004,6.387887499282152,0.31776419281959534,0.15341427063362,1000000.0
1.0,4.0,27.32884658064516,4.0,0.0,10.0,78.52845746796186,2.0,60.0,0.0,1.0,53.0,1.0,0.0,10.753490295221319,1.5211060856549814,1,37.0,2.0633453958177865,0.0,0.0996875,2.0,2.754411318174137,77.98973574918989,89.39758500000002,5.507082466474543,0.4195772409439087,0.17540692941304567,1000000.0
1.0,4.0,27.32884658064516,4.0,197.0,11.0,67.0,14.0,56.0,21.654798199096426,1.0,7.0,23.0,2.0,7.0,1.5937057720940861,1,21.0,7.7396388500804125,1.0,0.0996875,5.0,2.754411318174137,55.07894174889798,88.69658400000004,8.081467800568621,0.007081101182848215,0.19267213469556788,1000000.0
0.0,6.0,27.32884658064516,4.0,1240.0,7.0,55.0,8.0,88.0,18.909283855209026,1.0,49.0,28.0,2.0,7.0,0.523812358350799,1,22.0,9.15873821650389,1.0,0.0996875,5.0,2.754411318174137,40.93441249845439,90.10780500000001,7.19449181526757,-0.023000111803412437,0.1576372215497383,1000000.0
1.0,6.0,27.32884658064516,4.0,0.0,8.0,71.6203871621309,0.0,81.0,0.0,1.0,7.0,16.0,0.0,10.592814520376663,1.4018510737195655,1,28.0,2.1329343457798675,0.0,0.0996875,2.0,2.754411318174137,17.733956120768067,90.029251,5.222756902188396,0.3983159065246582,0.17914453003771288,1000000.0
0.0,13.0,27.32884658064516,4.0,1265.0,0.0,57.0,0.0,44.0,46.20800351784534,1.0,22.0,31.0,1.0,8.0,0.9387121536466885,1,24.33438163603097,9.737783566864392,1.0,0.0996875,0.0,2.754411318174137,68.11488196197762,88.589446,7.7699687243614965,0.05045933276414871,0.1504075616937132,1000000.0
1.0,2.0,27.32884658064516,4.0,44.0,2.0,56.0,5.0,79.0,1.2365974030526772,1.0,33.0,30.0,1.0,10.49305936035503,1.8320256540423887,1,40.0,9.987921202588513,1.0,0.0996875,4.0,2.754411318174137,41.719872993496836,92.06443700000005,7.2623862815830815,0.005970445927232504,0.16401323178439653,1000000.0
1.0,2.0,27.32884658064516,4.0,651.0,11.0,68.0,6.0,30.0,50.559037681627636,1.0,16.0,12.0,0.0,6.0,1.488749690826825,1,39.0,9.306720400116502,1.0,0.0996875,5.0,2.754411318174137,26.458474189674813,92.47639000000002,6.992148432429166,0.24961020052433014,0.18348125754465094,1000000.0
