Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
9.0,4.0,5.0,82.72790960679112,1.0,10.0,27.32884658064516,0.0,2.0,5.0,0.0,12.0,1.0,5,0.0,0.0,2.0,3.547349331436266,0.314,5.0,35.0,55.0,1.4280600332415827,24.099060137210547,109.69068700000004,6.565161149340946,0.6057537794113159,0.1926455550646358,1000000.0
10.0,4.0,9.0,72.20614972809388,1.0,5.0,27.32884658064516,0.0,0.0,5.0,0.0,35.0,1.0,5,0.0,0.0,2.0,3.4559262250725276,0.314,7.0,38.0,96.0,1.4280600332415827,13.89294933972053,107.88586799999999,6.565161149340946,0.6020774245262146,0.21483621785990623,1000000.0
6.0,4.0,0.0,54.0,1.0,15.0,27.32884658064516,1073.0,1.0,6.0,5.345430783434628,36.0,1.0,5,28.0,0.9430838243272448,1.0,2.8161907669325803,0.314,8.337328601799571,36.0,74.0,1.4280600332415827,27.60222591204367,105.63147099999996,8.54284056531657,1.0282498598098755,0.1546799805123286,1000000.0
0.0,4.0,2.0,53.0,1.0,7.0,27.32884658064516,0.0,2.0,12.0,0.0,2.0,1.0,5,0.0,0.0,2.0,3.8016087068754616,0.314,6.0,41.11706212923081,48.0,1.4280600332415827,58.717633111065574,111.05152900000003,6.683555807408292,0.6348512768745422,0.12852717159645358,18.940727474135077
5.0,4.0,3.0,69.0,1.0,29.0,27.32884658064516,0.0,1.0,8.0,0.0,16.0,1.0,5,0.0,0.0,2.0,4.244139809812457,0.314,6.0,43.72632864374697,49.0,1.4280600332415827,62.44382233652166,110.57096200000004,6.5675080327819595,0.6602253317832947,0.20743330544532776,22.35016959875422
8.0,4.0,9.0,70.0,1.0,18.0,27.32884658064516,0.0,0.0,14.0,0.0,33.0,1.0,5,0.0,0.0,2.0,3.407424615028675,0.314,11.60211161341701,34.0,91.0,1.4280600332415827,14.721310415606808,105.40553800000002,6.565161149340946,0.597338080406189,0.18014229722451305,1000000.0
11.0,4.0,4.0,57.0,1.0,9.0,27.32884658064516,0.0,0.0,8.0,0.0,27.0,1.0,5,0.0,0.0,2.0,2.9470444431492204,0.314,7.0,37.0,38.0,1.4280600332415827,45.9573703665775,110.95655700000003,6.565161149340946,0.6026590466499329,0.22129515960999224,1000000.0
13.0,4.0,3.0,70.0,1.0,8.0,27.32884658064516,0.0,2.0,4.0,0.0,35.0,0.0,5,0.0,0.0,2.0,2.802284206522428,0.314,6.0,40.62965771299682,73.0,1.4280600332415827,58.021590344216364,108.36562700000005,6.565161149340946,0.6025716066360474,0.1432317026553223,18.39685216180693
12.0,4.0,9.0,61.0,1.0,2.0,27.32884658064516,0.0,0.0,6.0,0.0,7.0,1.0,5,0.0,0.0,2.0,2.3895286617269464,0.314,5.0,41.56498579825876,100.0,1.4280600332415827,59.35729500074732,107.79137700000001,6.565161149340946,0.3318634331226349,0.24588520116909582,15.718415017753351
1.0,4.0,2.0,62.99999999999999,1.0,2.0,27.32884658064516,0.0,1.0,0.0,0.0,38.0,1.0,5,0.0,0.0,2.0,4.150844016868081,0.314,10.285625936381333,34.0,25.0,1.4280600332415827,50.114593129717925,105.479861,7.276133705353045,0.49757951498031616,0.21280184576252292,1000000.0
