Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),N2O-N loss (%)
2,1,3,2,0,0,108.31335382502806,1.7899590661627296,22.24241635258682,125.98607099193569,5.933676026145896,0.23948326274526321,4.305521501259497,10.492831271911964,5.353104505222757,0.4304044237201462,18.02924332093421,0,2.3590217350043825,11.505634086785802,3,5.499621663076928,1.0308077315080335,3581.5359581702132,955.1979119587074,9.069982948609017,[1.69032559]
21,1,2,2,2,3,42.82054541456257,21.402277192267036,2.3635593076772623,219.43541920026155,36.14402042195372,16.337791474972633,6.622281821538867,61.7862619649988,4.103704240090762,0.24330934132983567,22.850490071072922,0,4.019847441175037,38.860364337918114,0,11.085816047955523,0.7165434642399617,1436.0220885037847,27.40210453037356,7.6380633090930745,[1.79760809]
9,0,0,3,4,3,12.842067979665705,16.38772727137923,2.244580301843697,23.336688823734793,34.72090643985864,5.1002955226140525,0.8548905473219324,39.93791989021224,6.269345584351483,1.3840124524326276,5.968022798456014,0,1.912773684399362,28.675959688799615,0,7.442111264954497,0.00532612824761447,1054.994024119028,664.6774290351385,8.242538373568893,[1.9681023]
1,2,1,1,1,1,64.89698931443141,33.04705954717311,15.726002479062014,19.170623280850737,24.648723409269966,1.371825644542298,3.787842241190706,12.141144872981137,3.186557924387696,0.8927162048897171,3.603167873383754,0,6.580608598456925,46.73189957953033,1,10.849788798911655,0.7899477785405855,933.9215555548346,946.2601241045714,9.126788147519184,[1.78852057]
6,10,2,2,0,2,8.949017287188601,34.541935503630576,2.7510435892947718,161.94613777737771,36.69890018503964,22.28188116299091,2.0533063299887493,39.79740255143626,6.439648422979173,1.7138142631855593,29.645419006330666,2,1.4166694144618532,12.456409146955702,3,6.576489098089009,0.5487907822539806,311.9070791262978,992.6331388751254,8.565306028956405,[1.75563019]
1,3,1,3,2,1,61.15745129501223,21.311305991696173,8.940386378757031,178.81288318292204,21.737638540119935,0.9168856654545555,0.17868938180446756,76.45931983472822,1.5719225098849594,0.5320343799156934,17.144791047400318,0,5.148083353177079,33.43654842130704,0,5.59822355945594,0.10055594949643894,2633.6907532887967,366.2197088683934,1.1822744818732929,[1.78203797]
17,5,0,0,3,3,94.83299519259523,51.964656935758086,27.62128602321368,21.498947596461115,3.0303431108132424,4.27345321415077,0.13618655230209026,70.0424439437264,4.092510509847117,1.8478870677721053,30.226633166264826,2,1.5801479124573576,34.53242026917623,0,10.816053283400015,0.7011580350550511,1508.681415061333,858.0815780668729,0.5362828912301064,[1.87262959]
10,4,3,4,7,0,36.04871246147994,42.46615473334732,5.139626185470328,231.41273553754596,28.528222652174303,27.80183325338466,10.514210328593522,9.434831233282086,2.1947424356685294,0.06378309928056497,3.8555737672993864,0,1.8157892278392538,34.937666093564275,4,7.219885532619459,0.3727230568125626,360.00180452914407,503.1891748190849,1.9415274792225423,[1.75829208]
19,9,0,1,6,3,39.37892451860249,37.63395466745497,10.097393256221611,73.4467340316385,31.32212347870237,14.828584704107557,10.240128829372397,61.86449038529669,3.178981478408256,1.7703665452221842,21.88473480857263,0,2.8163587380965645,46.460183446379,3,11.799541696835892,0.08266719751576751,1305.663818564637,458.0808130842392,3.1873177788701295,[1.72768933]
12,1,2,4,3,2,9.449215895305917,14.432889038831345,9.949924712248322,118.39657185295154,27.240487496808075,4.404795722314037,0.2803897325224178,8.482916920518495,6.098248803356307,1.0408644675284222,7.859292610856934,0,4.780884553067746,43.096451881788234,2,7.375500015827292,1.0900566137232668,56.55002722927153,969.7187460117941,6.651371478468172,[1.8706547]
15,0,0,7,0,2,36.22002213224621,43.190083052235146,0.17705068296844484,56.93115108626494,11.538205458205057,4.687226664883743,1.519826672090708,45.49171327416664,2.2985860392476782,1.4158737731264592,22.29170521520574,1,5.3916605758236305,8.304354139098448,0,5.093046887773194,0.9016419559277754,2232.090418063231,665.4716008942022,7.090426366228395,[1.76085965]
10,1,3,2,0,2,67.6870151737534,23.93727780560767,5.289442404546255,124.03194749020537,26.196899216789316,4.502143624966207,4.990019709346244,37.20491486178431,4.480833297311837,1.3274171131705563,28.86195675815647,1,4.733265148781558,48.93279075476956,2,10.084791785669056,1.2052899534606238,1097.9358960409788,74.45954826088519,8.41221167198613,[1.82173902]
18,5,3,3,6,0,65.61256147330872,47.982450216032134,13.032677116647905,87.3069781420216,4.531838268852817,0.6096697906823233,9.20130065485006,22.041935087429962,5.289683456424791,0.6705220351337973,31.115689536554996,0,7.4581491613497475,37.08619517354381,0,8.24316822026041,0.4960187005416579,974.782602199775,955.8895184612469,5.5838731816052185,[1.69639232]
