Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),TN loss (%)
40.0,30.0,30.0,690.0,6.0,0.0,0.0927715,64.54545455,7.692307692,2.34,53.1
40.0,30.0,30.0,690.0,6.0,6.0,0.09599999999999999,63.55555556,7.317073171,2.31,36.2
40.0,30.0,30.0,690.0,6.0,15.0,0.095,62.06896551999999,6.818181818,2.41,46.5
40.0,30.0,30.0,690.0,6.0,1.460823373,0.09177149999999999,65.17412935,7.792207792,2.34,41.5
28.0,0.0,0.0,0.0,4.0,0.0,1.0,65.0,0.0,1.4,19.53
28.0,0.0,0.0,0.0,4.0,6.0,1.0,62.48935000000001,0.0,1.4,22.53
28.0,0.0,0.0,0.0,4.0,18.0,1.0,61.07757,0.0,1.4,20.85
28.0,0.0,0.0,0.0,4.0,30.0,1.0,60.5,0.0,1.4,19.4
28.0,0.0,0.0,0.0,4.0,42.0,1.0,59.69135999999999,0.0,1.4,16.26
28.0,0.0,0.0,0.0,4.0,54.0,1.0,61.5,0.0,1.4,14.85
28.0,28.0,0.0,0.0,4.0,0.0,1.8,63.2432,0.20353504,3.1817250431,19.5
28.0,28.0,0.0,0.0,4.0,0.692029463,1.8,64.0541,0.207608839,2.6591250431,18.5
55.99999999999999,56.0,0.0,0.0,11.0,0.0,0.13,55.0,1.111111111,1.80435,6.03
55.99999999999999,56.0,0.0,0.0,11.0,2.0,0.13,55.0,1.111111111,1.8423899999999998,4.15
55.99999999999999,56.0,0.0,0.0,11.0,4.0,0.13,55.0,1.111111111,1.8587,2.7
55.99999999999999,56.0,0.0,0.0,11.0,6.0,0.13,55.0,1.111111111,1.9510899999999998,3.16
55.99999999999999,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.111111111,2.11957,2.44
55.99999999999999,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.111111111,2.27717,2.21
55.99999999999999,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.111111111,2.42935,2.08
69.0,0.0,0.0,0.0,37.0,0.0,0.08,80.7,0.0,0.82,24.05063291
69.0,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,0.9,17.24137931
69.0,0.0,0.0,0.0,37.0,4.0,0.08,80.7,0.0,0.95,11.63934426
69.0,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,0.83,18.1
35.0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,37.5
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,18.8
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,20.8
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,17.6
35.0,35.0,0.0,0.0,4.0,1.9001599999999998,0.06,69.2,0.3,2.04,9.8
82.0,0.0,0.0,0.0,15.000000000000002,1.377410468,5.456,63.699999999999996,0.0,2.605733766,30.73
82.0,0.0,0.0,0.0,15.000000000000002,9.641873278,5.456,63.699999999999996,0.0,2.440908053,20.73
50.0,50.0,10.0,240.00000000000003,7.0,2.5,0.18,59.99999999999999,6.25,2.66347,32.19
50.0,50.0,10.0,240.00000000000003,7.0,2.5,0.18,59.99999999999999,6.25,1.99045,20.8
50.0,50.0,10.0,240.00000000000003,7.0,2.5,0.18,59.99999999999999,6.25,1.55129,13.65
50.0,50.0,10.0,240.00000000000003,7.0,2.5,0.18,59.99999999999999,6.25,1.24328,7.66
50.0,50.0,10.0,240.00000000000003,7.0,2.5,0.18,59.99999999999999,6.25,1.8487883299999999,20.8
50.0,50.0,10.0,240.00000000000003,7.0,5.0,0.18,59.99999999999999,6.25,1.7803193300000002,13.82
50.0,50.0,10.0,240.00000000000003,7.0,7.5,0.18,59.99999999999999,6.25,1.7803193300000002,10.57
50.0,50.0,10.0,240.00000000000003,7.0,10.0,0.18,59.99999999999999,6.25,1.7803193299999998,9.8
35.0,35.0,10.0,240.00000000000003,5.0,2.5,0.18,59.99999999999999,6.25,1.8810999999999998,33.01
35.0,35.0,10.0,240.00000000000003,5.0,9.230769231,0.18,59.99999999999999,6.25,1.76278,28.94
35.0,35.0,10.0,240.00000000000003,5.0,16.92307692,0.18,59.99999999999999,6.25,1.55575,21.28
35.0,35.0,10.0,240.00000000000003,5.0,24.61538462,0.18,59.99999999999999,6.25,1.48814,17.39
81.0,0.0,0.0,0.0,62.0,0.0,16.0,65.0,0.0,2.76,34.15
81.0,0.0,0.0,0.0,66.0,8.8,16.0,65.0,0.0,2.7,29.07
50.0,0.0,0.0,0.0,9.0,0.0,0.06,60.6,0.0,1.303921569,15.0
50.0,0.0,0.0,0.0,9.0,25.49,0.06,60.099999999999994,0.0,1.219298246,10.8
28.0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,1.95,20.29
28.0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,1.9599999999999997,13.03
55.99999999999999,56.0,0.0,0.0,11.0,10.0,0.09999999999999999,55.0,0.8677777777,1.80701,28.8
55.99999999999999,56.0,0.0,0.0,11.0,10.0,0.09999999999999999,55.0,0.7866666666000001,1.7722599999999997,28.3
55.99999999999999,56.0,0.0,0.0,11.0,10.0,0.09999999999999999,55.0,0.7866666666000001,1.78861,28.42
30.0,30.0,40.0,20.0,4.0,0.0,0.06,53.589999999999996,0.34439884809999993,1.1,31.94
30.0,30.0,40.0,20.0,4.0,0.0,0.06,58.78381000000001,1.0150362609999999,1.7644439999999997,24.55
30.0,30.0,40.0,20.0,4.0,0.0,0.06,58.02870149300001,0.7784154439000001,1.7644440000000001,22.86
30.0,30.0,40.0,20.0,4.0,0.0,0.06,58.02870149300001,0.7784154439000001,1.7644440000000001,32.13
35.0,35.0,30.0,30.000000000000004,2.0,0.0,0.06,67.6,0.38,2.22446,32.01
35.0,35.0,30.0,30.000000000000004,2.0,0.408,0.06,69.95481,0.38,2.06768,20.32
35.0,35.0,30.0,30.000000000000004,2.0,0.408,0.06,69.29481,0.38,2.16937,33.29
35.0,35.0,30.0,30.000000000000004,2.0,0.408,0.06,69.66480999999999,0.38,2.27531,19.58
28.0,28.0,0.0,0.0,5.0,0.0,0.06,57.540926199999994,0.48,2.13,31.5
28.0,28.0,0.0,0.0,5.0,2.449875,0.06,59.51982261999999,0.48,2.14833,15.82
28.0,28.0,0.0,0.0,5.0,2.45195,0.06,59.419822620000005,0.48,2.15,27.47
28.0,28.0,0.0,0.0,5.0,4.3543475,0.06,56.95442262,0.48,2.16833,32.42
21.0,21.0,10.0,360.0,0.0,0.0,0.09999999999999999,60.81480999999999,0.20000000000000004,3.07,23.4
21.0,21.0,10.0,360.0,0.0,0.25,0.09999999999999999,60.81480999999999,0.20000000000000004,3.15,13.05
21.0,21.0,10.0,360.0,0.0,5.25,0.09999999999999999,61.382709999999996,0.20000000000000004,2.99,6.82
21.0,21.0,10.0,360.0,0.0,5.0,0.09999999999999999,61.382709999999996,0.20000000000000004,2.92,16.78
41.99999999999999,42.0,0.0,0.0,2.0,0.0,0.165,53.8,0.070196856,2.89,48.7
41.99999999999999,42.0,0.0,0.0,2.0,10.8,0.165,49.3,0.065334059,2.65,41.9
41.99999999999999,42.0,0.0,0.0,2.0,21.6,0.165,50.2,0.07022849,2.45,38.3
34.0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.272108844,2.033962,37.08
34.0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.262907095,1.7593350000000003,28.22
34.0,34.0,0.0,0.0,6.0,10.28571429,0.06,65.0,0.262653324,1.7593350000000003,26.16
34.0,34.0,0.0,0.0,6.0,14.57142857,0.06,65.0,0.258904704,1.8860877143,24.0
35.0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,2.03653,37.5
35.0,0.0,0.0,0.0,6.0,2.884144275,0.06,65.274,0.25,2.03653,18.8
35.0,0.0,0.0,0.0,6.0,4.0,0.06,66.66086,0.25,2.03653,24.8
35.0,0.0,0.0,0.0,6.0,2.884144275,0.06,65.274,0.25,2.03653,15.5
29.0,28.999999999999996,720.0000000000001,720.0,0.0,0.0,0.0141,68.2,4.0,1.79,33.4
29.0,28.999999999999996,720.0000000000001,720.0,0.0,5.5,0.0141,76.4,4.0,1.9699999999999998,18.5
29.0,28.999999999999996,720.0000000000001,720.0,0.0,5.25,0.0141,70.6,4.0,2.09,13.8
50.0,40.6,5.0,120.00000000000001,9.0,0.0,0.09999999999999999,59.99999999999999,3.2597500000000004,2.1519154663999998,41.19
50.0,45.6,5.999999999999999,144.0,9.0,2.0,0.09999999999999999,59.99999999999999,3.882,2.1230154664,38.64
50.0,44.800000000000004,7.0,168.00000000000003,9.0,4.0,0.09999999999999999,59.99999999999999,4.506999999999999,1.9973411569,31.45
50.0,43.400000000000006,7.05,170.00000000000003,9.0,6.0,0.09999999999999999,59.99999999999999,5.00275,1.9150308182,25.78
50.0,38.400000000000006,3.0,72.0,9.0,8.0,0.09999999999999999,59.99999999999999,2.5327499999999996,1.9797091611,18.48
50.0,36.3,3.0,72.0,9.0,10.0,0.09999999999999999,59.99999999999999,2.037,2.1711501611000004,12.39
50.0,50.0,0.0,0.0,9.0,0.0,0.09999999999999999,55.0,0.3,2.084,3.27626
50.0,50.0,0.0,0.0,9.0,10.0,0.09999999999999999,61.22936000000001,0.3,2.1185258182,1.86454
50.0,50.0,0.0,0.0,9.0,20.0,0.09999999999999999,61.48046,0.3,2.2679318182,1.06012
50.0,50.0,0.0,0.0,9.0,20.5,0.09999999999999999,60.708859999999994,0.3,2.2679318182,1.0175
50.0,50.0,0.0,0.0,9.0,21.0,0.09999999999999999,59.72446,0.3,2.2679318182,0.847032
34.0,34.0,0.0,0.0,7.0,0.0,0.005,67.6,0.033670034,1.46,20.9
34.0,34.0,0.0,0.0,7.0,7.7335899999999995,0.005,67.3,0.033670034,1.22,14.7
34.0,34.0,0.0,0.0,7.0,7.128276,0.005,66.8,0.033670034,1.24,17.3
34.0,34.0,0.0,0.0,7.0,6.050428,0.005,66.0,0.033670034,1.32,5.7
51.99999999999999,0.0,0.0,0.0,13.0,0.0,4.872,65.0,0.0,2.157,22.64
51.99999999999999,0.0,0.0,0.0,13.0,23.0,5.191999999999999,65.0,0.0,1.958,15.38
51.99999999999999,0.0,0.0,0.0,13.0,57.0,1.432,65.0,0.0,1.8229999999999997,8.88
51.99999999999999,0.0,0.0,0.0,13.0,122.0,1.4132,65.0,0.0,1.6749999999999998,11.28
90.99999999999999,27.599999999999998,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.21514999999999998,1.99,38.7288
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,2.02,30.5921
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.93,28.3129
90.99999999999999,71.4,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.7261036723000001,1.9599999999999997,20.4619
90.99999999999999,7.6,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.012750000000000001,7.869999999999999,31.9196
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.78,21.7826
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.8199999999999998,19.0748
90.99999999999999,71.4,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.7261036723,1.7599999999999998,8.79526
90.99999999999999,25.200000000000003,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.025500000000000002,1.67,26.1098
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.63,19.9734
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.6999999999999997,13.265
90.99999999999999,56.5,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.5608500000000001,1.52,9.98574
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,75.32,0.4907498624,2.136198,17.06
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,69.37,0.2053427139,2.9844,37.71
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,66.06,0.7052416342,2.6471592757,33.42
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,76.28,0.5226208170999999,2.1179650000000003,23.26
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,72.85,0.4867498624,2.164965,31.6
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,63.45,0.43644821739999995,3.1860620430999997,34.13
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,67.86,0.419963531,3.0525432326,52.0
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999999,76.28,0.5226208170999999,2.1179650000000003,26.68
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,58.4,0.5133244024,2.097044,23.29
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,56.2,0.5430196652,1.8747,28.36
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,58.800000000000004,0.5133244024,2.097044,25.55
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999999,60.9,0.4120498515,2.071635,27.35
