Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),NH3-N (g)
50.0,36.3,3.0,72.0,9.0,10.0,0.09999999999999999,59.99999999999999,2.037,2.1711501611000004,7.4306484
50.0,50.0,0.0,0.0,9.0,0.0,0.09999999999999999,55.0,0.3,2.084,8.998294118
50.0,50.0,0.0,0.0,9.0,10.0,0.09999999999999999,61.22936000000001,0.3,2.1185258182,5.777857647
50.0,50.0,0.0,0.0,9.0,21.0,0.09999999999999999,59.72446,0.3,2.2679318182,2.604774118
50.0,50.0,0.0,0.0,9.0,22.0,0.09999999999999999,59.72446,0.3,2.34885,2.320615294
34.0,34.0,0.0,0.0,7.0,0.0,0.005,67.6,0.033670034,1.46,1.317647059
34.0,34.0,0.0,0.0,7.0,7.7335899999999995,0.005,67.3,0.033670034,1.22,1.070588235
34.0,34.0,0.0,0.0,7.0,7.128276,0.005,66.8,0.033670034,1.24,0.905882353
34.0,34.0,0.0,0.0,7.0,6.050428,0.005,66.0,0.033670034,1.32,0.494117647
41.99999999999999,42.0,0.0,0.0,9.0,0.0,0.09999999999999999,56.23,0.414,1.78,1.00716796
41.99999999999999,42.0,0.0,0.0,9.0,2.0,0.09999999999999999,62.32281,0.386633568,2.5087,1.31930642
41.99999999999999,42.0,0.0,0.0,9.0,4.0,0.09999999999999999,62.79900000000001,0.38663356800000004,2.4404,9.0499464
41.99999999999999,42.0,0.0,0.0,9.0,6.0,0.09999999999999999,59.224,0.2954054354,2.6269,1.9685552
41.99999999999999,42.0,0.0,0.0,9.0,10.0,0.09999999999999999,61.4269,0.26662774980000004,2.1946730000000003,6.06382262
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,17.85714286,1.52,0.1005
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.04,0.0623
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.02,0.0699
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.03,0.0833
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,1.0,0.0559
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.82,0.0755
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.8,0.066
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.81,0.0624
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,0.85,0.029
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.7,0.071
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.68,0.0489
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.69,0.0784
28.0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,3.7,3.525
28.0,28.0,0.0,0.0,0.0,0.0,0.01,62.99999999999999,0.28,3.7,4.4
28.0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,3.7,4.2
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.850340136,2.9
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,3.209302326,2.975
28.0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,2.934131737,2.7
28.0,28.0,0.0,0.0,0.0,14.28571429,0.01,67.0,0.28,3.242857143,2.7125
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.957142857,2.7
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,3.347107438,3.9
70.0,0.0,0.0,0.0,20.0,0.0,0.5092000000000001,65.7,0.0,2.2,3.638793
70.0,0.0,0.0,0.0,10.0,0.0,9.559999999999999,65.7,0.0,2.2,2.65936
